user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x816683274076614656,SenJohnKennedy,2018-09-16T13:27:47Z,x1041317726843744258,74,9,Tune in to @FoxNewsSunday now to watch me discuss the latest with #JudgeKavanaugh. #FoxNewsSunday
x816683274076614656,SenJohnKennedy,2018-09-16T15:12:10Z,x1041343997665595392,205,67,I joined @FoxNewsSunday to talk about the latest developments with Judge Kavanaugh.  Kavanaugh is extremely qualified to serve on the #SCOTUS. He has an outstanding and extensive judicial record and a strong judicial philosophy. https://t.co/MBOgroR0Sf
x816683274076614656,SenJohnKennedy,2018-09-17T21:13:49Z,x1041797396865404928,75,21,"Happy Constitution Day! Today is the 231st anniversary of the signing of the U.S. Constitution, and it is a day to celebrate this special document that has served as the supreme law of our great nation for centuries. #ConstitutionDay https://t.co/lzZdHsWOPp"
x816683274076614656,SenJohnKennedy,2018-09-18T15:25:21Z,x1042072087798669314,120,34,"Medal of Honor recipient and Louisiana native Doug Fournet made the ultimate sacrifice to our nation in the Vietnam War. It is only right that we honor his courage and valor by naming the Lake Charles VA Clinic after him.

https://t.co/zUFmCnF1V5"
x816683274076614656,SenJohnKennedy,2018-09-18T16:03:54Z,x1042081791933214721,108,20,I'm especially grateful for the men and women who work at Barksdale Air Force Base in Louisiana. https://t.co/a33GXRMtx4
x816683274076614656,SenJohnKennedy,2018-09-18T22:02:13Z,x1042171963752505345,175,37,This is not a political game. I’m interested in the facts. And I have to hear Dr. Ford’s story and then I want to hear Judge Kavanaugh’s story. Let’s get the facts. https://t.co/wb3HSPN8kK
x816683274076614656,SenJohnKennedy,2018-09-21T14:58:20Z,x1043152454974676994,25,11,"If you are interested in applying to one of the United States Service academies, please join the Louisiana delegation on Saturday, September 22, at the Bossier Parish Community College for Service Academy Day.
https://t.co/FJ8w5LPEtt https://t.co/trhr3ZjooY"
x816683274076614656,SenJohnKennedy,2018-09-21T20:08:40Z,x1043230552315310080,73,25,"On this National POW/MIA Recognition Day, we should all take a moment to honor prisoners of war and those missing in action. They are not forgotten. https://t.co/ibH80GKP4D"
x816683274076614656,SenJohnKennedy,2018-09-24T19:10:14Z,x1044303011999371265,101,25,"I met with @SecretaryAcosta last week to discuss states’ roles in locating &amp; returning unclaimed retirement benefits to people who earned them. If you have money in a 401(k) from a former employer, we need to make it easy to find it &amp; claim it. https://t.co/o3by0aDD97"
x816683274076614656,SenJohnKennedy,2018-09-25T18:45:00Z,x1044659046463279104,275,58,"Today I had the opportunity to discuss the great work of the Boys &amp; Girls Clubs of America w 1 of my favorite actors, Denzel Washington. The Boys &amp; Girls Clubs of Louisiana serve more than 24,000 kids, &amp; empower them to reach their full potential as responsible &amp; caring citizens. https://t.co/8rL7OgAXii"
x816683274076614656,SenJohnKennedy,2018-09-27T18:53:31Z,x1045385966154862592,108,15,"Congratulations to Principal Tommy Byler for being named Louisiana Principal of the Year! It was a pleasure getting to personally congratulate Principal Byler on Tuesday. He proudly serves as principal at North Vermilion High School in Maurice, La. https://t.co/BBGnpabY9O"
x816683274076614656,SenJohnKennedy,2018-09-28T13:45:09Z,x1045670750781345792,81,35,A promising life has been cut far too short. https://t.co/Ctf9yNwfP2
x816683274076614656,SenJohnKennedy,2018-09-28T13:59:03Z,x1045674251494334465,202,37,"Happy #NationalRiceMonth! I want to offer a special thanks to all of those who play a role in the U.S. rice industry. The rice industry is an integral part of Louisiana’s economy. Louisiana rice farmers support over 4,500 jobs and have contributed over $700M to LA's economy. https://t.co/VIAHCUrM7h"
x816683274076614656,SenJohnKennedy,2018-10-03T00:50:22Z,x1047287711705571328,487,69,On @FoxNews now with @TuckerCarlson discussing the latest in D.C.
x816683274076614656,SenJohnKennedy,2018-10-03T17:33:00Z,x1047540030728806405,1117,382,"I had coffee this morning w/ Capitol Police officers to celebrate Coffee with a Cop Day.  If you hate cops, just because they’re cops then the next time you get in trouble call a crackhead. They do great work, &amp; I’m very thankful for their dedication to our security on the Hill. https://t.co/C2HjtCXUnB"
x816683274076614656,SenJohnKennedy,2018-10-05T12:19:44Z,x1048185970363961345,140,14,On @Morning_Joe now discussing the latest with #Kavanaugh
x816683274076614656,SenJohnKennedy,2018-10-05T21:20:08Z,x1048321966233595906,110,13,On @MSNBC @MeetThePress now discussing the latest with @chucktodd
x816683274076614656,SenJohnKennedy,2018-10-05T21:58:58Z,x1048331741033897988,15320,8184,This is what the U.S. Capitol was like today as I walked to the Senate floor for the vote on Judge Kavanaugh. https://t.co/Xtmji8hpZF
