user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x296361085,SenJohnThune,2018-10-03T16:50:14Z,x1047529267251335169,25,13,"Glad the Senate passed the bipartisan #FAAReauthorization Act, a bill that would reauthorize federal aviation programs to modernize airport infrastructure, improve service for the flying public, enhance safety, and boost aviation industry innovation. 
https://t.co/LdyyopvFkZ"
x296361085,SenJohnThune,2018-10-03T17:21:43Z,x1047537191709069312,19,7,"My bipartisan legislation that clarifies that sports medicine professionals can provide health services to an athlete, athletic team, or staff member when the team is on the road is headed to the president. ⬇️ 
https://t.co/hYNQ3yXSMj"
x296361085,SenJohnThune,2018-10-03T20:04:16Z,x1047578099989323777,35,14,My statement on the Senate’s passage of landmark legislation to address our nation’s opioid epidemic. ⬇️ https://t.co/0NJbGKft7Z
x296361085,SenJohnThune,2018-10-04T17:33:49Z,x1047902623641350144,11480,3053,"After being briefed on the FBI's seventh background investigation into Judge Kavanaugh, I have seen no corroborating evidence to the claims made against him. It's time to vote, and I will vote to #ConfirmKavanaugh."
x296361085,SenJohnThune,2018-10-04T22:40:35Z,x1047979825867214848,7759,2229,"I will be voting for Judge Kavanaugh because he is eminently qualified. I will be voting for him because he is a man of character and integrity. And I will be voting for him because I know he can be relied on to uphold the rule of law and the Constitution.
https://t.co/K1dmX9JyEf"
x296361085,SenJohnThune,2018-10-05T14:00:06Z,x1048211227049123841,337,103,Great news. The Bureau of Labor Statistics announced today that the unemployment rate dropped to its lowest level since 1969 (3.7 percent). https://t.co/z9hgI2arJ7
x296361085,SenJohnThune,2018-10-05T20:42:49Z,x1048312576541642754,45,16,"If you are a college student interested in learning more about how our federal government works firsthand, apply for a spring internship in my office. More information ⬇️

https://t.co/xb0YdhQCj7"
x296361085,SenJohnThune,2018-10-06T18:19:39Z,x1048638935025553408,82,30,"It was an honor to join @realDonaldTrump in the Oval Office yesterday for the signing of the five-year FAA reauthorization bill, the longest since the 1980s. More here ➡️ https://t.co/LdyyopvFkZ (📸 @WhiteHouse) https://t.co/tCtnKrrPx7"
x296361085,SenJohnThune,2018-10-06T18:44:28Z,x1048645181657026562,286,52,"It’s been a busy few weeks around the Capitol complex, but the U.S. Capitol Police have been there every step of the way, protecting senators, staff, and Americans who have expressed their First Amendment rights. Thank you for all you do to keep the Capitol Hill community safe."
x296361085,SenJohnThune,2018-10-06T20:20:45Z,x1048669410842615808,154,34,My statement on the confirmation of Judge Brett Kavanaugh to the Supreme Court ⬇️ https://t.co/n7nVc1ch4O
