user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x2856787757,SenJoniErnst,2018-10-06T20:26:27Z,x1048670843621052418,2061,368,Judge Kavanaugh is a highly-qualified justice committed to the rule of law and the United States Constitution.  I congratulate Judge Kavanaugh on being confirmed by the U.S. Senate for his lifetime appointment to the Supreme Court of the United States. #JusticeKavanaugh
x2856787757,SenJoniErnst,2018-10-06T22:01:33Z,x1048694779041726465,60,7,Looking forward to joining @UnfilteredSE on @CNN shortly. Tune in! 📺
x2856787757,SenJoniErnst,2018-10-07T18:16:56Z,x1049000640167460866,74,7,"Great way to start the day: cheering on those who ran the #ArmyTenMiler! Special s/o to those from Team Ernst who ran this AM! Glad my daughter Libby could join me to meet @USArmy Sec &amp; Chief of Staff as well as members of Kosovo Security Force, @IowaNatGuard &amp; Army Special Ops. https://t.co/2Rs4bYA4Uq"
x2856787757,SenJoniErnst,2018-10-07T21:42:59Z,x1049052492183601158,96,13,"What a week! Amidst the hustle &amp; bustle in Washington, the #Senate passed a multi-year authorization of the Federal Aviation Administration &amp; sent landmark legislation to combat the opioid crisis to the President’s desk. Check out a recap of the week ⤵️ https://t.co/d8SNazb1oa"
x2856787757,SenJoniErnst,2018-10-09T20:03:18Z,x1049752184907288577,790,341,".@realDonaldTrump delivered for the #farmers today! Granting E15 year-round means that Iowans will see an increase in farm income, increased ethanol production and consumption and a boost in our economy. E15 also supports energy independence and consumer choice at the pump. 🇺🇸 https://t.co/nODUp3ppPN"
x2856787757,SenJoniErnst,2018-10-09T21:56:44Z,x1049780728874115072,54,15,"(1/2) As the nation’s leader in renewable fuels production, today’s action is especially exciting for #Iowa. Granting the sale of #E15 year-round will mean that Iowans will see an increase in farm income, increased ethanol production and consumption and a boost in our economy."
x2856787757,SenJoniErnst,2018-10-09T21:57:00Z,x1049780796020670465,68,17,"(2/2) E15 yr-round also gives ppl across the country more choice at the pump. As @EPA fulfills @realDonaldTrump directive on reforming RFS to better serve the American farmer, I look forward to working w/EPA on their plans for increased transparency around the RIN marketplace."
x2856787757,SenJoniErnst,2018-10-10T16:15:46Z,x1050057310503100417,36,9,The Senate’s passage of bipartisan legislation to address water infrastructure needs will increase access to funding for rural projects and streamline the permitting process to allow communities to better address flooding. Read my full statement here ⤵️ https://t.co/nNgX8IEER1
x2856787757,SenJoniErnst,2018-10-10T20:40:42Z,x1050123981750226944,55,17,"#ICYMI This morning, I joined @BloombergTV to discuss President Trump’s directive on the sale of #E15 year-round. This is a big win for not only biofuels but also America’s farmers! Watch the interview below ⬇️ https://t.co/wnaXr4vWv7"
x2856787757,SenJoniErnst,2018-10-11T20:28:17Z,x1050483246050492416,9,5,#ICYMI https://t.co/0l9DHdyPGH
x2856787757,SenJoniErnst,2018-10-11T21:29:39Z,x1050498688056008704,76,19,"Thank you, @realDonaldTrump for delivering on your E15 year-round promise to #farmers! Official White House Photo by Shealah Craighead https://t.co/AMWlqDUw3C"
