user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x88784440,SenMikeLee,2018-07-26T00:40:34Z,x1022280482413846529,80,20,Who wore it better? The @SkiUtah yeti or @RepRobBishop? #utpol #TasteOfUtahDC https://t.co/6dD5QSPEhG
x88784440,SenMikeLee,2018-07-26T18:12:16Z,x1022545149296103424,85,29,"Brick and mortar businesses benefit when they partner with an online presence, which is why companies and constituents like these in Spanish Fork need a free and open internet. Thanks to the @internetAssn for hosting this business crawl. https://t.co/sskc7z415M"
x88784440,SenMikeLee,2018-07-26T19:54:05Z,x1022570773679104007,70,17,"What started as a small event hosted out of our Washington D.C. office has grown into a widely attended event highlighting some great #Utah companies and products. With Utahns working together, #TasteOfUtahDC will continue to grow for years to come #utpol
https://t.co/Xoz2LazKO7"
x88784440,SenMikeLee,2018-07-27T00:27:55Z,x1022639687134011392,35,9,https://t.co/bGgAQK1Fgn
x88784440,SenMikeLee,2018-07-30T20:33:04Z,x1024030134117040129,266,100,"We have a spending problem in DC, one created by politicians using middle class families to subsidize the rich. Taxpayers should not pay any amount of coverage for the top 1% that can afford a $2.5 million-dollar beach home. https://t.co/tL1t8Ch0ZS"
x88784440,SenMikeLee,2018-07-31T20:04:22Z,x1024385301827989504,1391,597,"Any legislation that comes from Congress that begins with, “It shall be unlawful for any person to intentionally publish…” ought to be concerning to each and everyone one of us, Democrats and Republicans alike. https://t.co/yglmgvKcD2"
x88784440,SenMikeLee,2018-08-01T19:04:02Z,x1024732506715836416,66,26,"Tonight at 5pm MT I’ll spend an hour answering your questions. Make sure to join the discussion! Sign up to receive a call at https://t.co/PA7omDAjTN. Once the event begins, you can stream the event live and ask questions there as well as on my Facebook page #LeeTownhall #utpol"
x88784440,SenMikeLee,2018-08-02T14:23:19Z,x1025024247876538370,668,335,"Democrats have made it clear that their goal is to bury the Committee in paper, just to delay a vote. Their minds were made up before Kavanaugh was even nominated. They don’t want to see the papers, they want to see his nomination stalled. https://t.co/l8t4BWw9e9"
x88784440,SenMikeLee,2018-08-02T15:59:51Z,x1025048539741794304,124,40,"It's okay, @RobertGehrke, I don't think you're crazy. Siding with the Constitution is always the best way to go! #utpol https://t.co/hdxeA1X7Rn"
x88784440,SenMikeLee,2018-08-02T17:54:42Z,x1025077442732609537,221,34,"I love our state. Thanks, @spidadmitchell for representing #Utah so well on and off the court! https://t.co/gYTULFa1HM"
x88784440,SenMikeLee,2018-08-03T18:58:59Z,x1025456008749969408,60,15,Thank you Natalie for your kind words about the Social Capital Project. Our local communities are absolutely fundamental to our success as a nation. We can all do more in our public and private lives to support our community.  https://t.co/DCGMu1Cwop
x88784440,SenMikeLee,2018-08-17T15:50:53Z,x1030482103161511937,31,17,"Southern Utah – mark your calendars. We will have a targeted Access Live event at 5pm MT next Wednesday, August 22nd. Sign up here: https://t.co/qj2h8XMHpO #utpol #leetownhall"
x88784440,SenMikeLee,2018-08-20T21:14:49Z,x1031650787091537920,36,9,"If you're in the Washington, Iron, or Sevier County areas, stop by the SBA Rural Roadshow and chat with my staff! https://t.co/VcuOqHtFb5 #utpol"
x88784440,SenMikeLee,2018-08-21T17:14:27Z,x1031952683685634048,145,82,There's lots of false information being shared about #criminaljusticereform. Here are the facts: https://t.co/zIeAOtbzmh
x88784440,SenMikeLee,2018-08-22T15:35:31Z,x1032290175966240770,3606,988,".@RandPaul is right. As a crusader for #criminaljusticereform, I will continue to call for the Senate to act to debate and vote on legislation that makes our penal system more fair and our communities more safe. https://t.co/g9AiFMPqdV"
x88784440,SenMikeLee,2018-08-22T17:57:47Z,x1032325979195236352,30,14,#utpol #LeeTownhall https://t.co/Wl8nJWSZi4
x88784440,SenMikeLee,2018-08-23T23:47:04Z,x1032776266380963847,303,85,"I’m excited for #criminaljusticereform to have its day on the #Senate floor! Great meetings today, and I can’t wait to pass these much needed reforms. See my full statement here: https://t.co/IaAO1JQmZG"
x88784440,SenMikeLee,2018-08-24T17:48:42Z,x1033048467449544705,46,18,"Great hosting @AjitPaiFCC in a roundtable with #Utah broadcasters here in SLC. We’re having an in-depth discussion about the future of broadband, cord cutting, retransmission and other important telecommunication issues facing Utah communities. #utpol https://t.co/Oz4fyBVc30"
x88784440,SenMikeLee,2018-08-24T19:06:44Z,x1033068106623660032,288,50,My wife and I praying for John and his family. McCain is a true American hero and it has been a true honor to serve with McCain in the Senate https://t.co/AvJI2xZcUe
x88784440,SenMikeLee,2018-08-24T21:58:41Z,x1033111379945893889,52,18,"It was great having you, @AjitPaiFCC! #utpol https://t.co/9mUATBLvCW"
x88784440,SenMikeLee,2018-08-26T01:06:16Z,x1033520973511835648,498,84,"My statement on the passing of my colleague, @SenJohnMcCain, an American patriot https://t.co/aToHJLJB5K"
x88784440,SenMikeLee,2018-08-27T18:35:21Z,x1034147372631244801,127,44,"My friend @SeanReyesUT is right – the PURE Act wouldn’t touch existing National Parks, forests, or recreational lands in #Utah. But it WOULD protect millions of other acres used by Utahns to support their families and communities #utpol https://t.co/TvR4ZqXN8O"
x88784440,SenMikeLee,2018-08-29T14:59:43Z,x1034817881232601089,106,31,"Always a pleasure to talk with @guypbenson and Marie Harf! ICYMI, I joined them on @bensonandharf yesterday to discuss #criminaljusticereform and the upcoming #Kavanaugh #SCOTUS confirmation hearings. https://t.co/8GQ8HLmuq7"
x88784440,SenMikeLee,2018-09-04T12:12:26Z,x1036950109051936768,478,70,Getting ready to go live on @foxandfriends to discuss this week’s #Kavanaugh #SCOTUS hearings. Tune in!
x88784440,SenMikeLee,2018-09-04T16:02:14Z,x1037007939851218944,879,421,What is the real context of today’s #SCOTUS hearing? Here are some facts:
x88784440,SenMikeLee,2018-09-04T19:15:22Z,x1037056543798296578,472,130,Here’s a quick update on today’s #SCOTUS hearing so far: https://t.co/8rEnaUFsyr
x88784440,SenMikeLee,2018-09-05T14:18:25Z,x1037344204618391552,1458,455,By 10:05 am — less than 30 minutes after the hearing began — I counted 18 acts of disruption.
x88784440,SenMikeLee,2018-09-06T01:16:09Z,x1037509726530154496,1222,336,Here’s a quick takeaway of my thoughts as we wrap up day 2 of the #Kavanaugh hearings. https://t.co/nRe6cvMyzx
x88784440,SenMikeLee,2018-09-06T14:35:00Z,x1037710762733649920,2442,543,I've said it before and I'll say it again: I will happily work with any of my colleagues from across the aisle to go through the necessary steps and processes to try and get specific classified documents released to the public. #Kavanaugh #SCOTUS
x88784440,SenMikeLee,2018-09-06T19:54:13Z,x1037791096385011713,12512,2135,One protester today actually referred to our system of government as a “republic.” That made me happy.
x88784440,SenMikeLee,2018-09-06T22:04:56Z,x1037823994941112320,1513,338,Day 3 of the #Kavanaugh hearings: A protest update and an explanation on the fervor surrounding the release of committee confidential documents https://t.co/uW7zwXGyEh
x88784440,SenMikeLee,2018-09-13T13:43:07Z,x1040234423227170816,202,57,"#CriminalJusticeReform is gaining momentum, but sharing the personal impacts of why it matters is important if we are to get it over the finish line. I'm honored to participate in @POLITICOLive's event tonight and welcome those in the DC area to attend …https://t.co/aVt6JYnoZe"
x88784440,SenMikeLee,2018-09-13T19:18:58Z,x1040318941309087744,441,57,"Great to hear you're a fellow conservative, @MikeLeePBR. Let me know the next time you're in Utah - I would love to show you around! https://t.co/M991h1Ygp5"
x88784440,SenMikeLee,2018-09-21T20:00:48Z,x1043228574139015169,4590,1364,I am a Republican because I am conservative. I am a conservative because I believe the Constitution and the ideals it asserts on behalf of all Americans are worth protecting. That includes the lives of unborn Americans. https://t.co/jpsBNz5Gdm
x88784440,SenMikeLee,2018-09-26T19:14:18Z,x1045028808674304000,91,16,It was our pleasure! I look forward to seeing you all again in #UT. #utpol https://t.co/sb1rvu6e8u
x88784440,SenMikeLee,2018-09-28T01:32:51Z,x1045486461586481153,1888,440,"Today’s hearing was heart wrenching. Both witnesses have suffered, and both offered brave and compelling testimony. Read my full statement here:

https://t.co/HLC5yRoOxH"
x88784440,SenMikeLee,2018-09-28T21:36:50Z,x1045789453590167555,3668,707,The SJC completed a professional investigation of Dr. Ford’s allegation this week. But since some of my colleagues believe one more week of FBI investigation will bring us closer to truth I support that investigation and I look forward to voting for Judge Kavanaugh soon.
x88784440,SenMikeLee,2018-10-04T16:19:59Z,x1047884044288057344,17328,4193,The new information in the supplemental FBI report does not corroborate the allegations made against Judge Kavanaugh. I look forward to voting for his confirmation imminently
x88784440,SenMikeLee,2018-10-04T23:11:45Z,x1047987669639340033,187,47,"While the LWCF began with an admirable goal, Congress’s inability to reform the program over the last 50 years has gutted that goal and resulted in neglected lands. @SenatorLankford and I hope to change that.

https://t.co/q2EgGJ2WQQ"
x88784440,SenMikeLee,2018-10-05T20:58:48Z,x1048316600175222784,823,108,I’m heading to the floor now to share my thoughts on #SCOTUS and tomorrow’s vote. You can watch here: https://t.co/mWhwd1eirV
x88784440,SenMikeLee,2018-10-06T20:01:02Z,x1048664446950944773,11245,1586,Judge Kavanaugh is a good man. He is eminently qualified to serve on the Supreme Court of the United States. I was pleased to vote in favor of cloture and was honored to vote for his confirmation.
x88784440,SenMikeLee,2018-10-09T19:20:33Z,x1049741423904481280,235,58,"Community is vital to addressing the opioid crisis in our state and in our country. Join me, @SeanReyesUT, #DEA360, &amp; others to discuss how we can come together to address this problem in #Utah. #utpol  https://t.co/EnFWWw72vL"
