user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x75364211,SenPatRoberts,2018-09-08T18:35:51Z,x1038496152944041985,7,4,Come on out to the @KansasStateFair and stop by and say hello at my booth in the Meadowlark Building!
x75364211,SenPatRoberts,2018-09-08T18:38:52Z,x1038496912473825281,10,5,Glad to see old friends and new at the @KansasStateFair ! https://t.co/O4abQkoaWy
x75364211,SenPatRoberts,2018-09-08T18:39:08Z,x1038496978819276800,27,12,Thanks to the @KSFarmBureau for the chance to update Kansans on the #farmbill2018 negotiations. https://t.co/0UMSupdJ7k
x75364211,SenPatRoberts,2018-09-10T13:12:00Z,x1039139428571144193,14,9,Happy #RoshHashanah to all those celebrating the Jewish New Year. May the coming year be filled with joy! https://t.co/CvV5EthvBn
x75364211,SenPatRoberts,2018-09-10T20:32:35Z,x1039250306197012484,21,6,"Today, I hosted @SecNielsen at the Biosecurity Research Institute at @KState https://t.co/irsx5HNoqg"
x75364211,SenPatRoberts,2018-09-11T13:18:00Z,x1039503325727780864,40,19,"17 years later, we solemnly remember the countless lives that were lost on September 11, 2001. Our country will never forget, but the American spirit remains resilient and strong. #Remembering911 https://t.co/TSPwHE4K0G"
x75364211,SenPatRoberts,2018-09-11T19:45:45Z,x1039600906768138240,29,10,It was a beautiful day in Atchison as we dedicated the post office to Atchison native and aviation legend Amelia Earhart. @RepLynnJenkins and Earhart’s great nephew Bram Kleppner joined me in speaking at the ceremony. https://t.co/UuZLPfG5f7
x75364211,SenPatRoberts,2018-09-17T13:42:25Z,x1041683797786406912,31,15,"My heart goes out to Deputy Robert Kunze's family, friends, and the Sedgwick County Sheriff's Office as they mourn the loss of a hero who made the ultimate sacrifice. Franki and I are thankful for our law enforcement who put their lives on the line to keep our communities safe."
x75364211,SenPatRoberts,2018-09-17T21:05:08Z,x1041795210437689346,27,6,Happy #ConstitutionDay https://t.co/5VNiL37tbo
x75364211,SenPatRoberts,2018-09-17T22:37:14Z,x1041818388488708096,21,7,"Today, I voted in support of the Opioid Crisis Response Act of 2018. It provides long-term solutions, encourages recovery, supports families &amp; reduces the supply of opioids. I’m hopeful it will bring relief to those suffering from this terrible epidemic. https://t.co/vSdLTruN40"
x75364211,SenPatRoberts,2018-09-18T14:53:48Z,x1042064148656545792,19,7,"Happy Birthday to the @usairforce! As we celebrate 71 years, we are especially proud of our airmen and women at @22ARW. #AFBday #AF71 https://t.co/jZbcAamaNh"
x75364211,SenPatRoberts,2018-09-19T13:26:56Z,x1042404675767685120,7,4,"To our friends and neighbors observing #YomKippur, Franki and I wish you peace during this time of reflection. https://t.co/h15IW7aKNu"
x75364211,SenPatRoberts,2018-09-20T15:41:20Z,x1042800885716459520,17,5,.@USMC doing what they do best: Saving the day: https://t.co/FmzYjG8Ri0
x75364211,SenPatRoberts,2018-09-20T17:30:01Z,x1042828236491677696,12,9,"What an inspiring story on @KStateFB kicker Blake Lynch! From janitor to scholarship athlete, Blake works hard to achieve his dreams. Congratulations, Blake! #EMAW
https://t.co/jIKRKLkpQI"
x75364211,SenPatRoberts,2018-09-21T13:52:45Z,x1043135951025922049,104,38,"Today, as our nation observes #POWMIARecognitionDay, join me in taking a moment to remember these American heroes. Their courage, service and sacrifice to our great nation will never be forgotten. https://t.co/hy76XZuzFM"
x75364211,SenPatRoberts,2018-09-24T21:00:11Z,x1044330678916198400,4,5,"Check out the latest Roberts Report: 
https://t.co/7IyFl4XoVO"
x75364211,SenPatRoberts,2018-09-28T15:51:24Z,x1045702523666001921,178,65,My statement on the Kavanaugh nomination to the #SCOTUS https://t.co/r7OI2bJOrg
x75364211,SenPatRoberts,2018-10-01T21:15:42Z,x1046871301015707648,27,15,"Ooh-rah! 
""Right now a retired or uniformed @USMC holds the seat of secretary of defense, White House chief of staff, chairman of the Joint Chiefs of Staff, head of Africa Command and incoming head of United States Central Command."" https://t.co/gIccIxmpo3"
x75364211,SenPatRoberts,2018-10-03T18:41:34Z,x1047557285214638082,7,4,"Today, I voted in favor of the #FAAReauthorization Act, which reauthorizes the FAA for five years. Read more here: https://t.co/NlBnIolr7f https://t.co/cGg9Jr2wcf"
x75364211,SenPatRoberts,2018-10-04T14:35:18Z,x1047857698979631110,35,19,Arm in Arm. Still working. #farmbill2018 https://t.co/wftB1mMSTn
x75364211,SenPatRoberts,2018-10-04T22:20:07Z,x1047974674016161793,147,45,My latest statement on the #Kavanaugh #SCOTUS nomination https://t.co/1IUUslIOO1
x75364211,SenPatRoberts,2018-10-06T20:24:03Z,x1048670239544815629,482,73,"I voted to confirm the nomination of Judge Brett Kavanaugh to the #SCOTUS. As I said when I met Judge Kavanaugh, I am confident he will uphold the values of the Constitution to the highest standard."
x75364211,SenPatRoberts,2018-10-09T18:31:36Z,x1049729106974306305,4,5,"Great documentary about Douglas Hegdahl, a Vietnam veteran &amp; POW, by Megan Christensen &amp; Meredith Kucera, @USD437 Washburn Rural Middle School students. They won 2nd place in the @LowellMilken Center for Unsung Heroes​' 2018 Discovery Award competition.  https://t.co/uHuUTmFSJi"
x75364211,SenPatRoberts,2018-10-09T18:50:19Z,x1049733816087130113,9,6,"#October is designated as Breast Cancer Awareness Month to help increase understanding and awareness through early detection, education and support services. Learn more from the @CDCgov about lifesaving breast cancer screenings here: https://t.co/20CMSeakLT https://t.co/6nFcpZdKxJ"
x75364211,SenPatRoberts,2018-10-10T18:48:25Z,x1050095727119163393,6,4,"Today, I voted in support of America's Water Infrastructure Act! Read more here: https://t.co/jq2oYlPDL2"
x75364211,SenPatRoberts,2018-10-11T13:39:14Z,x1050380306602176512,10,5,"I'm glad to see Hoxie native @NASA astronaut @AstroHague is okay after the booster rocket he was traveling in failed during his trip to the @Space_Station. 
https://t.co/NJjQQGSkkl"
x75364211,SenPatRoberts,2018-10-13T13:40:00Z,x1051105273048231936,28,8,"Happy 243rd Birthday, @USNavy! Today we salute the courage and bravery of all our nation's sailors. Thank you to all who serve and have served! #243NavyBday https://t.co/fy1sZUTvCg"
x75364211,SenPatRoberts,2018-10-16T13:48:07Z,x1052194480445476869,38,16,"Join me in recognizing National Down Syndrome Awareness Month as we use this as an opportunity to learn about, raise awareness, and celebrate the abilities and accomplishments of the thousands of exceptional Americans living with Down syndrome. @NDSS https://t.co/GxjRDJSgov"
x75364211,SenPatRoberts,2018-10-17T12:40:38Z,x1052539885620551683,23,14,Really great news for farmers and ranchers. We need these markets and are confident @USTradeRep Lighthizer will get our producers fair deals. https://t.co/lWAZkivZ7q
x75364211,SenPatRoberts,2018-10-18T20:14:38Z,x1053016525337231360,17,6,"Today, I spoke with @USTelecom about the importance of deploying reliable and affordable broadband to rural communities in #Kansas and across the country. https://t.co/sfHa5Az7Eb"
x75364211,SenPatRoberts,2018-10-19T17:20:53Z,x1053335186958618624,9,5,"Today, @realDonaldTrump approved a disaster declaration for the state of #Kansas. Read more here: https://t.co/fEfS4m3Ceu https://t.co/VLkip3PeGd"
x75364211,SenPatRoberts,2018-10-20T13:22:00Z,x1053637458334638080,35,7,I was proud to introduce a resolution to declare Oct. 20th the National Day on Writing. Writing is critical to literacy and democracy. Share with us #WhyIWrite @ncte https://t.co/MqOI5lhq8T
