user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x21111098,SenShelby,2018-09-05T23:23:22Z,x1037481345822482433,21,10,"Today the Senate &amp; House convened the first Energy&amp;WaterDevelopment approps conference since '09. Pleased we’ve made significant progress on this package, which also includes MilCon-VA &amp; LegislativeBranch FY19 bills. Optimistic that we're close to completing work on these bills. https://t.co/8Oh95Eqa6z"
x21111098,SenShelby,2018-09-06T20:29:16Z,x1037799916851093505,103,55,"Delays by Senate Democrats to #ConfirmKavanaugh are baseless, as they currently have access to more material to evaluate him than for any previous nominee. In fact, @SenJudiciary received more pages of executive branch material than for the previous 5 SCOTUS justices combined. https://t.co/lF9o8BHs3c"
x21111098,SenShelby,2018-09-06T20:31:18Z,x1037800429256679425,218,33,"Judge Kavanaugh has done an outstanding job in his hearings this week. The Senate must put aside unnecessary, partisan, political obstruction in an effort to move through regular order and #ConfirmKavanaugh."
x21111098,SenShelby,2018-09-07T22:16:15Z,x1038189228939767808,16,8,"Historic day for #Mobile, the Southern District of #AL, &amp; the Eleventh Circuit! It is my hope that decisions made in the new federal courthouse we are dedicating today will uphold the rule of law and the values upon which our nation was founded. https://t.co/zk7jTT4IjT"
x21111098,SenShelby,2018-09-07T22:18:14Z,x1038189730050068482,20,10,Enjoyed being in #Mobile today for the dedication ceremony for the new federal courthouse for the Southern District of #Alabama! https://t.co/lP1l5zDAL9
x21111098,SenShelby,2018-09-10T19:28:41Z,x1039234223520063489,25,11,Entire Alabama delegation supports improvements to @AlabamaPortAuth Port of Mobile! Deepening &amp; widening the Port will provide economic development opportunities throughout our state. https://t.co/UMJsUUT0kw @USACEMobile
x21111098,SenShelby,2018-09-10T20:43:26Z,x1039253034491158529,19,12,"The 1st FY19 #minibus conf. report has been filed, which contains Energy &amp; Water Development, Military Construction &amp; VA, &amp; Legislative Branch funding bills. Proud we've come to an agreement on this package. I urge my colleagues to support it. Full text: https://t.co/pvEtcL8lza"
x21111098,SenShelby,2018-09-10T21:56:30Z,x1039271423225851905,34,11,Excellent news for @ULALaunch today! @ViasatInc has selected the company’s #AtlasV vehicle to launch one of its satellites. Proud that ULA continues to stand out as the world’s most experienced &amp; reliable launch service provider! #VS3 https://t.co/4mBQdmdtuZ
x21111098,SenShelby,2018-09-11T14:27:38Z,x1039520847759896577,56,19,"Today on September 11th, we recognize the tremendous strength of our nation. We will always remember the courage of those we lost, as well as those who bravely risked their lives to save others. #NeverForget"
x21111098,SenShelby,2018-09-11T19:48:44Z,x1039601656143458304,18,7,"Excellent news for #Montgomery! The city's Fire/Rescue Dept has been awarded $3.5M through @FEMA’s SAFER grants program. The funding will ensure the city has proper resources &amp; staff to respond to emergency medical, fire, &amp; rescue incidents. https://t.co/zzWQ4QNGsa"
x21111098,SenShelby,2018-09-12T20:01:43Z,x1039967312969912327,177,67,"Judge Kavanaugh understands that it is Congress’ job to make the laws, and it is the Supreme Court’s job to interpret these laws. He does not want to substitute his own judgment for that of Congress. Let’s bring his nomination to the Senate floor without delay! #ConfirmKavanaugh https://t.co/36QwvlzmQF"
x21111098,SenShelby,2018-09-12T22:28:05Z,x1040004147339255808,35,12,Honored to have received this award. Thank you @AIAspeaks! https://t.co/80vCOXAdvL
x21111098,SenShelby,2018-09-12T23:24:50Z,x1040018427770007553,32,9,"Proud of the Senate’s ongoing, bipartisan cooperation to pass appropriations bills. Tonight we voted to pass the final conference agreement on #HR5895, which packages Energy &amp; Water Development, Military Construction &amp; Veterans Affairs, &amp; Legislative Branch bills."
x21111098,SenShelby,2018-09-12T23:25:09Z,x1040018507432452096,29,8,I look forward to continuing to work with my colleagues to get more funding bills passed &amp; to the President’s desk. https://t.co/OsdBQ4RzrU
x21111098,SenShelby,2018-09-13T19:51:46Z,x1040327195531636736,30,9,"Jody Singer is an excellent choice to lead @NASA_Marshall. Her understanding of the @NASA_SLS &amp; other critical @NASA projects, along w/ her dedication to #MSFC &amp; the entire agency make her the ideal candidate. Looking forward to working with her! https://t.co/Iqjsk8eIcN"
x21111098,SenShelby,2018-09-15T15:28:49Z,x1040985799540523009,86,15,"This morning, @ULALaunch’s #DeltaII rocket successfully launched @NASA‘s #ICESat2 mission to study ice around Earth. Congratulations to ULA on their 130th consecutive successful launch!"
x21111098,SenShelby,2018-09-17T17:30:29Z,x1041741191480520704,55,21,"Happy Constitution Day! 🇺🇸 Today marks the 231st anniversary of the adoption of the U.S. Constitution – which was signed on September 17, 1787. #ConstitutionDay"
x21111098,SenShelby,2018-09-17T18:29:15Z,x1041755980000886784,47,16,Big win for @HudsonAlpha and the entire #Huntsville community. Proud that @NSF has awarded @HudsonAlpha’s Institute for Biotechnology $1.9M (of an intended total of $3.9M) to research how nitrogen affects plant growth and development.
x21111098,SenShelby,2018-09-17T22:39:51Z,x1041819047946608640,91,21,A recent study found that 23% of filled pharmacy prescriptions resulted in patients paying too much. Proud the Senate voted tonight to pass @SenatorCollins’s bill to ban “gag clauses” that prohibit pharmacists from sharing drug pricing info that could save consumers money. #S2554
x21111098,SenShelby,2018-09-17T23:14:29Z,x1041827761894121472,25,11,"Proud to have supported the #OpioidCrisisResponse Act. We have worked in a bicameral, bipartisan effort to fight our nation’s #opioidepidemic &amp; present viable solutions for prevention. Looking forward to seeing this bill on @POTUS’s desk for his signature! https://t.co/n3FyBlXqs2"
x21111098,SenShelby,2018-09-18T19:31:29Z,x1042134030278385664,26,10,Happy 71st birthday to the @USAirforce! Today we recognize and honor all of the men &amp; women who have served in the #AirForce. #AFBDay https://t.co/oj8SFPlab7
x21111098,SenShelby,2018-09-18T21:04:39Z,x1042157477662519301,9,6,Passage of #HR6157 is the most significant step we have taken yet! The bill packages the Dept. of Defense &amp; Labor-HHS-Education funding bills. This is a big deal for our country. Let’s keep working together to do our jobs for the American people. https://t.co/fS4rjTc3ln
x21111098,SenShelby,2018-09-18T21:05:07Z,x1042157596105424903,41,14,"For the 1st time in a decade, we are sending the #Defense spending bill to @POTUS’s desk on time! This legislation provides our nation with the opportunity to continue producing essential tools to support our men and women in uniform. https://t.co/z3CSpEiQ0n"
x21111098,SenShelby,2018-09-18T21:06:48Z,x1042158018497060864,12,5,"Addressing our nation’s health &amp; education needs is vital to the overall well-being of the American people. Passage of this bill is a critical step in achieving medical breakthroughs &amp; groundbreaking research, while also prioritizing our education system. https://t.co/hO9f2HVRWI"
