user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x76456274,SenStabenow,2018-08-24T17:07:11Z,x1033038018704285696,149,26,Deeply sad news. Praying for John and his family. https://t.co/49TIoaHp3S
x76456274,SenStabenow,2018-08-24T18:38:30Z,x1033061001074298880,107,20,Pleased to partner with @marcorubio on legislation to hold federal agencies accountable for addressing PFAS contamination at military bases across the country.
x76456274,SenStabenow,2018-08-26T01:14:54Z,x1033523144756273157,1010,168,John McCain was a true American hero. He served our country bravely on the battlefield and in public service. His independent spirit and his dedication to doing what is right will be greatly missed. My prayers are with Cindy and the McCain family during this very difficult time.
x76456274,SenStabenow,2018-08-27T17:42:56Z,x1034134182115635200,75,37,People across Michigan are living with incredible uncertainty about the impact of PFAS chemicals on their health &amp; wellbeing. Pleased to partner with @MarcoRubio @SenatorRounds @SenGaryPeters &amp; others to introduce new bills that address PFAS contamination https://t.co/S0ufB4LlZa
x76456274,SenStabenow,2018-08-27T21:52:41Z,x1034197032909459461,831,281,I’m extremely disappointed by the President’s decision to deny the State of Michigan’s appeal for FEMA Individual Assistance for those affected by the severe flooding in Houghton &amp; the UP. I’m committed to continuing to advocate for more resources for these families &amp; homeowners.
x76456274,SenStabenow,2018-08-28T18:48:26Z,x1034513053734391808,65,13,So proud of Adrian Walker as he starts his new role as the Director of Community and Government Affairs of the @FlintandGenesee CC! He’ll always be a part of Team Stabenow! https://t.co/5Tpy7KmHxi
x76456274,SenStabenow,2018-08-29T19:35:00Z,x1034887157306060800,62,7,"Exciting announcement in Lansing! New grocery store, new hotel, great leadership! Thanks Mayor @andyschor &amp; Pat Gillespie! https://t.co/NcJZHaxzMB"
x76456274,SenStabenow,2018-08-30T19:16:28Z,x1035244883748028417,92,20,"Senator McCain’s passion and dedication to our country truly symbolized what public service is all about. I’ll always remember him as a brave and caring friend.
https://t.co/0P3qLo1Wim"
x76456274,SenStabenow,2018-08-30T21:25:27Z,x1035277341600227331,39,4,"Had a great time visiting The Armory, in Owosso. This 103-year-old building is now a one-stop shop for businesses &amp; the community! Great work! https://t.co/TPN1r9WHqE"
x76456274,SenStabenow,2018-08-31T00:28:58Z,x1035323527438774272,29,6,Continued my small business tour at Rehmann &amp; Sons Clothing in Chesaning. 99 years of quality service. Thanks for the great visit! https://t.co/01Iz6pGWPr
x76456274,SenStabenow,2018-08-31T00:40:57Z,x1035326540756738049,20,3,Ace is the place! Thanks for the visit Joe! #chesaning https://t.co/zee7yaY79B
