user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x2964174789,SenThomTillis,2018-10-05T20:53:32Z,x1048315274385084422,827,212,"Proud to witness an incredible speech by @SenatorCollins. The senator and her staff have demonstrated true statesmanship throughout this confirmation process, and I am proud to call her a colleague. https://t.co/TMyEctTz8O"
x2964174789,SenThomTillis,2018-10-06T16:27:35Z,x1048610734274428928,148,48,"Susan and I are deeply saddened by the loss of Sgt. James Slape. Our thoughts and prayers are with his family, @NCNationalGuard and all of the men and women serving our country. Sgt. Slape's service and sacrifice will never be forgotten. https://t.co/lRuLkEnach"
x2964174789,SenThomTillis,2018-10-07T15:39:12Z,x1048960942736850944,223,48,My statement on the confirmation of Judge Brett Kavanaugh to the Supreme Court. #SCOTUS #JusticeKavanaugh https://t.co/7bMFvZwvAd
x2964174789,SenThomTillis,2018-10-07T17:05:00Z,x1048982536825786368,255,97,"Today, October 7, 2018, marks 2 years since American Pastor Andrew Brunson was imprisoned on false charges in Turkey. Join me in praying for Pastor Brunson as we continue to fight for his release. #FreePastorBrunson https://t.co/MT3LM5xlT4"
x2964174789,SenThomTillis,2018-10-09T17:54:21Z,x1049719733480763393,328,49,Ambassador @nikkihaley has played a crucial role in returning America to a position of strength and reestablishing a leading role @UN. Her work to build relationships with foreign leaders and advocating for America’s interests will be missed and I wish her well.
x2964174789,SenThomTillis,2018-10-09T21:21:12Z,x1049771788903821313,71,12,"As co-chairs of the Senate #HumanRightsCaucus, Senator @ChrisCoons and I are closely following the concerning reports about the disappearance of journalist Jamal Khashoggi after entering the Saudi consulate in Istanbul one week ago today."
x2964174789,SenThomTillis,2018-10-10T18:55:46Z,x1050097576471613440,98,16,"Today I voted for bipartisan legislation to modernize and protect America’s water infrastructure. This bill will keep drinking water safe, allow state and local communities to prioritize projects, and help our farmers better utilize the water they need. #WRDA"
x2964174789,SenThomTillis,2018-10-11T17:02:02Z,x1050431342733856772,87,45,"Pastor Andrew Brunson has been imprisoned or on house arrest in Turkey for 734 days, we will not stop fighting for his release. Watch my floor speech live at 1:05 pm: https://t.co/UgakuwcOUD

#FreePastorBrunson"
x2964174789,SenThomTillis,2018-10-11T21:33:49Z,x1050499736841654272,357,122,"North Carolina native Andrew Brunson has been wrongfully imprisoned by the Turkish Government since October 7, 2016. Pastor Brunson has his final hearing scheduled for tomorrow, October 12. Please pray for his release and safe return home. #FreePastorBrunson https://t.co/iDeaP1PgM7"
x2964174789,SenThomTillis,2018-10-11T21:58:34Z,x1050505968113672193,76,47,"My joint statement with @SenatorShaheen @SenatorLankford &amp; @LindseyGrahamSC on Pastor Brunson’s hearing date scheduled for tomorrow. 
https://t.co/aochPiyya8 #FreePastorBrunson https://t.co/rGEOnslXcY"
x2964174789,SenThomTillis,2018-10-12T14:06:18Z,x1050749505673531392,1594,371,"NC native Pastor Andrew Brunson has been freed! I’m grateful for the efforts of President Trump, the State Department and my Senate colleagues for fighting to secure his release. I look forward to welcoming him home!"
x2964174789,SenThomTillis,2018-10-12T15:38:11Z,x1050772627319611392,274,115,"Thank you President @realDonaldTrump, @VP Pence and @SecPompeo for your work to get Pastor Brunson released. https://t.co/OFsX0IhaUg"
x2964174789,SenThomTillis,2018-10-12T17:03:50Z,x1050794184129617920,89,29,"My joint statement with @SenatorShaheen @SenatorLankford @LindseyGrahamSC on Pastor Brunson: https://t.co/WQ8IfocvlR

""We are pleased that Pastor Andrew Brunson will finally be released from Turkish custody and will return to the United States as a free man."""
x2964174789,SenThomTillis,2018-10-12T19:01:30Z,x1050823795144085504,108,34,"My statement on the release of Pastor Brunson. https://t.co/z2ILqFx86P

""Pastor Brunson is finally coming back home as a free man.”"
x2964174789,SenThomTillis,2018-10-12T20:06:39Z,x1050840190271582209,54,12,Joining @TeamCavuto on @FoxNews at 4:10pm ET to discuss Pastor Andrew Brunson’s release.
x2964174789,SenThomTillis,2018-10-12T20:24:06Z,x1050844579967193089,17,4,"On #NationalFarmersDay, a reminder from the IRS that tax law changes affect most businesses, including farms. #BeTaxReady: https://t.co/KshqAjhuWX #NCAg https://t.co/1lQnvV2i0J"
x2964174789,SenThomTillis,2018-10-13T14:09:10Z,x1051112613785026561,54,12,Happy #243NavyBday! Thank you to all who have served and those currently serving in the @USNavy. https://t.co/dAtF43kUMG
x2964174789,SenThomTillis,2018-10-13T19:27:01Z,x1051192604413562880,1006,192,Pastor Brunson is finally back on U.S. soil and reunited with his wonderful family. I was honored to welcome Andrew &amp; Norine at the White House. The 2 year diplomatic and political nightmare is now over and will hopefully lead to a stronger relationship between the U.S. &amp; Turkey.
x2964174789,SenThomTillis,2018-10-15T15:51:30Z,x1051863143637544960,171,27,Morning dance session with the amazing team @bittyandbeaus during my visit to Eastern NC! They have their dance moves down. I need to take cues from them.🕺🏼☕️ https://t.co/uFd1O2Chko
x2964174789,SenThomTillis,2018-10-15T19:50:16Z,x1051923230347460608,10,7,Helpful hurricane recovery resources. Visit my website at https://t.co/F3TH6Dyh6V for additional information. #RebuildNC https://t.co/O3o0gzbd16
x2964174789,SenThomTillis,2018-10-16T19:41:18Z,x1052283361065136129,44,13,I appreciate @SecretaryAcosta and @SecretaryCarson taking the time to visit North Carolina to assess the storm damage from #HurricaneFlorence and meet with community leaders to discuss plans to recover and rebuild. #RebuildNC https://t.co/Y5eaiKTvzR
x2964174789,SenThomTillis,2018-10-17T12:00:37Z,x1052529816518447105,75,30,Deeply saddened to hear the news that a @NCSHP Trooper was shot and killed this morning. Susan and I are praying for his family and the @NCPublicSafety family. A tragic reminder of the dangers our law enforcement face each day to protect all of us. https://t.co/ozRIYcje1H
x2964174789,SenThomTillis,2018-10-17T16:01:31Z,x1052590437427568641,739,266,Great news! This is further proof the economy is booming thanks to Republican-led #taxreform. https://t.co/QcSkeqFz1f
