user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x234128524,SenToddYoung,2018-10-04T16:34:46Z,x1047887765470416896,270,78,FBI’s investigation turned up no corroborating evidence whatsoever. It’s time to vote. https://t.co/QdGzJXktpE https://t.co/Z494g1EIXH
x234128524,SenToddYoung,2018-10-05T15:00:50Z,x1048226513777307649,436,69,"I’ve said repeatedly that Judge Kavanaugh is eminently qualified to serve on the Supreme Court. I proudly voted to advance his nomination today, and I will vote to officially confirm him tomorrow."
x234128524,SenToddYoung,2018-10-05T21:35:38Z,x1048325869012492288,148,32,I spoke with @TeamCavuto on @FoxNews about my support for Judge Kavanaugh and how we can come together for the good of the American people. https://t.co/NOS1vzlJfA
x234128524,SenToddYoung,2018-10-06T20:09:37Z,x1048666607340404736,253,39,"Today, I proudly cast my vote to confirm Brett Kavanaugh to the U.S. Supreme Court. Read my full statement here: https://t.co/n54E5dLwxg https://t.co/7Abqu9juqh"
x234128524,SenToddYoung,2018-10-07T16:01:00Z,x1048966430165798913,28,6,I am a proud cosponsor of the bipartisan resolution to designate October 2018 as `National Employee Ownership Month' which recently passed the Senate.  Supporting our employee-owned Hoosier businesses is important for our communities. https://t.co/3gcFjWntek
x234128524,SenToddYoung,2018-10-07T20:00:01Z,x1049026580406833153,35,6,Another great group of Hoosiers visited my office for this week’s #HoosierHuddle. Sign up for our next coffee: https://t.co/LyTRlAUghA https://t.co/vOYIQliDF5
x234128524,SenToddYoung,2018-10-08T14:00:02Z,x1049298374594256896,48,13,Spreading some joy: @FoxNews reported on fellow Hoosier Betty Alexander from Fort Wayne as her beautiful quilt for @POTUS made it to the @WhiteHouse. Betty’s full story: https://t.co/L2TocLBK8m
x234128524,SenToddYoung,2018-10-09T19:17:41Z,x1049740701561425920,116,31,I want to thank @NikkiHaley for her service at the United Nations. She has been a forceful and effective advocate for American leadership and needed UN reform.
x234128524,SenToddYoung,2018-10-09T20:10:01Z,x1049753871151718400,21,7,Congrats to @HondaIndiana on 10 years of supporting Hoosier workers. https://t.co/X9PV6HRId9
x234128524,SenToddYoung,2018-10-09T20:37:42Z,x1049760838867914752,10,4,"I discuss Justice Kavanaugh, Yemen, and more in this week’s newsletter. Catch up on the latest #HoosierHighlights: https://t.co/9CsMhYjfri https://t.co/ERJldWMXDx"
x234128524,SenToddYoung,2018-10-10T15:50:58Z,x1050051070133702661,13,5,Led a letter w/ @SenatorShaheen &amp; a group of bipartisan senators today to Secretary of State Pompeo expressing concerns related to the Yemen certification last month: https://t.co/f05j1JoakM
x234128524,SenToddYoung,2018-10-10T19:44:20Z,x1050109797310390277,44,12,"Today I voted to pass a bipartisan water infrastructure bill that will help identify lead in drinking water at schools, authorize an important study of the Great Lakes system, strengthen Indiana’s inland waterway infrastructure, and more. https://t.co/WSCbEVCXr8"
x234128524,SenToddYoung,2018-10-11T20:33:48Z,x1050484635178807297,35,5,#ICYMI: I joined a group of bipartisan Senators &amp; sent a letter to trigger an investigation and Global Magnitsky sanctions determination regarding the disappearance of journalist Jamal Khashoggi. The letter to @POTUS: https://t.co/QXnKY2IoCE
x234128524,SenToddYoung,2018-10-11T22:00:01Z,x1050506331952750595,25,9,Met a great group of Hoosier students from Greenwood today at the @uscaptiol. Enjoy your visit! https://t.co/zFZtX1JupU
x234128524,SenToddYoung,2018-10-11T23:26:45Z,x1050528157693079552,66,10,Just voted for James Patrick Hanlon to serve as U.S. District Judge for the Southern District of Indiana. I’m glad to fill the vacancy with a fair &amp; highly regarded attorney as the Southern District court faces a judicial emergency.
x234128524,SenToddYoung,2018-10-12T16:45:30Z,x1050789568633597952,450,180,I encourage Secretary Mnuchin to not attend the investment conference in Saudi Arabia this month. His attendance would send the erroneous and counterproductive message that all is well in the bilateral relationship. #FII2018 https://t.co/2PNW51uvNZ
x234128524,SenToddYoung,2018-10-12T18:42:47Z,x1050819081933385728,17,6,"Today on #NationalFarmersDay we recognize the hardworking men and women who contribute to our tables and our economy. Our 59,000 farms and over half a million direct employees are why Indiana is an agriculture leader. https://t.co/UyWmRhouPw"
x234128524,SenToddYoung,2018-10-12T20:35:01Z,x1050847328943398913,8,4,"The @RushvilleInd Police Department is working hard to keep Hoosiers safe. Today, I had a chance to check in with Rushville Mayor Michael Pavey, Police Chief Craig Tucker, and Assistant Chief Todd Click. https://t.co/tg7juNxbzG"
x234128524,SenToddYoung,2018-10-12T21:30:00Z,x1050861165117501440,16,8,"To mark National #EmployeeOwnership Month, I visited a Superior Oil Company plant in Connersville today. Superior Oil is a 100 percent employee-owned company based in Indiana. I was proud to help designate #EOMonth to highlight the many benefits of employee-owned businesses. https://t.co/YeYtEOBcdT"
