user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x968650362,SenTomCotton,2018-07-16T21:08:46Z,x1018965690450087936,818,288,My statement on the Helsinki Summit: https://t.co/e0bDgr5tEn
x968650362,SenTomCotton,2018-07-19T19:26:53Z,x1020027215185162240,402,157,"Today I introduced the Iran Hostage Act, which would sanction Iranian officials responsible for holding American hostages. MORE: https://t.co/JKwmbNWdAj"
x968650362,SenTomCotton,2018-07-19T19:35:19Z,x1020029336106283015,655,244,"Those who want to abolish ICE really just want open borders….these irresponsible politicians should know better. They aren’t worthy to lead the brave, hardworking men and women of ICE. https://t.co/hQE5jXXM9m"
x968650362,SenTomCotton,2018-07-20T21:02:02Z,x1020413545694056448,83,23,My statement on the National Defense Authorization Act conference report: https://t.co/CkqoudWtrd
x968650362,SenTomCotton,2018-07-21T15:25:16Z,x1020691185499803648,9522,5613,How is no one paying attention to this? https://t.co/fAllUd1pz5
x968650362,SenTomCotton,2018-07-23T02:29:37Z,x1021220760273260544,1779,526,Great to be with ⁦@SecPompeo⁩ at the Reagan Library tonight discussing Iran. The U.S. stands shoulder to shoulder with the courageous Iranian people protesting their corrupt regime. https://t.co/PhTajWdFAK
x968650362,SenTomCotton,2018-07-25T19:59:34Z,x1022209767220174849,317,111,"It’s disappointing that @AmericanAir, @Delta, and @united removed references to Taiwan on their websites in order to comply with an ultimatum issued by the Chinese government. https://t.co/OJ6iWY1pTv"
x968650362,SenTomCotton,2018-07-26T17:19:12Z,x1022531794862841856,50,15,"Great to see Kamilla, Trinity, Sam, and Alex with Boys and Girls Nation in D.C. today! https://t.co/gJnrRz1XqG"
x968650362,SenTomCotton,2018-07-26T18:26:40Z,x1022548774823059456,66,20,It was great to see friends from MARVA and Abilities Unlimited today. Thank you for the work you do to protect employment choices for Arkansans. https://t.co/6I2p0iSgy8
x968650362,SenTomCotton,2018-07-27T16:06:28Z,x1022875878651514881,282,52,Congratulations to our office Navy Fellow Sean McClintock on his promotion to Commander. I was honored to join Sean and his family today as he took his oath in front of the original U.S. Constitution. https://t.co/4BTnLnPBdC
x968650362,SenTomCotton,2018-07-27T16:21:59Z,x1022879783468900353,108,24,"A big thank you to North Platte, Nebraska for the hospitality you showed to Arkansas soldiers passing through your town. It’s places like this that make America so special (cc: @SenatorFischer @SenSasse @RepAdrianSmith) 
https://t.co/WgHCgpWnyz"
x968650362,SenTomCotton,2018-07-31T16:32:19Z,x1024331936167284742,59,19,Great news from @Etsy. @AGRutledge and I are committed to working together to stop unwashed poppy seeds from being used to smuggle opium. https://t.co/sr1BWzPNYX
x968650362,SenTomCotton,2018-08-01T19:01:54Z,x1024731968913780737,646,199,I had an excellent meeting with Judge Kavanaugh today. My statement: https://t.co/wxGz11XCfU
x968650362,SenTomCotton,2018-08-01T19:38:57Z,x1024741290154622976,19839,4514,I also told Judge Kavanaugh I would support him on one condition: he smokes a pipe during his confirmation hearing like the late Justice Scalia. https://t.co/6xCHaNlQOB
x968650362,SenTomCotton,2018-08-04T10:30:51Z,x1025690522638266368,56,10,Congratulations to my friend and colleague @SenDanSullivan as he takes the reins of @IRIglobal. Thank you to @SenJohnMcCain for your decades of service to this important institution.
x968650362,SenTomCotton,2018-08-06T15:39:27Z,x1026492959347421186,106,38,"ICYMI: my op-ed with @OrrinHatch in @dcexaminer ""Close the loophole that's letting violent criminals go free"" https://t.co/TMzPVPh7qy"
x968650362,SenTomCotton,2018-08-06T22:02:31Z,x1026589361402531840,35,7,"Thank you @davidm_cook for visiting my office and bringing this important bill to my attention, more than happy to help! https://t.co/7HcEZGm4ue"
x968650362,SenTomCotton,2018-08-07T15:46:10Z,x1026857036032684032,106,32,"Thank you to the community of El Dorado and its community leaders for having me this morning. I appreciate your allowing me to speak and take questions. Your passion for this place is undeniable, and I'm honored to be your partner in Washington. https://t.co/CJH189N99c"
x968650362,SenTomCotton,2018-08-07T20:51:24Z,x1026933850474196998,87,20,"Spent the rest of my morning in Magnolia where I visited with residents, local officials, and also toured Anthony Oak Flooring. Thanks to everyone who came for your questions and hospitality. https://t.co/S1yeXpkNRX"
x968650362,SenTomCotton,2018-08-08T17:34:25Z,x1027246666641039360,76,18,Speaking this morning at the Arkansas Crime Lab in Little Rock. A good relationship between state and federal law enforcement is critical for keeping Arkansans safe. https://t.co/OlD1XKfWUU
x968650362,SenTomCotton,2018-08-08T18:55:55Z,x1027267177882296320,35,8,"Thank you @heatherwrightTV for sitting down with me to talk Red River Army Depot, trade, and more in Texarkana yesterday. https://t.co/yX3hAWuEbT"
