user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x970207298,SenWarren,2018-10-09T17:16:00Z,x1049710080730562560,3463,1088,".@SecPompeo should reverse the State Department’s decision to deny visas to unmarried same-sex partners of foreign diplomats. It’s a cruel and discriminatory policy that does nothing to enhance  our national security.  
 https://t.co/dhoRk8uES7"
x970207298,SenWarren,2018-10-09T19:05:55Z,x1049737741171400705,3517,1537,Student loan giant @Navient cheated students left and right to boost its profits. Now the CEO thinks he can lobby his way out of accountability. Another reason to end lobbying as we know it and #EndCorruptionNow. https://t.co/f1py0AnE1F
x970207298,SenWarren,2018-10-10T13:00:23Z,x1050008139184128000,1433,502,"This week marks the beginning of America’s 18th year at war in Afghanistan. During that time, more than 2,000 brave US servicemembers have been killed, over 20,000 wounded, and tens of thousands of civilians have died. https://t.co/GSxOI59Yh0"
x970207298,SenWarren,2018-10-10T15:20:15Z,x1050043338810957824,8958,2670,"I'll be voting in favor of @SenatorBaldwin’s resolution to overturn the Trump Admin's expansion of junk insurance plans. And if Senate Republicans really care about protecting Americans with pre-exisiting conditions, they should too. https://t.co/M8Rv0B6dvb"
x970207298,SenWarren,2018-10-10T19:34:37Z,x1050107352261816321,1629,437,Massachusetts has a thriving Hispanic community that makes huge additions to our Commonwealth and our country. I’m proud to fight alongside strong Latino leaders like @SoniaChangDiaz and @danrivera01843. #MesDeLaHerenciaHispana #HispanicHeritageMonth https://t.co/DrI6rxjSnk
x970207298,SenWarren,2018-10-10T21:27:44Z,x1050135820777209876,9454,4911,"The Supreme Court has allowed a North Dakota voter ID requirement that could disenfranchise thousands of Native Americans. This unjust decision highlights why we must pass @SenatorTomUdall's Native American Voting Rights Act, which I'm proud to cosponsor. https://t.co/yvGScReVnB https://t.co/cPI9rZECae"
x970207298,SenWarren,2018-10-11T16:15:21Z,x1050419591116148736,22866,7657,"Saudi Arabia owes the world an explanation of what happened to journalist Jamal Khashoggi. But @realDonaldTrump is too busy padding defense industry profits with arms sales to the Saudis to demand answers.

I stand with my Senate colleagues calling for an investigation. https://t.co/zmQVsNr5SG"
x970207298,SenWarren,2018-10-11T18:15:29Z,x1050449825802702850,2421,745,Congratulations to @RevDrBarber on winning the MacArthur Grant. His work to bring poor and marginalized Americans together to demand a government that works for them is powerfully important. He’s an inspiring moral leader and a courageous fighter. https://t.co/XIgD86VRbh
x970207298,SenWarren,2018-10-11T20:33:27Z,x1050484547266199552,4107,1322,"Americans know Washington isn’t working for them. But instead of giving up, more and more people are demanding a government that is run by the people, for the people – and my plan to #EndCorruptionNow would do just that. https://t.co/b47OCA06s0"
x970207298,SenWarren,2018-10-12T16:16:19Z,x1050782223882960897,1077,326,This preliminary @NTSB report confirms that @ColumbiaGasMA caused the #MVgasfires – and it appears to have been preventable. I will keep pushing for more details from Columbia Gas &amp; NTSB to ensure nothing like this ever happens again. https://t.co/vW43HEp2yp
x970207298,SenWarren,2018-10-12T20:46:15Z,x1050850153823920130,5033,1615,"Decades of federal discrimination have excluded generations of Black Americans from homeownership, &amp; skyrocketing rents make it even harder to save for a home. I talked with @TheRevAl about my plan to provide down payment assistance, bring down rents 10%, &amp; build a better future. https://t.co/9PTkCNOtQ0"
x970207298,SenWarren,2018-10-13T18:16:00Z,x1051174731016228865,24320,10701,Saudi Arabia – a country that's bombed thousands of innocent Yemenis &amp; stands accused of murdering journalist Jamal Khashoggi – is shelling out millions to lobby the Trump Admin. My bill to #EndCorruptionNow would ban Americans from lobbying for foreign governments like Saudi. https://t.co/5akFZAfYmc
x970207298,SenWarren,2018-10-14T18:03:48Z,x1051534048387104770,2101,472,"On Friday, I met hotel workers on the picket line. They’re striking to demand better working conditions and higher wages from @marriott – because #1job should be enough to make ends meet. Stay strong together, @UNITEHERE26. Together, we win. https://t.co/2yjdYKJWuc"
x970207298,SenWarren,2018-10-14T22:19:58Z,x1051598517549092864,7986,2448,"It’s time to break the stranglehold that the wealthy and well-connected hold over Washington. Together, we can save our government and make it work for the people. We can #EndCorruptionNow. https://t.co/bTtxxPmMwA"
x970207298,SenWarren,2018-10-16T14:00:11Z,x1052197516161224704,9882,2862,"We shouldn’t have to beg elected officials to disclose their financial interests – that's why I've released my tax returns from the past 10 years. My plan to #EndCorruptionNow would force @realDonaldTrump &amp; all federal candidates to release theirs too.
https://t.co/BGVfmiuMq9"
x970207298,SenWarren,2018-10-16T15:47:15Z,x1052224461930422272,9495,4349,The Saudis bailed out @realDonaldTrump’s failed businesses for years. How much money did he take? What's the going rate to get the President to act as a mouthpiece for a Saudi king? Trump should release his tax returns so we can find out. #EndCorruptionNow https://t.co/o8aFpVyKn4
x970207298,SenWarren,2018-10-16T18:17:37Z,x1052262299870859264,23791,11565,"Step 1: GOP explodes the deficit with $1.5 trillion in tax giveaways to wealthy donors.
Step 2: GOP uses the deficit they created as an excuse to slash Social Security and Medicare.
 
Americans see right through this shameless and destructive two-step, @SenateMajLdr McConnell. https://t.co/NcZUbkDVfo"
x970207298,SenWarren,2018-10-16T19:46:40Z,x1052284713627541504,3795,1773,"Hundreds of veterans &amp; seniors had their Social Security, disability, &amp; other benefits stolen after security breaches at Comerica. The bank receives taxpayer money to manage federal benefits for 4.5M Americans – it should be working harder to protect them from scammers &amp; thieves. https://t.co/uLPU3yjuRO"
x970207298,SenWarren,2018-10-17T01:37:01Z,x1052372878879014912,12800,4233,A federal judge has ordered that the Trump Admin must ensure students who’ve been cheated by #4profit colleges get the loan forgiveness they deserve. This is a huge win for students – &amp; a major blow to @BetsyDeVosED and her buddies in the #4profit industry.https://t.co/9BYlIbVc7m
x970207298,SenWarren,2018-10-17T17:12:38Z,x1052608337739739136,10489,3941,"A bunch of Wall Street firms pushed Toys “R” Us into liquidation and put 30,000 Americans out of work – without the severance pay they earned. I asked those firms why they're refusing to help the families they screwed over. https://t.co/7FguNRQ9us"
x970207298,SenWarren,2018-10-17T19:01:31Z,x1052635738133725185,2233,797,"America’s housing crisis is devastating rural communities, but I have a plan to fix it. My American Housing and Economic Mobility Act would bring down housing costs for renters and buyers in rural areas – without adding a dime to the deficit. https://t.co/YDUc24ZgG4"
x970207298,SenWarren,2018-10-17T20:31:18Z,x1052658332060790786,12291,4218,Money buys influence &amp; power in Washington – the Saudis know that better than anyone. They've spent millions lobbying the Admin &amp; Congress. Is it any wonder @realDonaldTrump won't stand up to them? My plan to #EndCorruptionNow would ban lobbying on behalf of foreign governments. https://t.co/CiMd6UIO0Z
