user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x233696188,SenateAgDems,2018-08-16T19:07:17Z,x1030169139896307713,6,5,"New report shows that healthy food incentives in the Farm Bill are a win-win:

🥕 Families eat more fresh fruits and vegetables
👩‍🌾 Farmers profit by selling more produce to their neighbors

The Senate #FarmBill18 secures permanent support for this important initiative. https://t.co/ay5K5hdHXu"
x233696188,SenateAgDems,2018-08-28T14:23:07Z,x1034446281295491072,6,4,Did you know the Farm Bill helps grow the next generation of farmers? The Senate's #FarmBill18 adds permanent support to provide training and education to new and beginning farmers. https://t.co/Bbc4TH8C0G
x233696188,SenateAgDems,2018-09-04T23:04:33Z,x1037114220293365760,5,4,Tomorrow morning at 9:30AM ET: Tune in LIVE to the #FarmBill Conference Committee Meeting. Watch: https://t.co/g42hMlnujx
x233696188,SenateAgDems,2018-09-05T12:55:00Z,x1037323209614315520,0,2,TODAY at 9:30am ET: Watch the #FarmBill Conference Committee Live at https://t.co/g42hMl5SUX
x233696188,SenateAgDems,2018-09-05T13:39:56Z,x1037334518175289344,21,22,The #FarmBill18 Conference Committee Meeting has begun. Tune in LIVE: https://t.co/x4yCIqQEcF https://t.co/fDHmfF6Pyg
x233696188,SenateAgDems,2018-09-05T13:45:07Z,x1037335822708686853,4,6,RM @SenStabenow begins her opening statement at the #FarmBill18 conference committee meeting. Watch Live: https://t.co/g42hMlnujx
x233696188,SenateAgDems,2018-09-05T14:13:59Z,x1037343087675273216,1,4,Read the Ranking Member's full opening statement here: https://t.co/It2qUGrerw #FarmBill18 https://t.co/pyBdHf2q9l
x233696188,SenateAgDems,2018-09-11T15:28:21Z,x1039536130574696448,3,1,.@SenDougJones is spot on. That’s why the Senate #FarmBill18 includes support to help expand access to telemedicine and high-speed internet in rural communities. https://t.co/Vod7jpfQv7
x233696188,SenateAgDems,2018-09-13T13:31:20Z,x1040231456981876739,0,1,"TODAY at 10am ET: Watch the #SenateAg hearing ""Perspectives on U.S. Agricultural Trade."" Catch it live at: https://t.co/g42hMlnujx"
x233696188,SenateAgDems,2018-09-13T14:18:48Z,x1040243403634737152,1,2,RM @SenStabenow starts her opening statement at the #SenateAg hearing on #agtrade. Livestream: https://t.co/g42hMlnujx
x233696188,SenateAgDems,2018-09-13T14:45:26Z,x1040250106115772416,2,4,Read RM @SenStabenow's full opening statement at the #agtrade hearing here: https://t.co/NDOpjTRrF0 https://t.co/PoCwtjg0tB
x233696188,SenateAgDems,2018-09-26T16:00:51Z,x1044980126189006848,16,10,Statement from Senate and House Ag Committee leaders on the Farm Bill: We are still at the table. #FarmBill18 https://t.co/DKyuYoBps2 https://t.co/FHTGX5kvbX
x233696188,SenateAgDems,2018-10-12T14:32:05Z,x1050755994966511616,66,27,"Day in and day out, our farmers work hard to grow the food we eat. On #NationalFarmersDay, and every day, we thank them for their dedication. https://t.co/u8IaVMYBY6"
x233696188,SenateAgDems,2018-11-11T23:18:43Z,x1061760161461743616,4,1,"As we honor all those who have served our nation this #VeteransDay, we salute our farmer veterans. After bravely serving our nation, we owe it to them to ensure they have the resources they need to start and sustain fulfilling careers in agriculture."
