user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x55421408,SenateDoctors,2010-06-22T15:15:27Z,x16778142301,0,0,Dr Barrasso and @SenJohnMcCain are on the Senate floor talking about health care. Watch live: http://cs.pn/d2mkdG #hcr
x55421408,SenateDoctors,2010-06-22T15:29:46Z,x16778931639,0,1,Learn more about the Democrats' flawed health care bill at the 2nd Opinion website: http://bit.ly/cn5UAs #hcr
x55421408,SenateDoctors,2010-06-22T22:39:49Z,x16803747481,2,17,ABC News: Medicare Havoc is Here - 50 Million Medicare Claims Get Trimmed http://bit.ly/c0UFJR
x55421408,SenateDoctors,2010-06-23T13:39:39Z,x16850446548,0,3,If the health care bill was about lowering costs why does the gov want price controls? http://bit.ly/b3nRLn #hcr
x55421408,SenateDoctors,2010-06-23T13:42:32Z,x16850631521,0,2,"Sen. John Barrasso, M.D., is on the Senate floor continuing to give his 2nd Opinion of the #hcr bill. Watch: http://cs.pn/d2mkdG"
x55421408,SenateDoctors,2010-06-23T13:46:09Z,x16850862883,0,0,Here is the story just mentioned by Sen. Barrasso on doctors limiting new Medicare patients: http://bit.ly/aHPGEc #hcr
x55421408,SenateDoctors,2010-06-23T13:55:23Z,x16851457227,0,1,Sen. Mike Johanns is on the Senate floor speaking on the problems w/ the health care bill. Watch live: http://cs.pn/d2mkdG
x55421408,SenateDoctors,2010-06-23T14:00:47Z,x16851829377,0,0,Sen. Johanns mentioned a health care mailer sent to seniors. Here are some details: http://bit.ly/cGQ9tL #hcr #tcot
x55421408,SenateDoctors,2010-06-23T14:19:48Z,x16853081076,1,1,RT @gopconference: “ObamaCare has given the American people nothing but a string of broken promises.”  http://bit.ly/aMOlYq #hcr
x55421408,SenateDoctors,2010-06-23T14:42:39Z,x16854656811,0,0,"Gallup: ""Independents lean against the [health care] bill by an eight-point margin, 51% to 43%"" http://fb.me/APb76Z0L"
x55421408,SenateDoctors,2010-06-25T02:49:17Z,x16981975421,0,1,RT @TheEconomist: Republican efforts to undermine Barack Obama’s health reforms are intensifying http://econ.st/dqHcPX
x55421408,SenateDoctors,2010-06-28T18:12:39Z,x17269477513,0,0,"RT @GOPLeader: Sen. John Barrasso, MD (R-WY) op-ed in @CSTribune: President Obama's Broken Health Care Promises http://bit.ly/9avSGH #hcr"
x55421408,SenateDoctors,2010-06-30T15:51:10Z,x17423571100,1,1,RT @Senate_GOPs: New coverage for uninsured people in poor health http://bit.ly/bW9kz8
x55421408,SenateDoctors,2010-06-30T18:20:33Z,x17432846290,0,0,"RT @Senate_GOPs: Senator Barrasso on the floor now discussing the health care bill, watch A Second Opinion here http://cs.pn/7P5je9 #hcr"
x55421408,SenateDoctors,2010-07-01T13:37:25Z,x17492791352,0,1,"Alabama tanning salon owner on new tanning tax: ""It will hit a lot of people"" http://bit.ly/az9xk8 #hcr"
x55421408,SenateDoctors,2010-07-01T13:43:33Z,x17493164831,0,0,A new tax on tanning has started to pay for the Democrats' health care bill. What do you think about that? http://fb.me/AKq51PwW
x55421408,SenateDoctors,2010-07-02T14:54:26Z,x17578191494,0,2,"AP: Health overhaul may mean longer ER waits, crowding http://yhoo.it/9wufMj #hcr"
x55421408,SenateDoctors,2010-07-02T15:23:28Z,x17580512846,0,1,Are you worried about access to primary physicians? Let us know. http://fb.me/BtoExyYo
