user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x14344823,SenateGOP,2018-10-21T14:10:00Z,x1054011926009733120,640,153,"“I’m proud of our vote to confirm Justice Brett Kavanaugh” Read more as @SenateMajLdr discusses Senate confirmation “of one of the most qualified Supreme Court nominees in history.”⤵️
https://t.co/WJuu3rj4xH"
x14344823,SenateGOP,2018-10-21T23:15:00Z,x1054149079700303873,1201,463,"""U.S. Is World's Most Competitive Economy for First Time in a Decade"" 

Thanks to strong economic growth, the U.S. is back on top.🙌
https://t.co/tRDydoHzPT"
x14344823,SenateGOP,2018-10-22T19:15:38Z,x1054451228837601282,153,61,"“Jobless claims drop … stick to a near 50-year low”  A strong economy continues to yield results for hardworking Americans.👇
https://t.co/5W3FB0FhWn"
x14344823,SenateGOP,2018-10-22T21:35:00Z,x1054486301410377728,165,71,"Women are seeing the benefits of a thriving economy.
 
“Strong Economy Draws Women into U.S. Labor Force” More below from @WSJ ⤵️
https://t.co/4x6Huj8VmQ"
x14344823,SenateGOP,2018-10-22T23:15:00Z,x1054511467389730816,187,72,"“US economy showing momentum as leading indicators rise for 12th straight month in September” Read more below from @CNBC as the economy continues to thrive.

https://t.co/zKbmPmi4qx"
x14344823,SenateGOP,2018-10-23T12:45:00Z,x1054715310413033472,263,86,"“Strong economy draws more women into the workforce”
 
A strong economy yields benefits for women as labor-force participation among 25- to 54-year-old women rises to 75 percent. 
https://t.co/tthJRktCqW"
x14344823,SenateGOP,2018-10-23T21:30:00Z,x1054847432645922816,548,197,"The #TaxCutsandJobsAct provides real benefits for American families.
 
Under the old system: 
➡️ Families struggled to make ends meet.
 
Under the new, reformed system:
➡️ A typical family of four will receive a tax cut of more than $2,000."
x14344823,SenateGOP,2018-10-24T13:05:00Z,x1055082733062553600,122,63,"The #TaxCutsandJobsAct doubled the child tax credit from $1,000 to $2,000 to allow families to better provide for their children. https://t.co/gn022usuAM"
x14344823,SenateGOP,2018-10-24T21:15:00Z,x1055206044518047748,76,22,"Today, the U.S. Senate worked with the @DEAHQ to host Federal Take Back Day – where members of the Senate community can safely and responsibly dispose of unused prescription medications. For more information about National #TakeBackDay please visit https://t.co/kpJKkU4YmV. https://t.co/sswfoL6a0j"
x14344823,SenateGOP,2018-10-24T22:05:00Z,x1055218627262074880,207,69,Republican-led tax reform has resulted in higher wages and more jobs. https://t.co/bitxMKZbTQ
x14344823,SenateGOP,2018-10-25T15:45:00Z,x1055485385474748416,90,48,"The #TaxCutsandJobsAct included benefits that help Americans keep more of their hard-earned money. Under the new system, the standard deduction increased to $12,000 for individuals. https://t.co/nGuXBS6k6B"
x14344823,SenateGOP,2018-10-25T21:45:00Z,x1055575981950468096,132,51,"Thanks to Republican-led #TaxReform, Americans are able to save for their future needs. https://t.co/foqGIsESDz"
x14344823,SenateGOP,2018-10-26T14:00:31Z,x1055821477646426117,372,121,"Thanks to Republicans’ pro-growth policies, the economy continues to thrive. https://t.co/DHCSMe6nDd"
x14344823,SenateGOP,2018-10-26T19:30:00Z,x1055904397635567623,165,72,"“The U.S. economy grew at a 3.5% pace in the third quarter, faster than expected” Read more in @CNBC as strong economic growth continues to beat expectations.
https://t.co/lae0J0VPnQ"
x14344823,SenateGOP,2018-10-27T13:05:00Z,x1056169896311226368,101,52,Today is Prescription Drug #TakeBackDay. Check your medicine cabinet for unused or expired prescription drugs and visit https://t.co/ClPftqN4LI to find a safe disposal site near you. https://t.co/M5a3s6Rv7o
x14344823,SenateGOP,2018-10-27T15:10:00Z,x1056201352605523969,98,46,47 people die every day from overdoses involving prescription opioids. Protect your family and friends. Find a disposal site at https://t.co/zl0KKCfn6D #TakeBackDay https://t.co/5gA8rQ8A6e
x14344823,SenateGOP,2018-10-28T15:45:00Z,x1056572548454866944,488,161,Americans are feeling positive about a thriving U.S. economy. https://t.co/TLTNzghTPD
x14344823,SenateGOP,2018-10-28T18:15:00Z,x1056610297354616832,358,151,"Thanks to a thriving economy, the U.S. is back on top. https://t.co/ZhOLLpNXlC"
x14344823,SenateGOP,2018-10-28T23:05:00Z,x1056683278617493505,808,292,"The last time the unemployment rate was this low, the battery-powered smoke detector was invented. https://t.co/KY9bJUvM0S"
x14344823,SenateGOP,2018-10-29T15:10:56Z,x1056926364371218434,284,114,Women are seeing the benefits of a strong U.S. economy. https://t.co/ZmBDpXdMs4
x14344823,SenateGOP,2018-10-29T18:15:00Z,x1056972685547311106,108,56,"The #TaxCutsandJobsAct reduced the federal income tax burden for tens of millions of American families. Under the new system, the standard deduction increased to $24,000 for joint filers. https://t.co/nITbdQJZba"
x14344823,SenateGOP,2018-10-29T21:45:00Z,x1057025534557872128,411,161,"The last time the unemployment rate was this low, the Boeing 747 made its debut. https://t.co/d6ey0gZuWL"
