user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x117501995,SenatorCantwell,2018-10-15T21:30:00Z,x1051948328835928064,183,98,"NEW STUDY: ""Nearly 20% of low-income people in states that did not expand #Medicaid said they passed up needed medical care in the past 12 months because they couldn’t afford it.""

Medicaid is a key part of our #healthcare delivery system.

https://t.co/Xz4Dxevfxx"
x117501995,SenatorCantwell,2018-10-15T23:00:01Z,x1051970981516832768,67,42,"More than 650,000 people in Washington state have gained coverage through the expansion of #Medicaid coverage.

Medicaid is a key part of our #healthcare delivery system, and we should continue moving toward ways to innovate in Medicaid and save costs.

https://t.co/Xz4Dxevfxx"
x117501995,SenatorCantwell,2018-10-16T00:25:34Z,x1051992511143661569,92,13,"We lost a trailblazer today.  Paul pushed us to find our better selves to make the world a better place. From a garage in his beloved Northwest, Paul was a disruptive agent of change who revolutionized how we learn, communicate, and interact. https://t.co/kOFP0bHv24"
x117501995,SenatorCantwell,2018-10-16T00:35:00Z,x1051994885329444864,37,5,"The Tri-Cities area is a vital part of our state's economic engine. I'm so glad to see that Tri-Cities Airport is adding new nonstop service to Los Angeles, which will help us unlock even greater opportunities and more jobs for the region."
x117501995,SenatorCantwell,2018-10-16T02:00:01Z,x1052016281010851840,45,9,"I was proud to help write the FAA bill that funded air traffic control towers, including the tower at Walla Walla Regional Airport. Regional airports are a critical economic driver for communities throughout Washington state.

https://t.co/WZs02Infoo"
x117501995,SenatorCantwell,2018-10-16T15:30:01Z,x1052220121991634945,32,17,"A new report from @USGAO found that “low-income people in states that haven’t expanded Medicaid are much more likely to forgo needed medical care than those in other states.”

The #Medicaid expansion has helped thousands of people in Washington state.

https://t.co/Xz4Dxevfxx"
x117501995,SenatorCantwell,2018-10-16T17:30:00Z,x1052250320217227273,18,5,"This month, the Senate passed #bipartisan legislation I helped author to fully fund contract air traffic control towers, which will help Walla Walla Regional Airport pay for its air traffic control tower under contract with the #FAA.

https://t.co/WZs02I5EwQ"
x117501995,SenatorCantwell,2018-10-16T19:30:01Z,x1052280519969259520,42,17,"For the families, people with disabilities, seniors, children, and veterans who use Medicaid for #healthcare, we cannot allow the war on Medicaid to continue.

#Medicaid is a key part of our health care delivery system.

https://t.co/Xz4Dxevfxx"
x117501995,SenatorCantwell,2018-10-16T21:30:00Z,x1052310718245232641,13,3,"My #FAAreauthorization legislation, which the U.S. Senate passed earlier this month, reforms the #FAA’s Contract Tower Cost Share Program.

This will save the @PortWallaWalla roughly $100,000 per year.

https://t.co/WZs02I5EwQ"
x117501995,SenatorCantwell,2018-10-16T23:30:00Z,x1052340915887472641,55,28,"Access to #healthcare through the #Medicaid expansion was big in Washington state, especially among rural communities.

Thanks to the expansion, counties like Douglas and Chelan have seen their uninsured rates drop by more than 60%.

https://t.co/Xz4Dxevfxx"
x117501995,SenatorCantwell,2018-10-17T01:30:00Z,x1052371115350183937,47,7,"Regional airports are a critical economic driver for communities throughout Washington state.

From Walla Walla to Bellingham, ensuring these communities have thriving airports helps grow small businesses and create new jobs.

https://t.co/WZs02Infoo"
x117501995,SenatorCantwell,2018-10-17T19:14:34Z,x1052639020881203200,128,29,Honored to have received a 100 score on the @HRC scorecard for my commitment to protecting and advancing the rights of #LGBTQ people. Together we will continue the march towards full equality. #HRCscorecard https://t.co/XYz4sJA4b3
x117501995,SenatorCantwell,2018-10-24T00:30:00Z,x1054892730973855744,112,60,"The Trump administration is pushing yet another plan to expand junk insurance that doesn’t cover basics &amp; hurts people with pre-existing conditions.

Americans want more affordable #healthcare with meaningful coverage—not junk plans that don’t protect us.

https://t.co/Rqdpq7sk6V"
x117501995,SenatorCantwell,2018-10-24T18:00:01Z,x1055156974139117570,62,11,"As I’ve traveled through the state of Washington, law enforcement officers &amp; local communities have told me we need new tools to fight the #opioid epidemic. That’s why I’ve worked with people across our state to try to provide the solutions our law enforcement &amp; communities want."
x117501995,SenatorCantwell,2018-10-24T20:08:34Z,x1055189326684930048,22,10,"Last month I met with law enforcement leaders, including @AGOWA Ferguson, @KingCountyWA Undersheriff Somers, @PierceSheriff Pastor &amp; @SnoCoSheriff Trenary, to discuss #bipartisan legislation to fight back against the #opioid epidemic.

Today that bill was signed into law. https://t.co/8ja6xtd6LV"
x117501995,SenatorCantwell,2018-10-24T21:30:00Z,x1055209821358690305,151,47,People should not be discriminated against because of their medical history. We must defend the provision of the Affordable Care Act that protects coverage for pre-existing conditions. #ACA
x117501995,SenatorCantwell,2018-10-25T00:30:03Z,x1055255129002135553,322,163,"The Affordable Care Act’s pre-existing condition protections are under threat by a federal lawsuit, supported by the Trump administration, that could be decided by the U.S. Supreme Court.

Patients should not be denied access to #healthcare because of a pre-existing condition."
x117501995,SenatorCantwell,2018-10-25T03:30:00Z,x1055300416857083904,29,13,"Today, the SUPPORT for Patients &amp; Communities Act was signed into law. It contains more than 70 proposals to help combat the #opioid &amp; heroin epidemic, including important initiatives &amp; priorities I authored &amp; advocated for.

See the full list here: https://t.co/C6OyRFuSF8. https://t.co/gfYcNhebla"
