user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x249787913,SenatorCarper,2018-10-01T16:02:02Z,x1046792364126351360,223,176,"Is this really the way @realDonaldTrump's administration intends to celebrate #NationalChildHealthDay?

Scrapping the rule that keeps mercury – a known neurotoxin – from polluting our environment and permanently affecting our young, developing children is a new low https://t.co/CWp1VWyat1"
x249787913,SenatorCarper,2018-10-01T19:22:09Z,x1046842723104444416,64,44,PSA: @EPA hosted its ONLY hearing today on @realDonaldTrump’s #DirtyPowerPlan – a plan that fails to protect the American people from the serious risks of climate change and fails to produce the same health and energy saving benefits that were achieved under the #CleanPowerPlan https://t.co/SJMi2fx902
x249787913,SenatorCarper,2018-10-02T20:20:21Z,x1047219757064314881,37,38,"The Trump administration is now claiming cancer-causing radiation is good for human health in its justification for gutting yet another vital environmental protection. 

Yes, you read that right.
https://t.co/6ibGxUMo6Y"
x249787913,SenatorCarper,2018-10-03T19:22:04Z,x1047567480682631168,11,3,Congress came together today around a long-term funding bill for aviation that provides certainty to businesses and funding for #infrastructure that keeps Delawareans moving – including reforms I’ve championed to safely speed up TSA security lines ✈️✈️ https://t.co/QEIoDZuEz4
x249787913,SenatorCarper,2018-10-03T23:15:48Z,x1047626301450932229,21,4,"NEWS: With overwhelming bipartisan support, the Senate has passed a sweeping opioid package which includes my bills with @SenJohnThune and @PatRoberts to help those suffering from addiction have better, more efficient access to the life-saving treatments they need https://t.co/JPJuoFGx51"
x249787913,SenatorCarper,2018-10-04T16:19:20Z,x1047883881733677057,20,10,"Today, I had the chance to sit down with Terra and Donita from @girlsincde to talk about the important work they’re doing to reduce the number of young women in the juvenile justice system. Thank you both for your commitment to empowering #StrongSmartBold girls https://t.co/sBybkysS1S"
x249787913,SenatorCarper,2018-10-05T13:03:37Z,x1048197015069478913,1215,495,"I’ve read the FBI report. 

❌ Dr. Ford wasn’t interviewed. 
❌ Dozens of people who know Dr. Ford, Ms. Ramirez and Brett Kavanaugh weren’t interviewed. 
❌ Brett Kavanaugh wasn’t interviewed.

It is clear this process was never designed to inform."
x249787913,SenatorCarper,2018-10-05T14:41:38Z,x1048221682283028480,35,14,"Americans are right to be concerned about the nomination of Brett Kavanaugh for endless reasons, but we can't forget about what his confirmation would mean for our environment and public health. Here’s a quick rundown of what’s at stake: https://t.co/48V57aZdPA"
x249787913,SenatorCarper,2018-10-05T16:50:10Z,x1048254026230448128,192,37,I’ll be speaking on the Senate floor about why I’m voting against Judge Kavanaugh. Watch live here: https://t.co/MWzc1oLEt7
x249787913,SenatorCarper,2018-10-06T00:14:00Z,x1048365721376497664,105,29,"In an effort to get to the truth before taking such a consequential vote, my Democratic colleagues and I called for a nonpartisan FBI investigation.

What we ended up with falls far short of what the Senate, Dr. Ford and the American people deserve. https://t.co/MuWxqZ2Z75"
x249787913,SenatorCarper,2018-10-06T19:30:25Z,x1048656744476528642,74,26,"To all my Senate colleagues:
One of the most important responsibilities we have is considering and confirming nominees to serve on the highest court in our land.
 
Before we walk into the Senate chamber and cast our final vote, remember history is watching https://t.co/OMS0HbUfTY"
x249787913,SenatorCarper,2018-10-07T23:54:39Z,x1049085626501484545,65,38,Neurotoxins like #mercury affect human health and the environment in devastating and long-lasting ways. It’s nonsensical that @realdonaldtrump’s @EPA would weaken bipartisan and effective protections against it. https://t.co/4x8KrA7Fse
x249787913,SenatorCarper,2018-10-08T20:41:00Z,x1049399282913239040,15,6,Join us on 10/20 to watch the christening ceremony of the #USSDELAWARE with your fellow Delawareans  #netde https://t.co/IlbeeptNMX
x249787913,SenatorCarper,2018-10-08T22:58:24Z,x1049433860755415040,114,40,"Today I joined #postal workers in Wilmington to rally against the Trump administration’s foolish effort to privatize the #USPS. Earlier this year, I intro’d legislation to stabilize, preserve &amp; improve the USPS to protect this essential part of our infrastructure and economy. https://t.co/UTlyCbSwih"
x249787913,SenatorCarper,2018-10-09T20:57:39Z,x1049765858447413248,12,9,"This is a step back in the fight against #climatechange and it hurts American exporters. Phasing down HFCs is a bipartisan goal with the backing of industry and environmental groups, and my bill with @SenJohnKennedy spurs transition to clean alternatives: https://t.co/JgrUdXu7nR https://t.co/p8LOjbUXkT"
x249787913,SenatorCarper,2018-10-09T21:25:59Z,x1049772990823587841,29,12,"I’m about to be on the floor to discuss America’s Water Infrastructure Act – a major bipartisan bill I co-authored to update and enhance Delaware water #infrastructure to create jobs, protect communities and secure safe drinking water. Watch live:  https://t.co/QwQhX9Fngz"
x249787913,SenatorCarper,2018-10-10T00:18:07Z,x1049816310471946242,38,16,"Every year in the U.S., the wealthiest country on Earth, nearly 900 women die during childbirth.
 
50,000 are severely injured.
 
It's inexcusable that we are failing to protect pregnant women, particularly women of color, at what should be a joyful time https://t.co/CdKXCnMn8v"
x249787913,SenatorCarper,2018-10-10T16:50:07Z,x1050065955693502466,12,12,BIG NEWS for job growth and public health: a major bipartisan bill I co-authored as ranking member of @EPWDems to update and enhance our nation’s water #infrastructure has passed the Senate and is on its way to the president’s desk. My statement: https://t.co/uE09Fe2wGZ https://t.co/LRqDB7Z8Lw
