user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x19726613,SenatorCollins,2018-08-07T18:12:37Z,x1026893894745772032,293,23,"There are far too many delicious meals to choose just one! Congrats to all the restaurants in Portland that make this city not only a culinary destination, but a great place to work, live, &amp; visit. https://t.co/KSis8USlpS"
x19726613,SenatorCollins,2018-08-08T18:13:36Z,x1027256528271761410,64,11,"“Because a family’s love is good medicine.” - this is a motto of the @FisherHouseFdtn, an incredible organization that gives families of our veterans a place to stay when their loved one is receiving medical care. (1/2) https://t.co/gauNyQGph2"
x19726613,SenatorCollins,2018-08-08T21:04:27Z,x1027299523830403072,215,40,"The U.S. faces an enormous backlog of necessary infrastructure repairs. A $14.2 million grant I announced at @UMaine today will allow the University’s world-class engineers to advance innovative solutions to build longer-lasting and lower-cost bridges, roads, and rail. https://t.co/AQRpPlpgJ5"
x19726613,SenatorCollins,2018-08-09T14:00:27Z,x1027555208627404800,1288,172,The movie Hidden Figures tells the stories of the brilliant African-American women who played a pivotal role at @NASA during the Space Race. I recently signed onto a bill to award these amazing women Congressional Gold Medals. https://t.co/U1B6OnZTLt
x19726613,SenatorCollins,2018-08-14T19:16:16Z,x1029446624748228615,111,34,Who would think that using your debit card to pay for Rx drugs would be less expensive than using your insurance card?  You have a right to know when you can get your medications cheaper.  Read my @bangordailynews column on an egregious practice that could be costing you money. https://t.co/NmPhesEEtj
x19726613,SenatorCollins,2018-08-14T20:44:40Z,x1029468872548802565,717,105,"After 11-year-old Destany had a cancerous brain tumor removed, she &amp; her friend CC opened a lemonade stand in Lewiston to benefit @BBCHMaine &amp; St. Mary’s Hospital, raising nearly $2,000!  I wrote to these girls to let them know how proud I am of their hard work to help others. https://t.co/iVeKjwTX1j"
x19726613,SenatorCollins,2018-08-15T12:54:52Z,x1029713033390641152,80,21,.@PewTrusts is an amazing partner in our effort to combat rising drug costs.  I had the pleasure of giving a speech at PEW recently about the work we’re doing in Congress to help ensure that lifesaving Rx drugs are affordable for all Americans. Listen here. https://t.co/TLCjzbFh64
x19726613,SenatorCollins,2018-08-16T18:03:19Z,x1030153044388995072,63,9,"The loss of Chris Cousins leaves a hole that will be felt by his family and friends, by his colleagues, and by his readers who relied on Chris’ insightful reporting. This touching tribute encapsulates the wonderful man he was. https://t.co/iO4OCFcEPv"
x19726613,SenatorCollins,2018-08-16T19:17:04Z,x1030171605140484096,300,34,"When Maine native Jason Maxwell saw a man drowning in the Port of Seattle, he didn’t hesitate to dive into the freezing water to rescue him.  Jason is a shining example of the willingness of Maine people to help those in need, and we are so proud of his heroic actions. https://t.co/rJ2Yplp0ba"
x19726613,SenatorCollins,2018-08-16T21:34:42Z,x1030206239815479296,1411,129,"Aretha Franklin was not only one of the world's greatest singers, she was an icon &amp; the undisputed “Queen of Soul.” I once had the privilege of watching Aretha perform “Respect,” an anthem for countless women. RIP, Aretha. Your music leaves behind a lasting legacy."
x19726613,SenatorCollins,2018-08-18T01:03:18Z,x1030621122679726081,133,11,Auburn Police Chief Phil Crowell is an extraordinary leader. I was so glad to be in Auburn today to celebrate his retirement &amp; thank him for his 25 years of exceptional service.  I also gave him a special present: an American flag I had flown over the U.S. Capitol in his honor. https://t.co/ZQIl5sjTLy
x19726613,SenatorCollins,2018-08-20T14:31:23Z,x1031549260431548416,375,54,"My dear friends, Senators Bob and Elizabeth Dole, are tremendous advocates for all our military caregivers. It was such a pleasure to speak about our shared efforts to support these “hidden heroes” at a luncheon for the @DoleFoundation. https://t.co/5EqtdH3xsZ"
x19726613,SenatorCollins,2018-08-20T18:44:40Z,x1031613002817171456,111,20,"When a local bank manager noticed unusual withdrawals on an account owned by Dawn Shaw, a retired legal secretary in Maine, she notified Dawn’s family &amp; stopped this fraudulent activity. https://t.co/AJqVDZHRbN"
x19726613,SenatorCollins,2018-08-21T19:51:28Z,x1031992201151172608,393,154,"In a more than two-hour meeting in my office today, Judge Kavanaugh &amp; I had a productive, informative discussion about a wide range of issues, including: his judicial philosophy, his respect for precedent, &amp; the importance of an independent judiciary.  Read my statement here: https://t.co/BSIRUlpfTv"
x19726613,SenatorCollins,2018-08-21T20:42:56Z,x1032005149647151104,100,16,"WATCH LIVE: Senator Collins speaks from the Senate floor in support of the defense funding bill, which is vitally important to ensure our men &amp; women in uniform, as well as DOD civilians, have the training &amp; equipment they need to defend our nation. https://t.co/85HM2j2Da3"
x19726613,SenatorCollins,2018-08-22T17:29:28Z,x1032318852657557504,544,64,"In Maine, our economy is inextricably linked to the environment. And our state has made substantial progress in reducing carbon emissions, increasing energy efficiency, adopting clean energy technologies, &amp; improving air quality &amp; public health."
x19726613,SenatorCollins,2018-08-23T15:44:15Z,x1032654760510468098,507,99,WATCH LIVE: Senator Collins speaks from the floor about the urgent need to keep increasing funding for Alzheimer’s research. Robust funding for Alzheimer’s research will help us usher in a new era in our battle against this devastating disease. https://t.co/3QEFWbPdW4
x19726613,SenatorCollins,2018-08-24T16:45:49Z,x1033032642428628992,2735,244,"My husband Tom &amp; I are praying for John McCain, Cindy, and their family. He is a great friend and a true American hero."
x19726613,SenatorCollins,2018-08-26T00:47:58Z,x1033516367172038656,4968,585,"John McCain was a great American, a terrific Senator, and a wonderful friend and mentor who taught me so much.  May God be with this hero who has earned his rest."
x19726613,SenatorCollins,2018-08-26T11:56:21Z,x1033684570326134784,480,46,"TUNE IN: I’ll be speaking with @JakeTapper on @CNNSotu this morning at 9:20 a.m. to discuss the life and legacy of my dear friend, Senator John McCain."
x19726613,SenatorCollins,2018-08-26T13:44:55Z,x1033711894689927168,570,69,"John McCain was a great patriot and a close friend.  It was an honor to serve alongside him in the Senate.  He will be deeply missed, but he leaves behind an extraordinary legacy that will inspire Americans for generations to come. My full statement here: https://t.co/cBs4n5w9pB https://t.co/JA6trfpL1W"
x19726613,SenatorCollins,2018-08-26T20:14:15Z,x1033809871983050752,4741,651,Senator John McCain is irreplaceable. He will be greatly missed by all of us in the Senate. I spoke with @jaketapper on @CNNSotu this morning to discuss John’s life and legacy. https://t.co/zjF02EI5q0
x19726613,SenatorCollins,2018-08-27T11:52:53Z,x1034046089228443651,38,8,TUNE IN: I’ll be speaking with @MatthewGagnon and Joe Regan on @WGANMorningNews at 8:08 a.m.  Click here to listen live: https://t.co/4UyvRuqTDu
x19726613,SenatorCollins,2018-08-27T22:16:12Z,x1034202948379656192,282,42,"WATCH: From the Senate floor, Senator Collins pays tribute to Senator John McCain. https://t.co/CWkOBVdILe"
x19726613,SenatorCollins,2018-08-28T21:50:25Z,x1034558847917195266,516,87,"Each year, 200,000 children born in the U.S. are exposed to unsafe levels of mercury, which can lead to serious health issues. @SenatorCarper &amp; I introduced a bill to help protect our nation’s health &amp; environment by tracking mercury pollution. https://t.co/hhe9fDkUcv"
x19726613,SenatorCollins,2018-08-29T21:16:39Z,x1034912740907929601,352,68,Victory today for local newspapers! The ITC announced it will reverse the high import taxes it had levied on Canadian newsprint. Decision will help save jobs &amp; ensure our newspapers can continue to have a strong voice in our communities. https://t.co/tW8wFxTkF2
x19726613,SenatorCollins,2018-09-01T12:51:18Z,x1035872726651740162,1448,88,Tom &amp; I are on our way to the memorial service for John McCain at the National Cathedral. Yesterday’s ceremony in the Rotunda was a moving tribute to John.
x19726613,SenatorCollins,2018-09-03T23:31:12Z,x1036758541472804864,1198,153,"On this Labor Day, I take special pride that the USS JOHN McCAIN was built by the world’s best shipbuilders at Bath Iron Works. Here’s BIW’s tribute to John &amp; his family, which I shared w/ Cindy McCain who so appreciated it.  https://t.co/j6eiWGtrwq"
x19726613,SenatorCollins,2018-09-04T19:25:18Z,x1037059045717364736,654,89,"I look forward to welcoming back to the Senate my friend Jon Kyl, who served Arizona so ably in the past and will do so once again now that Governor Ducey has appointed him to fill John McCain’s seat."
x19726613,SenatorCollins,2018-09-05T15:03:53Z,x1037355643932499968,185,34,WATCH LIVE: Senator Collins questions executives from Facebook and Twitter regarding their responses to foreign influence operations. https://t.co/KzS7JbGugd
x19726613,SenatorCollins,2018-09-05T22:35:49Z,x1037469378135158784,627,122,“We simply haven’t done enough” - @Jack agrees Twitter must do more to let you know if you’ve been targeted in a foreign influence operation. Much more must be done to protect users &amp; our democracy. https://t.co/AhkTLy7dAl
x19726613,SenatorCollins,2018-09-09T00:14:56Z,x1038581485215907841,7204,825,Spent a wonderful hour with President George H.W. Bush at his home in Kennebunkport yesterday. President Bush served his country faithfully and well. And how he loves the State of Maine!
x19726613,SenatorCollins,2018-09-11T15:31:33Z,x1039536934715097097,870,140,"In what seemed like a moment, September 11th was transformed from a day like any other into one that, forever, will stand alone. The loss we relive reminds us of the value of all that we must protect. The heroism reminds us of the unconquerable spirit of the American people. https://t.co/N99uByQ5Wl"
