user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x291756142,SenatorEnzi,2018-08-17T03:02:11Z,x1030288655104004101,12,12,The Obama-era Waters of the U.S. (WOTUS) rule was a massive regulatory overreach by the EPA that should have never been allowed in the first place. It is disappointing that a federal judge reinstated WOTUS in some states. https://t.co/89i4cPl7at
x291756142,SenatorEnzi,2018-08-21T14:04:52Z,x1031904972923973634,7,4,"I am glad the Trump Administration is working to provide flexibility for states, the energy industry and the entire nation by replacing the overly burdensome Clean Power Plan. https://t.co/8dgmcGDDlw"
x291756142,SenatorEnzi,2018-08-21T15:25:00Z,x1031925140316028930,5,5,The Trump Administration’s efforts to replace the Clean Power Plan would help provide flexibility to the coal industry in Wyoming that suffered under severe restrictions. https://t.co/8dgmcGVed4
x291756142,SenatorEnzi,2018-08-21T15:30:05Z,x1031926418807115776,1,2,Chairing a hearing today at 2:30 p.m. EST on the state of financial literacy &amp; retirement security. Will have great witnesses to talk about best practices for promoting financial literacy that might help those Americans looking to save for their future. https://t.co/jPnefiepOW
x291756142,SenatorEnzi,2018-08-21T23:12:40Z,x1032042832134107137,13,6,I held a roundtable today with expert witnesses to explore what efforts are being made by the government and private sector to ensure people have the financial literacy they need to save for retirement. https://t.co/hmPHAWX8Ne
x291756142,SenatorEnzi,2018-08-22T00:22:00Z,x1032060280925310976,8,6,"Financial literacy can be the key to help Americans save for retirement. Held a roundtable on the issue today with expertise witnesses, including U.S. Treasurer Jovita Carranza. More here: https://t.co/fzA7UwB1xh https://t.co/2UQmKhOP1y"
x291756142,SenatorEnzi,2018-08-24T14:55:08Z,x1033004789054033920,181,69,Joined @SenTedCruz this week in urging @USTreasury to cut the Iranian regime off from the global banking system. https://t.co/3MKWKgE52E
x291756142,SenatorEnzi,2018-08-26T01:35:46Z,x1033528395836153858,37,12,"Senator John McCain was a true patriot who dedicated his life to serving his country, his constituents and his family with honor. He rightfully earned his maverick moniker with his iron strength of will to stand up and fight for what he believed was right."
x291756142,SenatorEnzi,2018-08-29T18:29:18Z,x1034870626123702273,7,10,It is a relief that the U.S. International Trade Commission has ended tariffs on imports from Canada that were hurting our newspapers in Wyoming and the communities they serve. https://t.co/VSyJtUqV10
x291756142,SenatorEnzi,2018-08-31T16:30:49Z,x1035565584669392896,8,5,Today we gathered in the U.S. Capitol to honor Senator John McCain. He served his country. He served it well. America will never forget that service. Full statement here - https://t.co/QNMCzBPhMw
x291756142,SenatorEnzi,2018-08-31T16:46:16Z,x1035569469815435265,10,3,Federal judge should not halt grizzly bear hunts in Wyoming. https://t.co/krfpbHATyB
x291756142,SenatorEnzi,2018-08-31T18:06:00Z,x1035589536028520448,12,6,It is unfortunate that activist litigation has once again delayed the process of allowing states to properly manage their own wildlife. https://t.co/krfpbHATyB
