user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x946549322,SenatorHassan,2018-10-12T20:15:27Z,x1050842404528553984,57,17,"I am extremely glad to hear the news that Pastor Andrew Brunson has been released from his unjust imprisonment in Turkey. I'm thankful for all those who worked to free him, including @SenatorShaheen. I hope he is able to return home as soon as possible."
x946549322,SenatorHassan,2018-10-12T21:48:37Z,x1050865848607494144,229,72,There must be no question that the United States of America will always fiercely defend human rights and freedom of the press. I am extremely concerned by the possible murder of journalist Jamal Khashoggi and by the President's tepid response. We must demand justice.
x946549322,SenatorHassan,2018-10-13T15:40:15Z,x1051135534343565312,26,7,"Happy birthday to @USNavy! Thank you to all our Navy service members and veterans who have helped keep us safe, secure, and free for 243 years. https://t.co/mdHM54mM4y"
x946549322,SenatorHassan,2018-10-14T15:38:42Z,x1051497532969373697,55,11,Thank you to all who participated in the Footrace for the Fallen. We will never forget our fallen police officers. https://t.co/69udMY475e
x946549322,SenatorHassan,2018-10-14T18:34:10Z,x1051541689142267905,41,15,"I had the opportunity to help work on this home and I'm thrilled to see it finished. Everyone deserves a safe, affordable place to call home and thank you to Habitat for Humanity and the volunteers who help make that vision a reality here in New Hampshire. https://t.co/T52BUFWA4V"
x946549322,SenatorHassan,2018-10-15T03:33:59Z,x1051677541298262017,170,25,"Sox win. Pats win. Good night, New England. #DoDamage #GoPats"
x946549322,SenatorHassan,2018-10-15T16:15:03Z,x1051869070809845761,24,9,It was great to be with the Hampton Fire/Rescue this morning to present them with a federal grant for new equipment and discuss the bipartisan Firefighter Cancer Registry Act I cosponsored that’s now law. I'm profoundly grateful for all they do to keep our state safe. https://t.co/EsGgR7RrMI
x946549322,SenatorHassan,2018-10-15T22:33:08Z,x1051964216033378304,101,37,"Secretary Betsy DeVos has consistently put shady, for-profit colleges ahead of our students. I'm glad the courts struck down her effort to delay an Obama rule that helps students who have been defrauded. But we must remain vigilant. https://t.co/ZZp7f67Y2H"
x946549322,SenatorHassan,2018-10-16T16:35:11Z,x1052236522039185410,26,12,I cosponsored a bill to require drug companies to disclose in ads how much drugs cost so Americans can make informed decisions. I'm pleased to see that @HHSGov is moving forward with a rule to do just that: https://t.co/Ufu8PRCm3A
x946549322,SenatorHassan,2018-10-16T18:59:18Z,x1052272790517272576,36,22,"Congressional Republicans claimed that their massive tax giveaways for corporate special interests would pay for themselves. Unfortunately, that couldn’t be farther from the truth. https://t.co/bgM5FwRHo3"
x946549322,SenatorHassan,2018-10-16T19:43:24Z,x1052283890822459393,338,142,What's truly disturbing is that Republican leaders are suggesting we cut benefits that hard-working Americans have earned like Social Security and Medicare to pay for tax giveaways to corporate special interests. https://t.co/M4nSk4IuWW
x946549322,SenatorHassan,2018-10-16T20:46:05Z,x1052299666690363392,63,20,Thank you to Madelyn’s family for your extraordinary courage and wisdom. We must continue to break down stigma and fight the deadly opioid epidemic that is taking beautiful lives from us every day. https://t.co/kMsxeSZJ8c
x946549322,SenatorHassan,2018-10-17T17:36:52Z,x1052614434240237568,21,13,"Today I toured Milpower Source, an innovative New Hampshire company that helps develop products that bolster our national security. It was great to hear about the work they do to create jobs and keep our country safe. https://t.co/6PhOS62jZe"
x946549322,SenatorHassan,2018-10-17T21:05:53Z,x1052667035203846144,82,35,We fought back against Republicans' attacks on Americans' health care before and we’ll keep fighting back as long as these reckless attacks continue. https://t.co/7nSLVgwenb
x946549322,SenatorHassan,2018-10-18T19:52:33Z,x1053010966382858241,28,13,"What the President calls a ""natural instinct for science"" is really just pretending climate change doesn't exist and ignoring the world's leading climate experts in order to pad the profits of the fossil fuel industry. https://t.co/pYojQtxlDJ"
x946549322,SenatorHassan,2018-10-18T20:57:14Z,x1053027245730738177,20,2,New Hampshire is a state with both beautiful natural resources and a strong history of inclusion. I got to explore the new accessible trail at the Ossipee Pine Barrens preserve that is celebrating both of those traditions and ensuring everyone can enjoy the beauty of our state. https://t.co/O0ThyI3MDR
x946549322,SenatorHassan,2018-10-18T21:53:11Z,x1053041325057163264,30,13,"All children deserve the opportunity to learn, to grow, and to lead, which starts with expanding access to early childhood education like Head Start. It was great to be at the Stafford Country Head Start today to talk about this critical program. https://t.co/ony7MSQTIr"
x946549322,SenatorHassan,2018-10-19T04:13:50Z,x1053137121194713089,110,12,World Series bound!!! @RedSox #DoDamage
x946549322,SenatorHassan,2018-10-19T18:00:16Z,x1053345098224857088,31,11,"Friendship House provides life-saving treatment and recovery services to Granite Staters living with addiction, and I want to congratulate them on today's ribbon cutting for their new residential facility. https://t.co/F1C9e3ZxMU"
x946549322,SenatorHassan,2018-10-19T20:15:52Z,x1053379225254850561,75,24,October is National Disability Employment Awareness Month. This month we remember that it is imperative that Americans who experience disabilities are fully included and have the support they need to thrive in our economy.
x946549322,SenatorHassan,2018-10-20T16:53:42Z,x1053690735315296261,64,23,Thank you to everyone who came out to remember and honor the life and legacy of journalist James Foley at the Foley Freedom Run this morning. We must continue to flight for and defend the journalistic ideals James Foley exemplified. https://t.co/nr2KBq5OuB
x946549322,SenatorHassan,2018-10-22T14:37:19Z,x1054381187551191041,10,4,Granite Staters deserve to know whether PFAS contamination in water is connected to pediatric cancer. We are pushing for a national health study to get answers for our communities. https://t.co/NrLnvSEtIf
x946549322,SenatorHassan,2018-10-22T16:29:49Z,x1054409499845558272,21,6,"As Governor, I was proud to sign legislation to help fund the new Dover Regional Career Technical Center and it was great to visit today to see its career and technical education programs in action. https://t.co/TER8ZA3BcT"
x946549322,SenatorHassan,2018-10-22T17:44:18Z,x1054428243078639617,57,31,"Everyone deserves clean drinking water. Last month, Granite Staters from Merrimack and Portsmouth traveled to Washington to advocate for their friends and neighbors who have been impacted by contamination from PFAS contaminants in their water. This is their story: https://t.co/LM59PSCJ30"
x946549322,SenatorHassan,2018-10-22T18:47:15Z,x1054444086067974145,227,62,"Transgender Americans deserve to be able to live as who they are, free from discrimination. This is wrong and I will keep fighting back against the Trump Administration’s discriminatory policies. https://t.co/2kNwYpDSVa"
x946549322,SenatorHassan,2018-10-22T21:57:34Z,x1054491979592155136,49,29,"Again and again, the Trump Administration and Washington Republicans have attacked protections for people for pre-existing conditions, and they are at it again with this new rule to weaken people’s health coverage. https://t.co/E8Vh9p7DHC"
