user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x242836537,SenatorLeahy,2018-10-25T13:56:52Z,x1055458171307868160,137,62,"Today would be good day for #POTUS to FINALLY endorse our bipartisan #CREATES Act, to actually DO something to bring down prescription drug costs, removing obstacles to generic competition. #CBO scores $3.8 B in fed. savings. Billions more for consumers. https://t.co/6F9msQGkxX"
x242836537,SenatorLeahy,2018-10-25T16:49:10Z,x1055501533524168705,74,20,"A tonic, at a tense time... https://t.co/GrI1QfgWgg"
x242836537,SenatorLeahy,2018-10-25T18:34:15Z,x1055527976513818626,243,72,"It’s #BatWeek2018, and I’m proud to continue fighting for the resources necessary to understand &amp; combat #WhiteNoseSyndrome threatening bat populations in #VT &amp; around the country. Vermont’s bats contribute to the agriculture, biodiversity and healthy ecosystems we know and love. https://t.co/s2YUjYBRee"
x242836537,SenatorLeahy,2018-10-25T19:02:51Z,x1055535174442799104,112,34,"I repeat --

Mr. President, speaking of the high cost of #prescription #drugs -- https://t.co/x5CasuVpe0"
x242836537,SenatorLeahy,2018-10-25T20:19:27Z,x1055554454815195136,63,11,Amen... https://t.co/uqlCTWnQxV
x242836537,SenatorLeahy,2018-10-26T00:24:49Z,x1055616202846978048,682,318,"This GOP obfuscation COUDN’T BE CLEARER.  They think they can lead some folks wherever they want by the nose, with these obvious lies. https://t.co/3I96lCwqHr"
x242836537,SenatorLeahy,2018-10-26T00:38:55Z,x1055619748422209537,314,94,"Sadly, this should go without saying by now.  But apparently not... https://t.co/leDupMpq4Z"
x242836537,SenatorLeahy,2018-10-26T14:34:47Z,x1055830101835833344,701,147,"Thinking of Matthew today. One of my proudest moments was finally securing passage, after a decade of work led by Ted Kennedy, of the historic hate crimes law named in Matthew’s honor. Progress is hard. Setbacks are many. But it's so worth the struggle.  https://t.co/LJTk70gsqT"
x242836537,SenatorLeahy,2018-10-26T19:30:40Z,x1055904564296249344,818,149,"Proud, again, of the men and women of law enforcement at every level for their grit, courage and professionalism in investigating these bombs intended to incite terror and chaos. Thanks for your service in defending our democracy, pursuing justice and keeping Americans safe."
x242836537,SenatorLeahy,2018-10-26T19:44:32Z,x1055908054959616000,98,31,Comment Of Senator Patrick Leahy (D-Vt.) About The Arrest Of A Terror-Bomb Suspect https://t.co/EOnUiS4qkI https://t.co/uuuvT0CYBC
x242836537,SenatorLeahy,2018-10-26T20:07:02Z,x1055913716275970050,254,63,Absolutely. Mail handlers and the professionals of the Postal Inspection Service played vital roles in solving this. https://t.co/ejDFrzHJeV
