user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x18695134,SenatorMenendez,2018-10-20T21:12:29Z,x1053755857975029761,75,18,"Celebrating 125 years of the Wallace Temple AME Zion Church in Bayonne!  The mission of this church and its pastor, Reverend Dorothy Patterson, is exactly what I advocate for in the Senate: human rights, social justice, tolerance and inclusion. Loved being here today. https://t.co/iZY7REaijW"
x18695134,SenatorMenendez,2018-10-22T15:25:28Z,x1054393304660492289,117,55,"While campaigning, Trump may have said he’d protect #LGBTQ Americans, but it was a charade - he’s still attacking this vulnerable community. Members of the LGBTQ community #WontBeErased if Congress steps in and passes The Equality Act, something that’s now more urgent than ever. https://t.co/YksuWtEJF0"
x18695134,SenatorMenendez,2018-10-23T15:46:36Z,x1054761012321239040,84,54,Honored to be w/ @njnaacp Perth Amboy over the weekend. I know my life in public service wouldn't have been possible without the leadership of the civil rights movement and the @NAACP. That's why I'll always stand with you in the fight for equal rights and opportunity for all. https://t.co/JIyq2VqHXh
x18695134,SenatorMenendez,2018-10-24T16:32:53Z,x1055135048788254720,43,25,"As a father &amp; grandfather, I'm heartbroken that 7 NJ children are gone too soon. I'm praying for these families. If anyone is frightened, know that this outbreak is limited, and I urge you to check these #Adenovirus FAQs from the @NJDeptofHealth: https://t.co/G3roKqIacz https://t.co/kIkISOo1w8"
x18695134,SenatorMenendez,2018-10-24T16:35:03Z,x1055135593108258817,82,32,Attacks and threats against anyone are wrong and un-American - be they the Clintons or Obamas or CNN or anyone you may disagree with. Thank you to law enforcement who risks their lives to address these threats and find and prosecute the perpetrators. https://t.co/rjeqNr6U0k
x18695134,SenatorMenendez,2018-10-25T17:57:54Z,x1055518831181996032,435,104,"Is President Trump really blaming the press for covering him demonizing the press? 

When will he realize that when you occupy the Oval Office, your words matter. Words can unite or they can divide. Words can diffuse tension or incite violence. Choose them wisely."
x18695134,SenatorMenendez,2018-10-25T19:42:46Z,x1055545222267052032,35,10,"NJ has lost a hero: my friend Harry Ettlinger who I had the honor of bestowing w/ the Congressional Gold Medal. He and the other ""Monuments Men"" saved some of the greatest cultural treasures in existence. Read about their determination &amp; courage here https://t.co/A0nuHW9c7Y https://t.co/M2c6ef0WB0"
x18695134,SenatorMenendez,2018-10-26T14:05:49Z,x1055822813385408513,198,50,Frightening and sad to see my friend Cory has now been targeted by these package bombs - but I know he won’t be intimidated &amp; he won’t step back from all the amazing work he’s doing. Thank you law enforcement for your diligence &amp; to our free press for keeping us informed &amp; alert. https://t.co/JrVFLuFzYO
x18695134,SenatorMenendez,2018-10-26T17:10:17Z,x1055869234708992001,15,5,"TOMORROW is National Prescription Take Back Day!  I just helped pass legislation to fund more treatment &amp; recovery services, but we’ll only beat this #opioidepidemic if you help, and this is the safest way to do it. 

Find a location near you at https://t.co/NydPGUgSpB https://t.co/XfA8RRb1cT"
x18695134,SenatorMenendez,2018-10-27T15:11:21Z,x1056201694118379521,20,12,"TODAY is #NationalPrescriptionTakeBackDay, where you can do your part to fight the opioid epidemic. I just helped pass legislation to fund treatment &amp; recovery, but the best way to fight this crisis is everyone doing their part. Find where to go at https://t.co/NWPgsJlMX2 https://t.co/29sv0mJyeL"
x18695134,SenatorMenendez,2018-10-27T16:11:17Z,x1056216773693980672,1002,276,I'm praying for those at the Tree of Life synagogue in Pittsburgh &amp; my heart is with all Jews on this horrid day. This is a tragic reminder that anti-Semitism is never dead but dormant and all too easily awoken by those who stoke hate. We need gun safety reform and we need it now
x18695134,SenatorMenendez,2018-10-27T17:49:51Z,x1056241581274120198,84,31,"The President’s callous comments show us why we need reasonable gun safety measures in our country. Instead, the President is again dismissing common sense gun laws in favor of *more* guns – this time in our houses of worship. https://t.co/vG4JIVkiEn"
x18695134,SenatorMenendez,2018-10-27T18:43:25Z,x1056255059342831616,419,93,"My heart is aching for the Jewish families who've been torn apart by violence on the Sabbath. Likewise, my thoughts are with the families of the first responders who bravely put themselves… https://t.co/hTDaaoI0rt"
x18695134,SenatorMenendez,2018-10-29T02:39:39Z,x1056737295167053824,363,124,"As we mourn the lives lost in #Pittsburgh, we must also act. Because if we don’t, we will be mourning again. 

#gunreformnow #honorwithaction https://t.co/DC07TLzquj"
