user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x2955485182,SenatorRounds,2018-09-25T16:13:58Z,x1044621040637419523,6,4,"Pheasant hunting is not only a season, it is a way of life. I’m looking forward to getting out in the field with friends &amp; family this year and carrying on the tradition.

https://t.co/1MB1wOGbaN"
x2955485182,SenatorRounds,2018-09-25T20:40:51Z,x1044688201313660928,40,26,"Soybean Prices in SD: March 1: $9.66; COB Monday: $7.07; a market value loss of $625 million. Also significant losses for corn, wheat &amp; livestock but not as large. While I agree w/ @POTUS on many things, we can all agree that tariffs are not good for ag in SD &amp; across the country https://t.co/A3kNJ4ryDU"
x2955485182,SenatorRounds,2018-09-25T20:44:24Z,x1044689095476293637,12,8,Our office had the opportunity to present a commemorative lapel pin to Vietnam veteran Robert Reiner today in Watertown. He served in the Army from 1966-1999. We thank him for all he’s done to serve our country. More about the pin program: https://t.co/WoqJSEstEY https://t.co/BlnCEyzZke
x2955485182,SenatorRounds,2018-09-25T21:14:43Z,x1044696725297012736,10,9,Great to see South Dakota representatives for @NAFISschools today and to talk about impact aid funding for schools in our state. https://t.co/vvKb2oKCcb
x2955485182,SenatorRounds,2018-09-25T21:26:17Z,x1044699634881433600,14,8,Congrats to Julie Marshall from Timber Lake School who was named South Dakota's Principal of the Year! Thanks to Julie for all she does to make a positive impact on the lives of our students. #POY2018 #PrincipalsAdvocate https://t.co/PNn6nzhqI9
x2955485182,SenatorRounds,2018-09-25T21:34:10Z,x1044701619965833216,1,3,"I'll be live on @WNAX today around 5:15 CT to talk about tariffs, Judge Kavanaugh’s confirmation and other issues of the day. Listen online at https://t.co/kP3POMuGP4"
x2955485182,SenatorRounds,2018-09-25T22:36:40Z,x1044717349021069313,19,9,"As Americans, it is time to once again recognize that we have more in common than we disagree on. https://t.co/EPdXyl9XfR"
x2955485182,SenatorRounds,2018-09-26T20:27:26Z,x1045047212932313091,13,12,"Today, the Senate Indian Affairs Committee voted to pass my legislation requiring an assessment of the Indian Health Service (IHS). This is a positive step toward making necessary changes at the agency so it can improve care for Native American citizens. https://t.co/8iF0eK70EV https://t.co/db3LkJe2hQ"
x2955485182,SenatorRounds,2018-09-28T14:27:45Z,x1045681471632150528,13,9,"Every October, South Dakota celebrates the rich culture and the many contributions made by Native Americans who called this land home long before Europeans settled in the West."
x2955485182,SenatorRounds,2018-09-28T14:50:50Z,x1045687282886463488,12,5,Joined my friend @GovMikeHuckabee's show last week to talk about a number of different issues we're working on in the Senate. It airs this Saturday and Sunday at 7pm CT/6pm MT on @TBN. Hope you can tune in!  https://t.co/cySIJGz3Rj https://t.co/2HWm9yY4GD
x2955485182,SenatorRounds,2018-09-28T20:28:06Z,x1045772158683746312,7,4,Congratulations to Burke! What a great asset for the community! https://t.co/DZ1yMugqi5
x2955485182,SenatorRounds,2018-09-29T18:30:01Z,x1046104828080906240,7,5,Good luck to the Jacks! #BeattheBison  https://t.co/yfqhxUAf3a
x2955485182,SenatorRounds,2018-09-29T22:00:01Z,x1046157675153825794,7,4,Best of luck to the Yotes as they take on Southern Illinois! #GoYotes
x2955485182,SenatorRounds,2018-10-01T17:30:49Z,x1046814707045355520,8,5,The South Dakota veterans cemetery is one step closer to becoming a reality after the announcement that the VA has signed off on a South Dakota state cemetery grant application.
x2955485182,SenatorRounds,2018-10-01T20:47:46Z,x1046864271827714048,3,5,"October is Cybersecurity Awareness Month, an initiative to raise awareness about the importance of cybersecurity. Check out resources and tips to protect yourself online, courtesy @DHSgov https://t.co/VRxSg8JfA9 https://t.co/7N3A20Op7x"
