user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x515822213,SenatorTester,2018-09-04T22:11:49Z,x1037100949351944193,72,20,"My statement on the opening day of Judge Brett Kavanaugh’s Supreme Court confirmation hearing: https://t.co/Xyavy9VvyH 
#mtpol #SCOTUS https://t.co/FfUMT6fX0C"
x515822213,SenatorTester,2018-09-05T16:14:23Z,x1037373386299781120,46,13,"After last year’s massive @Equifax data breach, we passed a law to help fight fraud. As of 9/1, folks can now freeze their credit FOR FREE &amp; parents can now check for illicit credit activity in their children’s names if they are under 18. #mtpol
https://t.co/NagHlm5qLr"
x515822213,SenatorTester,2018-09-06T00:42:52Z,x1037501349959745536,148,92,"Today arguments began in a lawsuit attempting to repeal legal protections for the 152k+ Montanans with preexisting conditions. So, I asked Montana healthcare experts to explain #WhatsAtRisk if these protections disappear. #mtpol https://t.co/gI3Gp402eB"
x515822213,SenatorTester,2018-09-06T16:44:27Z,x1037743340165443584,21,12,Nothing is more important than keeping our communities safe. These resources will strengthen Montana's local law enforcement and help combat drug trafficking across the state. #mtpol https://t.co/ALR3zuUn43
x515822213,SenatorTester,2018-09-06T18:04:00Z,x1037763359880278016,32,16,"#TBT to the 2nd Annual #LastBestOutdoorsFest! #KeepItPublic #mtpol

@MTBizforOutdoor | @MTMtnMama | @MTWildlife https://t.co/TM2ohUJHGe"
x515822213,SenatorTester,2018-09-07T17:32:00Z,x1038117694875344896,86,15,Happy #FistbumpFriday to all the folks who came out to the 2018 Last Best Outdoors Fest last week! #FlattopFriday https://t.co/qewZxPg0Ju
x515822213,SenatorTester,2018-09-08T17:36:00Z,x1038481089101266944,218,128,"This week, a judge began hearing arguments in a lawsuit trying to repeal protections for the 152k Montanans with preexisting conditions. That’s why I asked Montana health care experts to explain #WhatsAtRisk if we allow insurance companies to deny these folks coverage. #mtpol https://t.co/iG4hpBR9hK"
x515822213,SenatorTester,2018-09-09T18:13:12Z,x1038852838422663170,97,42,"“In August, Sen. Jon Tester asked the leaders of the Senate Committee on Indian Affairs to hold a hearing to address the problem.” #mtpol

READ MORE: https://t.co/9fFgCu5K87
https://t.co/rlKUZwJhUX"
x515822213,SenatorTester,2018-09-10T00:54:02Z,x1038953714063757312,210,97,"Instead of working to lower health care costs, a bunch of politicians are trying to repeal protections for the 152k Montanans with preexisting conditions. That’s why I asked Montana healthcare experts why these protections are so important &amp; #WhatsAtRisk if they disappear. #mtpol https://t.co/3a9uKHIjIb"
x515822213,SenatorTester,2018-09-10T18:18:10Z,x1039216478384533505,68,28,"I have aggressively urged @POTUS to reconsider his strategy on tariffs &amp; listen to folks like Michelle Erickson-Jones, a farmer &amp; rancher from Broadview. I've met with Michelle to discuss this issue &amp; I would urge everyone to check out her insight. #mtpol
https://t.co/1ehFatSxW0"
x515822213,SenatorTester,2018-09-11T00:13:23Z,x1039305869618503680,125,30,"I'm excited to announce that the Senate is finally poised to pass my bipartisan #EFile bill. For 10 years, I've been fighting to bring more transparency to our elections and this bill will finally bring Senate campaigns into the 21st century. #mtpol https://t.co/h8KmOn2rgX https://t.co/xGqUQcpH6B"
x515822213,SenatorTester,2018-09-11T17:29:15Z,x1039566553849753600,121,37,We will #NeverForget https://t.co/yHLbo3QB5T
x515822213,SenatorTester,2018-09-12T02:08:26Z,x1039697210940841984,90,29,"Health care costs are too high, especially prescription drug costs. That’s why I've introduced legislation to get more generic options on the market, hold big pharma accountable &amp; increase transparency when it comes to price hikes. #mtpol

READ MORE: https://t.co/0ldxUQhzQ1 https://t.co/ChEA65YjZr"
