user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x217543151,SenatorTimScott,2018-10-09T18:59:14Z,x1049736060786356224,2682,296,Ambassador @NikkiHaley has been a trailblazer ever since she was Governor of our home state of South Carolina. Her seamless transition from the Governor’s Office to the United Nations is a testament to her undaunted love for our country. (1/2)
x217543151,SenatorTimScott,2018-10-10T12:50:08Z,x1050005561486569473,351,43,Prayers with our friends down in Florida as #HurricaneMichael approaches.
x217543151,SenatorTimScott,2018-10-10T14:30:48Z,x1050030894831063041,60,15,"South Carolina’s maternal mortality rate is specifically higher than the national average, with 26.5 deaths for 100,000 live births as opposed to 20.7 nationwide."
x217543151,SenatorTimScott,2018-10-10T18:44:09Z,x1050094653394051073,770,86,Today was our annual DC staff photo day. Enjoy. https://t.co/O0Td8UB3cw
x217543151,SenatorTimScott,2018-10-10T20:49:54Z,x1050126298033647617,170,27,"Had a great time speaking with the Aiken, Augusta Metro, North Augusta, and Columbia County (GA) Chambers of Commerce folks today about the state of our economy and the power of #OpportunityZones. Y'all are a breath of fresh air here in DC! https://t.co/KOvpm9iOmK"
x217543151,SenatorTimScott,2018-10-10T21:23:22Z,x1050134720804208641,240,53,"These common-sense reforms that will authorize the Army Corps to construct, expedite, &amp; modify more than 100 water resource projects across all 50 states. I'm proud that 2 of my provisions made it into the America's Water Infrastructure Act. https://t.co/losPe4m3f9"
x217543151,SenatorTimScott,2018-10-11T16:19:47Z,x1050420710458486785,162,68,Some reading on #OpportunityZones if you missed it: https://t.co/5kIhT9BhhQ
x217543151,SenatorTimScott,2018-10-12T18:33:58Z,x1050816865562492929,236,31,"Great step forward, and thank you Chairman Alexander for your support on this! #sicklecell https://t.co/XOCL0X7dVU"
x217543151,SenatorTimScott,2018-10-15T21:30:46Z,x1051948520364752896,509,94,I am thrilled that the Senate unanimously passed my #SickleCellDisease bill to ensure that we work to improve our medical understanding of this disease through enhanced data collection and public health initiatives. Read more about it here: https://t.co/NxGcCcydcC
x217543151,SenatorTimScott,2018-10-16T19:07:31Z,x1052274858099437568,588,159,"For the first time ever the U.S. has over 7 million job openings. Since #taxreform, the economy is booming!
https://t.co/xp48ls9a9M"
x217543151,SenatorTimScott,2018-10-17T13:22:40Z,x1052550461323182080,917,301,"In case you missed it, the U.S. is back on top as the most competitive country in the world, regaining the No. 1 spot for the first time since 2008. Great news! https://t.co/uNlaStnznP"
x217543151,SenatorTimScott,2018-10-18T18:05:30Z,x1052984029077807104,67,15,RSVP at https://t.co/gohiVgZWz5! https://t.co/S5jHvOjPa0
x217543151,SenatorTimScott,2018-10-18T18:16:11Z,x1052986717286879232,298,39,Welcome to South Carolina y’all! https://t.co/veVjC7AFXG
x217543151,SenatorTimScott,2018-10-19T15:49:45Z,x1053312252177248258,103,27,"Excited to welcome @SenJoniErnst to be my guest speaker at my SC Women Veterans Event on November 10! We’re inviting everyone to First Baptist Church of Columbia to honor the women who have bravely served this country. RSVP here: https://t.co/3C8NpLycyv
https://t.co/IQjWetgcGf"
x217543151,SenatorTimScott,2018-10-19T16:22:57Z,x1053320606899490816,1320,301,"As I’ve traveled the country on my Opportunity Tour, I can’t overstate how excited cities and towns have been to get started. I believe today’s rules will only stimulate more interest among those looking to invest in zones. My full statement below:
https://t.co/EsqsxvnCBi"
x217543151,SenatorTimScott,2018-10-19T16:40:10Z,x1053324943172210688,90,57,NEWS: @ustreasury just released rules for #OpportunityZones. Read more here! https://t.co/EsqsxvnCBi
x217543151,SenatorTimScott,2018-10-19T21:09:22Z,x1053392686101815296,123,26,Horrible news coming from Abbeville this afternoon. Praying for a swift recovery for everyone involved in the school bus crash. https://t.co/cR5xJF6mrf
x217543151,SenatorTimScott,2018-10-22T13:17:27Z,x1054361090497351680,452,145,"Joined @foxandfriends this morning to talk about the @USTreasury’s release of the new regulations for my #OpportunityZones program. This program has an impact that goes beyond the borders of inner cities and rural America, it helps people in distressed areas. https://t.co/6Zsce3h4eU"
x217543151,SenatorTimScott,2018-10-22T15:33:23Z,x1054395296745250816,102,25,"Join @SenJoniErnst and I on November 10th in Columbia to honor South Carolina’s 43,000 women veterans. Be sure to RSVP here: https://t.co/cDH4i5LNGA https://t.co/J1OUSwOIr2"
x217543151,SenatorTimScott,2018-10-22T19:11:56Z,x1054450298020904960,483,130,"Always love being on @FoxandFriends to talk about the enormous potential of #OpportunityZones for folks like me who grew in impoverished areas. This is good policy, fueled by the private sector, aimed at reaching some of our nation's most overlooked people. https://t.co/U09n9kSPOr"
x217543151,SenatorTimScott,2018-10-23T01:53:39Z,x1054551392994627585,895,201,"Deeply saddened to hear that Florence County Deputy Farrah Turner has passed away. One of the heroes shot earlier this month, she courageously served her community well. May God provide comfort to her loved ones. https://t.co/gJP6bGQWih"
x217543151,SenatorTimScott,2018-10-23T14:13:21Z,x1054737546423529472,229,80,"South Carolina is home to 43,000 women veterans. Come on over to Columbia on November 10th to honor them and meet @SenJoniErnst — it's open to public! Be sure to RSVP beforehand here: https://t.co/cDH4i5LNGA https://t.co/MtDPjxhzRR"
x217543151,SenatorTimScott,2018-10-24T14:48:19Z,x1055108733913718784,5043,1005,Today's attempted violent attacks at elected officials and the media are intolerable and have no place in our nation. We are better than this. I expect that whoever is responsible for these heinous acts will be held accountable to the fullest extent of the law.
x217543151,SenatorTimScott,2018-10-25T13:38:55Z,x1055453656152264705,136,30,"Very excited to welcome my friend and a combat veteran herself, @SenJoniErnst back to the Palmetto State for my Veterans Day Weekend event honoring South Carolina's 43,000 women veterans. Open to public but don't forget to RSVP here: https://t.co/cDH4i5LNGA https://t.co/2XvRzAfMzO"
x217543151,SenatorTimScott,2018-10-25T19:29:27Z,x1055541870724554753,118,15,"Congratulations to River Bluff High School principal @LucasClamp, who was named the 2019 School Principal of the Year today!"
x217543151,SenatorTimScott,2018-10-25T19:35:00Z,x1055543267096477703,198,41,Excited to see two of my provisions to help stop the opioid epidemic signed into law this week! You can read more here: https://t.co/dOE1Saz70D
x217543151,SenatorTimScott,2018-10-26T17:48:56Z,x1055878962134609923,71,13,"Hope to see you all at Columbia First Baptist Church on November 10th to honor our state's 43,000 women veterans! Open to public but make sure to RSVP here: https://t.co/cDH4i5LNGA https://t.co/0eKX8rtPTt"
x217543151,SenatorTimScott,2018-10-26T18:51:23Z,x1055894677247942658,139,15,Nothing beats being in the Lowcountry and spending some time with the students at @BlufftonHS. Thanks for having me and y'all keep up the great work! https://t.co/WceVSYnxQc
x217543151,SenatorTimScott,2018-10-26T18:56:37Z,x1055895995094089728,67,16,"Our state's robust economy depends on the hardworking small businesses, startups, and corporations that are members of the @HHIBChamber. Had a great time talking to y'all today! https://t.co/iflfnHftic"
x217543151,SenatorTimScott,2018-10-27T18:04:54Z,x1056245366201466880,1837,323,"Heartbroken over the news coming out of Pittsburgh this morning. South Carolinians know all too well the pain of senseless violence in a place of worship. Despite the pain of today, we will not let hate win. My prayers are with those affected today."
