user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x60828944,SenatorTomUdall,2018-10-08T22:49:52Z,x1049431713951227904,96,23,"Enjoyed stopping by @IndianPueblo for their celebration of Indigenous Peoples Day. As the top Democrat on @IndianCommittee, I'm committed to working to honor the Native cultures that play such an important role in #NM &amp; in our shared history. https://t.co/mdKeLgBCIH"
x60828944,SenatorTomUdall,2018-10-09T15:40:27Z,x1049686033573584896,63,28,Our nation’s children are particularly vulnerable to negative environmental impacts—that's why the @EPA's Office of Children's Health Protection (OCHP) is so important. My colleagues and I reached out to Admin @EPAAWheeler to press for answers about the future of the office. https://t.co/OArCj5kamh
x60828944,SenatorTomUdall,2018-10-09T21:09:09Z,x1049768754459136000,75,38,"The deadline to register to vote in New Mexico is TODAY! You can register online, or print out an application—as long as it’s postmarked today. The best part of a democracy is taking part in democracy, so what are you waiting for? https://t.co/4pACfcVFcu"
x60828944,SenatorTomUdall,2018-10-09T22:07:11Z,x1049783360187453440,113,68,#NM has seen the devastating effects of climate change firsthand. We know it's the greatest threat facing the world today. @IPCC_CH's new report shows more clearly than ever that we don't have time for denial or inaction.  https://t.co/X2swfTu0Ev
x60828944,SenatorTomUdall,2018-10-09T22:26:32Z,x1049788228428066817,106,28,"Congrats to Abq-born William Nordhaus on the Nobel Prize in Economics, for economic work on climate change. We must tackle this crisis from every angle—proud to see such innovation from one of #NM's own. https://t.co/nd7qAQ5ET0"
x60828944,SenatorTomUdall,2018-10-10T16:13:11Z,x1050056660390154241,277,112,"What are junk insurance plans? It’s in the name. Junk. And they don’t belong anywhere near your health care.
 
I’m voting to undo the Trump administration’s expansion of junk plans that jeopardize coverage for #NM working families &amp; people with pre-existing conditions. https://t.co/8c9Vc9vhYg"
x60828944,SenatorTomUdall,2018-10-10T21:59:57Z,x1050143927842541568,389,205,"94 years after the passage of the Indian Citizenship Act, Native Americans continue to face undemocratic barriers that block their constitutional right to vote.

It's time to pass the Native American Voting Rights Act. 
https://t.co/UXIHiT3BYN"
x60828944,SenatorTomUdall,2018-10-10T22:43:59Z,x1050155008119967744,49,9,"My thoughts are with everyone who is in the path of Hurricane Michael, as well as those who have family and loved ones in the area. I encourage everyone to heed all guidance from federal, state &amp; local officials when it comes to staying safe."
x60828944,SenatorTomUdall,2018-10-11T19:53:48Z,x1050474566122987520,352,136,"Today, I joined @SenMarkey to sound the alarm on climate change. We need immediate action. We only have 12 years to slash greenhouse gas emissions in half. 12 years to prevent catastrophe.
 
That’s the conclusion of 91 scientists from 40+ countries. https://t.co/ZwYGHZeLra"
x60828944,SenatorTomUdall,2018-10-12T16:42:54Z,x1050788912908722176,214,87,"The @USPS is the most popular federal agency we have. But @POTUS wants to privatize it.

We should work to improve and modernize this outstanding service—not do away with it at the drop of the hat. That’s what the American people want. https://t.co/D5V2fwH49u"
x60828944,SenatorTomUdall,2018-10-12T19:00:00Z,x1050823418290085888,65,25,Glad the Senate came together to pass the Water Resources Development Act this week. This bill will help improve water management and projects across #NM as we struggle w/climate change &amp; drought—because as we well know in our state: agua es vida. https://t.co/clEzeAjsw3
x60828944,SenatorTomUdall,2018-10-12T20:38:10Z,x1050848121490731009,55,16,"I'd say every day is National Farmers Day in #NM— but I’m excited we're all celebrating today.
 
Farmers across #NM help feed &amp; fuel the entire nation with chile, pecans, dairy &amp; more. Seeing them in action inspires me to work for &amp; support our entire agricultural community. https://t.co/PeGbCiDrgd"
x60828944,SenatorTomUdall,2018-10-15T17:11:34Z,x1051883291463311362,308,81,"1 in 4 girls experience sexual violence before turning 18. That’s why I’m taking the #GirlsToo pledge. Together we can create a culture of respect for all young people, so they can grow up in a world that values the rights of women &amp; girls."
x60828944,SenatorTomUdall,2018-10-15T20:54:32Z,x1051939403239739393,38,16,"Proud to have worked on this resolution with @SenAlexander &amp; @MartinHeinrich to pay tribute to nuclear workers in #NM and across the US.
 
We must continue our work to honor those hurt by nuclear activities during the Cold War &amp; ensure they are compensated for their hardship. https://t.co/Fll4Ohbchm"
x60828944,SenatorTomUdall,2018-10-16T20:14:18Z,x1052291664331644928,150,80,"So @SenateMajLdr wants to pay for the $2.3 trillion #GOPTaxScam by cutting middle-class programs like Medicare and Social Security.

We need to fight back— we won’t leave New Mexicans out to dry while @SenateGOP prioritizes giveaways to the 1%. https://t.co/xMsccUKBPU"
x60828944,SenatorTomUdall,2018-10-17T15:39:12Z,x1052584824362405894,226,102,"We’re sending a message to @EPAAWheeler: the @EPA needs to halt their methane standards rollback. They’ve failed to justify killing a vital, common-sense rule that saves money and fights climate change. The public deserves a real say in the matter. https://t.co/uA99dsfI4T"
x60828944,SenatorTomUdall,2018-10-17T20:44:06Z,x1052661552204136468,1194,621,"We need the truth. @RealDonaldTrump and the Trump Org. must fully disclose their family business ties to Saudi Arabia. 
 
Our response to the appalling reported killing of Jamal Khashoggi should not be affected by the Trump family’s financial ties to the Saudi gov’t. https://t.co/LCncNJGmVb"
x60828944,SenatorTomUdall,2018-10-17T21:33:23Z,x1052673955109191681,163,72,"Now, @StandingRockST is stuck scrambling so tribal members aren't turned away from the polls on Election Day—an example of how harsh ID laws can stand between eligible Native American voters &amp; the ballot box. And another reason to pass my Native American Voting Rights Act. https://t.co/Cq0pckQUpH"
x60828944,SenatorTomUdall,2018-10-17T22:34:59Z,x1052689457697251328,65,16,"Today I got to visit Homewise, an org that builds quality, affordable homes with rooftop solar in Santa Fe. They strengthen our communities &amp; support working New Mexicans— and I'm proud to work alongside them. https://t.co/adDwUo59vH"
x60828944,SenatorTomUdall,2018-10-18T15:12:31Z,x1052940497562558464,46,19,"We need #CareCorps so seniors can live a full life with support &amp; dignity. @RepLujanGrisham's innovative plan would foster the vital work of caregivers in #NM &amp; across US.
 
Proud to introduce it in the Senate with @MartinHeinrich &amp; @SenAmyKlobuchar. https://t.co/QErviKz8DR"
