user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x264219447,SenatorWicker,2018-10-10T21:40:54Z,x1050139132314509312,22,7,"Today I met with representatives from the Mississippi Head Start Association to discuss my support for the Head Start program, which provides early childhood education, health, and nutrition services to low-income children and their families. @NatlHeadStart https://t.co/LMWCVcKCxx"
x264219447,SenatorWicker,2018-10-10T21:58:48Z,x1050143638083264515,29,9,Today I met with @ViasatInc and learned more about their efforts to connect rural Mississippians with broadband internet. We must continue to work to close the digital divide so that more Americans have the opportunity to access new technologies. https://t.co/aVTo7DbBpe
x264219447,SenatorWicker,2018-10-10T23:01:00Z,x1050159290210758656,17,4,"It was good to see a group of student leaders from the Mississippi chapter of the Family, Career and Community Leaders of America organization. @NationalFCCLA helps young men and women to become leaders and to learn the skills necessary to be successful. https://t.co/iUugzaHXAk"
x264219447,SenatorWicker,2018-10-11T13:15:59Z,x1050374452616278016,10,4,Joining @Varneyco on @FoxBusiness. Tune in now. https://t.co/5bq5PTBCw8
x264219447,SenatorWicker,2018-10-11T20:20:50Z,x1050481371045646337,17,8,"The @USCG needs new cutters to fight drug trafficking and to improve national security. As RADM Michael Haycock told @SenateCommerce this morning, new cutters are “having a profound impact in curbing transnational crime.” https://t.co/f2X9pHqrtq"
x264219447,SenatorWicker,2018-10-11T21:59:22Z,x1050506166344843264,15,6,Today @SenHydeSmith and I met with over 70 Mississippians representing Community Bank and St. Dominic’s Hospital who were in town to tour our nation’s capital. https://t.co/Ct0CqqrdBc
x264219447,SenatorWicker,2018-10-12T16:02:41Z,x1050778792879382528,41,20,"I welcome the release of Pastor Brunson from house arrest and look forward to his return to the United States. Thousands of Americans have been praying for this outcome. The charges against him are baseless, and he should never have served a single day in jail."
x264219447,SenatorWicker,2018-10-12T17:03:17Z,x1050794041833648128,16,10,This week I was proud to join @SenHydeSmith to introduce a resolution recognizing the 80th anniversary of #IngallsShipbuilding in Pascagoula. https://t.co/msWxTFM7j5
x264219447,SenatorWicker,2018-10-12T20:05:11Z,x1050839822187855872,10,4,"As co-chair of the Senate Nursing Caucus, I am thankful for the work of our emergency nurses to save lives every day. #ENWeek https://t.co/rGpUYDlaIW"
x264219447,SenatorWicker,2018-10-12T21:02:56Z,x1050854355463798784,10,7,"Today @CongPalazzo &amp; I applauded passage of the Gulf Islands National Seashore Land Exchange Act, which will now go to @realDonaldTrump’s desk. This constituent-driven legislation will have a positive impact for our veterans. Read more here: https://t.co/sXIaQo3Ue5"
