user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x103111232,SherwoodStrauss,2018-11-10T02:04:16Z,x1061077046602870784,0,0,One #SVTH pick tonight. https://t.co/o6lu7G1EZW
x103111232,SherwoodStrauss,2018-11-10T05:05:32Z,x1061122663559512064,2,0,It’s how it goes sometimes https://t.co/WRr1hE14Lo
x103111232,SherwoodStrauss,2018-11-10T17:58:54Z,x1061317289851514885,2,0,"#SVTH pick, hoping to bounce back from a loss. At least few would notice a loss what with the Butler news https://t.co/o6lu7G1EZW"
x103111232,SherwoodStrauss,2018-11-10T22:11:40Z,x1061380897667112960,88,6,Montrezl Harrell is an entertaining role player. Actually this description applies to most players on the Clips
x103111232,SherwoodStrauss,2018-11-10T22:58:02Z,x1061392567252606977,8,0,I endorse the Clips broadcast doing more “Jerry West blown lead face”
x103111232,SherwoodStrauss,2018-11-11T00:55:16Z,x1061422068988731392,1,1,Hate picking Dubs games for #SVTH but here goes https://t.co/o6lu7G1EZW
x103111232,SherwoodStrauss,2018-11-11T20:42:33Z,x1061720861818871808,43,4,The interesting question is “Who are they definitively better than?” https://t.co/86CG4RxUlJ
x103111232,SherwoodStrauss,2018-11-11T23:59:42Z,x1061770472977653761,7,0,No games tonight. Someone in my house might have requested at least a day off from picks-obsessed viewing https://t.co/exTV1P856v
x103111232,SherwoodStrauss,2018-11-12T22:48:50Z,x1062115029623877633,28,0,Booked travel for an ambitious project at the end of the month. Think this will be a good one
x103111232,SherwoodStrauss,2018-11-12T23:04:42Z,x1062119021280022529,1,0,Gotta https://t.co/KuwEywWFXr
x103111232,SherwoodStrauss,2018-11-12T23:17:05Z,x1062122138616778753,32,0,This isn’t a bad idea https://t.co/O5nuAKnMD4
x103111232,SherwoodStrauss,2018-11-12T23:23:59Z,x1062123873175449600,22,0,"Picks column might be too addictive, illustrated by my spending the better part of a day trying to figure out what Dillon Brooks’ absence means"
x103111232,SherwoodStrauss,2018-11-13T00:41:15Z,x1062143317566083072,1,0,"Adding 2 home dogs for #SVTH. If they lose, I'm .500 on the week. If they don't, some percentage I'm too lazy to calculate off the top of my head https://t.co/o6lu7G1EZW"
x103111232,SherwoodStrauss,2018-11-13T04:14:57Z,x1062197099838636032,25,0,It’s an enjoyable team https://t.co/WLxGzD3LzV
x103111232,SherwoodStrauss,2018-11-13T05:13:34Z,x1062211848953462785,544,111,De'Aaron Fox breathed life into that franchise
x103111232,SherwoodStrauss,2018-11-13T05:55:29Z,x1062222399137935360,77,10,Big Men celebrating point blank And1s is the closest NBA thing to sack dances
x103111232,SherwoodStrauss,2018-11-13T05:58:07Z,x1062223062047703040,16,9,Lou Williams leads the league in sideways floaters
x103111232,SherwoodStrauss,2018-11-13T23:30:13Z,x1062487829903634432,115,6,Excited to check out the Hawks tonight
x103111232,SherwoodStrauss,2018-11-14T08:00:16Z,x1062616189900283904,106,14,This article will be talked about https://t.co/Dnbg2RBo51
x103111232,SherwoodStrauss,2018-11-14T15:19:45Z,x1062726786289590272,48,7,Why did the Warriors air the dirty laundry? Some theories https://t.co/4WPluLa3IZ
x103111232,SherwoodStrauss,2018-11-14T16:00:49Z,x1062737122975604736,160,54,Why is this happening the way it's happening? https://t.co/4WPluLa3IZ
x103111232,SherwoodStrauss,2018-11-14T16:03:05Z,x1062737694491467776,64,5,"Gambling column will be pushed to Friday, for Draymond Greeasons"
x103111232,SherwoodStrauss,2018-11-14T16:11:15Z,x1062739747947274240,11,1,I'm losing my voice but it has to happen https://t.co/KF1VLRgKgy
x103111232,SherwoodStrauss,2018-11-14T18:37:37Z,x1062776581393801216,139,33,Warriors Wednesday just dropped with @DarthAmin @Jade_Hoye https://t.co/ZzJQmjsgBx
x103111232,SherwoodStrauss,2018-11-14T21:33:32Z,x1062820854503895042,3,0,No gambling column till Friday but making one pick today https://t.co/o6lu7G1EZW
x103111232,SherwoodStrauss,2018-11-15T16:56:34Z,x1063113540632928256,57,6,I'm a fan of the podcast we did @Jade_Hoye @DarthAmin @AndyKHLiu @talkhoops https://t.co/jCM1vDaOh0
x103111232,SherwoodStrauss,2018-11-15T16:56:57Z,x1063113636472705025,35,6,Theories on a murky present https://t.co/4WPluLa3IZ
x103111232,SherwoodStrauss,2018-11-15T18:33:16Z,x1063137877918330880,41,7,Is that Chamillionaire in the background? https://t.co/UUOPWaw4ED
x103111232,SherwoodStrauss,2018-11-16T04:48:35Z,x1063292726840504320,37,2,I'm kinda into Inside the NBA just becoming Shoe Hour
x103111232,SherwoodStrauss,2018-11-16T20:03:43Z,x1063523026119999488,3,1,"Gambling column back! Again, I enjoy the hell out of doing this, whatever the result https://t.co/1C2tHwmvjH"
x103111232,SherwoodStrauss,2018-11-16T20:06:03Z,x1063523612068503553,6,0,"Oh, and teams touched on in the gambling column include Warriors, Celtics, Spurs, Jazz, Grizz, Sixers, Wolves, Kings, Raptors, Pels https://t.co/1C2tHwmvjH"
x103111232,SherwoodStrauss,2018-11-17T02:47:10Z,x1063624559633432576,160,26,“He has plenty of time left.” — NBA announcers at a funeral
x103111232,SherwoodStrauss,2018-11-17T15:45:16Z,x1063820371319640069,7,1,A mopey 1-2 last night. I curse the Raps' overtime and Utah's free throw shooting. New look Wolves are fun though https://t.co/1C2tHwmvjH
x103111232,SherwoodStrauss,2018-11-17T17:24:59Z,x1063845467719487488,8,0,"Interesting early season ratings results and perhaps, implications https://t.co/X0Bm0UTtDS"
x103111232,SherwoodStrauss,2018-11-17T17:26:23Z,x1063845818266832896,103,16,I thought LeBron to LA would give the NBA a major viewership boost. Hasn’t happened yet
x103111232,SherwoodStrauss,2018-11-17T17:40:29Z,x1063849370469117954,336,57,"Pretty clear that a KD absence results in no viewership loss, but a Steph absence results in a big viewership loss . Says nothing about which player is better. Not every kind of “great” resonates"
x103111232,SherwoodStrauss,2018-11-17T17:53:08Z,x1063852552364552192,66,21,"Over their last 2 games, Jazz are 9-of-52 on 3-pointers NBA Stats classifies as ""open."" Missing 82% of your open 3s is quite a mini slump"
x103111232,SherwoodStrauss,2018-11-17T23:35:29Z,x1063938708087353346,1,2,Trying to bounce back in #SVTH https://t.co/1C2tHwmvjH
x103111232,SherwoodStrauss,2018-11-18T04:01:29Z,x1064005649971859456,5,0,"Well, at least a nice night of picks and back to 10 games over .500 https://t.co/1C2tHwmvjH"
x103111232,SherwoodStrauss,2018-11-18T04:04:05Z,x1064006302953656320,250,33,Picking against Steph-less Warriors remains a great betting strategy.
x103111232,SherwoodStrauss,2018-11-18T04:10:38Z,x1064007950035935232,19,0,Indeed https://t.co/1C2tHwmvjH https://t.co/8Uh8To3I9F
x103111232,SherwoodStrauss,2018-11-18T04:24:34Z,x1064011459355537409,26,2,Pindown City https://t.co/wLEhu5Yaui
