user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x42065669,StanfordSteve82,2018-10-20T23:21:53Z,x1053788426523205632,427,11,"4-0 to start the day.
🤷🏼‍♂️"
x42065669,StanfordSteve82,2018-10-21T04:36:15Z,x1053867539246198785,49,0,Seattle https://t.co/gWVi1eLJJE
x42065669,StanfordSteve82,2018-10-21T04:38:18Z,x1053868054361174019,152,9,https://t.co/aEPXZzygPt
x42065669,StanfordSteve82,2018-10-21T05:17:09Z,x1053877830398832640,54,6,Mr. @theTylerTrent! https://t.co/XE6GJNa732
x42065669,StanfordSteve82,2018-10-22T20:42:52Z,x1054473182667792384,31,0,anyone got advice? https://t.co/chZU8JBSHr
x42065669,StanfordSteve82,2018-10-23T12:17:28Z,x1054708381632598018,88,27,"One Big Thing - retells the story of Old Dominion’s comeback win this past weekend over WKU
https://t.co/JRPuMlu2gw"
x42065669,StanfordSteve82,2018-10-23T17:41:22Z,x1054789894843834370,72,6,"Your Week 8 Bad Beats.
https://t.co/LtURaA2STV"
x42065669,StanfordSteve82,2018-10-24T21:16:12Z,x1055206348793831431,56,7,"Week 9
Stanford Steve and The Bear @chrisfallica podcast.
This week's guest @McShay13 on best 1 loss team and much more
Plus, The return of the Super Condo Steamer
https://t.co/6uHaim1aSa"
x42065669,StanfordSteve82,2018-10-24T21:24:22Z,x1055208401112850437,75,2,UMass @ UConn https://t.co/4YFAafanq5
x42065669,StanfordSteve82,2018-10-26T02:31:15Z,x1055648020929437696,78,4,Anyone you know give them out for over their season win total? https://t.co/yRHFkgRVLk
x42065669,StanfordSteve82,2018-10-26T17:29:33Z,x1055874082066128897,139,14,"My favorite interview SVP has ever done.
@theTylerTrent 
https://t.co/TQKtvrjLnU"
x42065669,StanfordSteve82,2018-10-27T02:28:33Z,x1056009726994145285,193,18,https://t.co/reg5hy1Pz9
x42065669,StanfordSteve82,2018-10-27T04:03:06Z,x1056033521289060353,112,7,That throw might have turned the whole series around.
x42065669,StanfordSteve82,2018-10-27T20:05:37Z,x1056275747550232578,198,10,I see you @CycloneFB
