user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x11651202,SteveDaines,2018-10-12T14:05:00Z,x1050749176328409090,108,34,Thank you ⁦@realDonaldTrump⁩ 🇺🇸. #PastorBrunson https://t.co/B2ecw8afp9
x11651202,SteveDaines,2018-10-12T16:31:31Z,x1050786047339184128,305,66,"Agriculture is more than Montana’s number one economic driver – it’s a way of life. Happy #NationalFarmersDay to all of the farmers in Montana and across the nation, including my new son-in-law Brad, a wheat farmer in Gallatin Valley! https://t.co/rDDa42H2D2"
x11651202,SteveDaines,2018-10-13T16:29:13Z,x1051147857582059520,23,7,Happy 243rd birthday to the @USNavy and congratulations to our newest Sailors! Thank you for your service and dedication to protecting our country’s freedom. #ForgedByTheSea https://t.co/j8lyLkCKFx
x11651202,SteveDaines,2018-10-13T16:37:15Z,x1051149880247312384,62,14,Great news! https://t.co/KtVw3FZtrs
x11651202,SteveDaines,2018-10-13T19:13:52Z,x1051189295527034880,85,21,Thankful for Pastor Brunson’s freedom.  And thank you @realDonaldTrump 🇺🇸 https://t.co/pHuUi7NbWD
x11651202,SteveDaines,2018-10-16T16:22:13Z,x1052233258522566657,38,11,"As of yesterday, one of the most important campaign finance reforms in recent history became a reality. THREAD ⬇️"
x11651202,SteveDaines,2018-10-16T20:38:35Z,x1052297776661495808,58,8,"This is good news. I applaud @POTUS for seeking to begin trade negotiations with our allies. I urge the administration to move quickly to expand access and reduce barriers to trade in these important markets for #MT farmers, ranchers and businesses. #mtpol https://t.co/5916Yut7Qa"
x11651202,SteveDaines,2018-10-18T14:27:29Z,x1052929163865206784,126,28,"Excited to join @realDonaldTrump tonight in Missoula with @MattForMontana! Welcome back to Big Sky Country, Mr. President 🇺🇸"
x11651202,SteveDaines,2018-10-18T23:32:07Z,x1053066224316215296,165,45,Getting ready to speak at the @realDonaldTrump Rally in Missoula! Follow along! #mtsen 🇺🇸
x11651202,SteveDaines,2018-10-19T17:17:53Z,x1053334432751337473,33,11,"Great meeting with the new @YellowstoneNPS Superintendent Cam Sholly this morning in Gardiner, MT! We’re here for an @EnergyGOP field hearing to discuss challenges facing gateway communities of national parks! #mtnews https://t.co/C7plaCWdjb"
x11651202,SteveDaines,2018-10-19T17:37:02Z,x1053339253717913601,19,4,"Don’t forget to tune in to watch the @EnergyGOP Field Hearing in Gardiner, MT LIVE on Facebook now! 

LINK: https://t.co/ksmQMXk6EQ https://t.co/rIjp60ma9G"
x11651202,SteveDaines,2018-10-20T18:07:38Z,x1053709339272376320,26,7,"It was great touring the Edith Peak LWCF Project near Missoula yesterday with the @forestservice and @RMEF. Thanks to #LWCF, trail access and elk habitat will now be permanently protected on these 1,000+ acres. #wapiti https://t.co/XA0jQf4EcY"
x11651202,SteveDaines,2018-10-21T00:01:41Z,x1053798439321067520,80,16,Great day with @MattForMontana! https://t.co/K35khMJpJu
x11651202,SteveDaines,2018-10-21T13:23:29Z,x1054000220919353344,127,21,God Bless America https://t.co/o7K4uxj2VV
x11651202,SteveDaines,2018-10-22T00:52:23Z,x1054173587752415232,188,23,Montana sunset #pickuppic #bigskycountry https://t.co/wxkGC7bQZQ
x11651202,SteveDaines,2018-10-22T14:58:02Z,x1054386402488709120,50,9,"I'll bring the jerky, @MattForMontana! https://t.co/tGicIfg6UT"
x11651202,SteveDaines,2018-10-23T20:17:55Z,x1054829293321314306,38,14,Thanks @realDonaldTrump for signing the bipartisan America's Water Infrastructure Act into law today. This new law will greatly benefit Montana communities. Read more ⬇ https://t.co/2y4LT4a8Ep
x11651202,SteveDaines,2018-10-24T19:05:53Z,x1055173551525937157,91,19,.@realDonaldTrump just signed landmark legislation that will help combat the drug epidemic devastating Montana and the nation.
x11651202,SteveDaines,2018-10-26T15:07:53Z,x1055838431430000640,58,35,"Republican policies and @realDonaldTrump’s leadership continue to deliver for the American people. 🇺🇸
https://t.co/PDQJVRoUSb"
x11651202,SteveDaines,2018-10-26T17:33:47Z,x1055875149877121024,15,6,"Great chat with @conocophillips CEO Ryan Lance this morning at @montana_tech about the importance of STEM education, energy and job creation. https://t.co/NeN9TfLvRf"
x11651202,SteveDaines,2018-10-27T15:24:01Z,x1056204881466408961,29,9,"Good to visit with the City of Kalispell Mayor, City Manager and City Council Members this morning to talk about infrastructure and the economy. https://t.co/NENLnLixOn"
x11651202,SteveDaines,2018-10-27T16:39:33Z,x1056223890773565440,67,16,Good morning from the #MTGOPVictoryTour. First stop: Kalispell. Montana deserves @MattForMontana &amp; @GregForMontana! #mtpol https://t.co/W0jEVkDbcJ
x11651202,SteveDaines,2018-10-27T19:46:03Z,x1056270823219179521,60,20,"Next stop on the #MTGOPVictoryTour: Lake County! Was a pleasure to introduce my good friend, @mattformontana! #mtpol https://t.co/FmWNt2GC6E"
x11651202,SteveDaines,2018-10-27T20:03:18Z,x1056275164378230786,3521,792,Great hats you run across in  Montana when road tripping with ⁦@DonaldJTrumpJr⁩ https://t.co/g2AEYVbrif
x11651202,SteveDaines,2018-10-27T23:41:50Z,x1056330161711341569,733,179,Montana road trip with ⁦@RandPaul⁩ ⁦@MattForMontana⁩ https://t.co/lKDMgyCVl6
x11651202,SteveDaines,2018-10-28T00:17:05Z,x1056339030214893573,79,18,"Stop 3 on the #MTGOPVictoryTour: Missoula! With my favorite special guest, my sweet wife Cindy Daines.  #mtpol https://t.co/Ve1uyB4zNJ"
x11651202,SteveDaines,2018-10-28T03:10:12Z,x1056382598161883136,95,24,"Great way to finish the #MTGOPVictoryTour, Hamilton is fired up!! https://t.co/Z2PDCEvQB4"
x11651202,SteveDaines,2018-10-30T14:11:49Z,x1057273875564781568,42,23,"The violence in our society must stop. We must remember we are one nation and Americans first. And at a time of divisiveness, we must stand together.
https://t.co/YBgu1QBqwD"
x11651202,SteveDaines,2018-10-30T16:52:22Z,x1057314279022620674,32,12,"💯🇺🇸
https://t.co/KQbG8dVcm9"
x11651202,SteveDaines,2018-10-30T18:33:26Z,x1057339713747599360,188,67,"Let’s bring home the W, @MattForMontana! #mtpol https://t.co/yP1gQEKkhP"
x11651202,SteveDaines,2018-10-31T14:47:11Z,x1057645163122737154,323,125,"More good news on the economy thanks to Republicans and @realDonaldTrump! 🇺🇸
https://t.co/wFVZoY3Ab5"
x11651202,SteveDaines,2018-10-31T18:19:03Z,x1057698479672385536,27,7,Great news for these hardworking Montanans! #mtnews https://t.co/z6Rfl620Wk
x11651202,SteveDaines,2018-10-31T21:41:02Z,x1057749311432343555,1022,248,"Welcome to Big Sky Country, @LindseyGrahamSC! So glad to have your support as we send @MattForMontana to DC! https://t.co/4Dzknrr7oA"
x11651202,SteveDaines,2018-11-01T17:06:48Z,x1058042685167144960,32,9,"Fighting the meth crisis in Montana will take coordination from local, state and federal partners. I am thankful that leaders sat down with me today to chart a way forward to heal and protect our communities. https://t.co/JyOzPIrl1H"
x11651202,SteveDaines,2018-11-02T16:29:02Z,x1058395568807002112,83,43,"More good news! #winning

✔️ 250,000 new jobs 
✔️ 3.1% wage growth 
✔️ 3.7% unemployment https://t.co/q98skliTw0"
x11651202,SteveDaines,2018-11-03T15:17:11Z,x1058739876210900992,2237,570,Excited to welcome @realDonaldTrump back to Montana today for the FOURTH #MAGA rally for @MattForMontana and @GregForMontana! Let's win this! 🇺🇸 #mtpol
x11651202,SteveDaines,2018-11-04T00:21:06Z,x1058876755186987010,1450,441,"Thank you for coming to my hometown today, @realDonaldTrump. 🇺🇸 https://t.co/WfFaSAg5kM"
x11651202,SteveDaines,2018-11-05T16:12:28Z,x1059478565312438277,747,218,"Ready for today's #MAGA rally in Kalispell with @VP Pence, @LindseyGrahamSC &amp; @SenCoryGardner! We need to keep @GregForMontana in the House and bring @MattForMontana to the Senate! #mtsen #mtpol"
x11651202,SteveDaines,2018-11-05T19:01:59Z,x1059521224328400896,44,11,⁦@VP⁩ soon to arrive for ⁦@GregForMontana⁩ and ⁦@MattForMontana⁩ rally in Kalispell 🇺🇸 https://t.co/2onWGxvJps
x11651202,SteveDaines,2018-11-05T19:31:15Z,x1059528588565798914,96,36,"⁦@VP⁩ in Kalispell, MT for ⁦@MattForMontana⁩ and ⁦@GregForMontana⁩ 🇺🇸 https://t.co/emMtgqu5Xz"
x11651202,SteveDaines,2018-11-05T19:54:59Z,x1059534562051579904,40,10,"With some of Montana’s finest, Montana Highway Patrol https://t.co/Lv956vmwAp"
x11651202,SteveDaines,2018-11-05T20:12:23Z,x1059538940229705728,24,7,@VP in Montana #MAGA https://t.co/41NM2n41EO
