user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x14761739,TasMelas,2018-11-06T17:47:39Z,x1059864904356765696,58,9,"Best win of the season for the Rockets last night. Gritty one on the road. Slowly, we're getting the Western Conference we expected back. (I don't like change.)"
x14761739,TasMelas,2018-11-06T18:03:28Z,x1059868885527224320,6,0,"#TheStarters Drop Podcast! (It’s twice weekly now!)

Nuggets, Raps, Irving, Greek accents, etc.

Google: https://t.co/Zlopki3otY
iTunes: https://t.co/cNZUCe1SHB
Spotify: https://t.co/Y8YDVrivht
Stream: https://t.co/fwHRoZ2zZh"
x14761739,TasMelas,2018-11-07T14:08:41Z,x1060172187477401601,14,0,You know what the second-best team in the NBA is: https://t.co/Op1ERrqlss
x14761739,TasMelas,2018-11-07T16:46:26Z,x1060211887990816769,14,0,"Real or mirage: Curry is making another run at Kia MVP?  

@NBAcom Blogtable: https://t.co/iHHLyeyeZB"
x14761739,TasMelas,2018-11-07T17:14:00Z,x1060218824786612225,9,0,"Real or mirage: Clippers, not Lakers, best team in LA this season?https://t.co/U5twc1Lprt (Via @NBAcom Blogtable)"
x14761739,TasMelas,2018-11-08T03:30:10Z,x1060373889644146689,109,6,The Grizzlies are 6-4 and Mike Conley is not himself (yet). Their persistence is ridiculous. And the all blue everything looks great. And Conley's new look is becoming. But Vancouver should have never left.
x14761739,TasMelas,2018-11-08T12:36:38Z,x1060511410747305984,28,5,"Unfortunately, I'm the same. https://t.co/9biHvF5cut"
x14761739,TasMelas,2018-11-08T14:20:59Z,x1060537673037897729,144,19,The only way to get maximum fun out of the NBA All-Star Draft is to have all the players present. The only way to have all the players present is to do it before the game. I don't want two guys picking names of players at a draft board -- I want the faces of those players!
x14761739,TasMelas,2018-11-08T17:00:01Z,x1060577694763663362,50,1,It’s a heck of a league but what’s your pick for Worst of the Week in the NBA?
x14761739,TasMelas,2018-11-08T17:55:58Z,x1060591775465693184,46,1,Very nice. We’ve got Whiteside-Embiid on Monday with both playing well right now.
x14761739,TasMelas,2018-11-08T19:15:09Z,x1060611700020428803,39,1,"For those that miss post play in the NBA, the Towns-Chandler matchup was something to watch. https://t.co/mZel0IC6FC"
x14761739,TasMelas,2018-11-09T02:01:36Z,x1060713987095048193,50,5,PJ Tucker deserves a raise.
x14761739,TasMelas,2018-11-10T00:56:42Z,x1061060043615932416,151,8,"This Wizards drop-off is remarkable. Impressive, even. 

Lose by 19 to Dallas, by 23 at home to OKC, now getting blown out by Orlando?!"
x14761739,TasMelas,2018-11-10T01:16:22Z,x1061064994291441664,65,10,Thread. https://t.co/JcpAJlQPC2
x14761739,TasMelas,2018-11-10T01:38:57Z,x1061070673924288512,55,2,"As discussed on #TheStarters Drop, no lettuce in that Greek salad. @Giannis_An34 at a Greek restaurant providing the wise menu ⬇️ https://t.co/MeRsHTnC7y"
x14761739,TasMelas,2018-11-10T17:39:03Z,x1061312293215129600,88,10,"Giannis is shooting a career low on 3s but also a career high on 2s (60%). 

Bucks’ new style of shooting 3s is spotlighting his biggest strength— scoring at the rim. He’s getting shots closer to the hoop more than ever. Almost 6 of every 10 shots is AT the rim. Unstoppable."
x14761739,TasMelas,2018-11-10T18:30:06Z,x1061325140762468353,81,5,"I’d expect Philly’s rotation to be:

Fultz-Ben-Jimmy-WilsonC-Joel
TJ-Shamet-Redick-Amir-Moose

With JJ subbed Fultz for in scoring lineup."
x14761739,TasMelas,2018-11-10T22:57:10Z,x1061392348985344001,25,1,"""The Jimmy Cheesesteak: It's Saucey!"" https://t.co/idlhjg3nqT"
x14761739,TasMelas,2018-11-11T03:33:33Z,x1061461903275446272,138,6,"Jimmy Butler traded to Philly. 
The Wizards win! 
The Eastern Conference is back!"
x14761739,TasMelas,2018-11-11T03:45:44Z,x1061464970070814720,287,35,"Carmelo out with an ""illness"".
Michael Carter-Williams out with an ""illness"".

Is this that played-their-last-game-as-a-Rocket bug that's going around?"
x14761739,TasMelas,2018-11-11T14:11:30Z,x1061622450323103744,193,21,This Willie Cauley-Stein dunk last night looked awesome because Willie Cauley-Stein dunks looks awesome. https://t.co/xowXBTkIlh
x14761739,TasMelas,2018-11-11T17:51:20Z,x1061677772651802624,105,6,"Watching PJ Tucker basically close the game playing center against the much taller LaMarcus Aldridge in a loss:

1) Houston would've loved to have grabbed Tyson Chandler.
2) Marquese Chriss can't get on the floor here?
3) Ryan Anderson trade not working out for Rockers so far."
x14761739,TasMelas,2018-11-12T01:12:17Z,x1061788739440119808,153,14,"I know it sounds ridiculous, but JR Smith in Carmelo Anthony’s role is so crazy it might just be crazy."
x14761739,TasMelas,2018-11-12T01:44:06Z,x1061796747599593472,71,12,"TRADE PERHAPS?

Rockets get: JR Smith
Kings get: B. Knight, 2nd Rd Pick
Cavs get: Z. Randolph

Rockets get: JR in Melo role
Cavs get: Save $$, bye to JR
Kings get: Pick, have cap room for Knight contract next season https://t.co/VlQWgbxEMe"
x14761739,TasMelas,2018-11-12T03:11:58Z,x1061818860586844160,226,9,"Even though I’m currently on the Ilyasofa, I would walk a 1000 Lyles just to see Eric Bledsoar to the hoop, even if he has the occasional shot Millslapped outta there."
x14761739,TasMelas,2018-11-12T03:26:25Z,x1061822494590435328,88,13,The rim is Vincent Askew in Portland. They can’t start the 2nd half. Nik Stauskas has joined the broadcast. https://t.co/Y3mP0aHbw9
x14761739,TasMelas,2018-11-12T14:01:53Z,x1061982418050146304,97,2,Is LeBron’s dunk after his own missed free throw a ‘game-winner?’ You better believe it.
x14761739,TasMelas,2018-11-13T02:17:33Z,x1062167551763996673,349,41,You will be back Caris LeVert!
x14761739,TasMelas,2018-11-13T12:09:33Z,x1062316533320482817,48,2,Vlade: I guess I should watch this team now (wait for it). https://t.co/Tq0L7rmtm9
x14761739,TasMelas,2018-11-13T14:20:23Z,x1062349461031174145,74,4,"Professional road win for the Sixers last night before Butler arrives. Serious pep in their step. Time for the East to get worried. Oh, and Embiid is virtually unstoppable."
x14761739,TasMelas,2018-11-14T04:02:10Z,x1062556269679202304,107,5,"After lineup tinkering, injuries, a suspension and experimenting to start the season, the Rockets are ready to get down to business.

It's business, it's business time!"
x14761739,TasMelas,2018-11-14T19:33:10Z,x1062790561244033025,28,0,I barely said anything in this promo (I’m the 4-time champ!) and that’s why I’m throwing Crossfire tonight. https://t.co/bF34dgQy3z
x14761739,TasMelas,2018-11-15T02:06:11Z,x1062889470675111946,51,1,"Kawhi is getting in to his moves a little quicker. Always that calming influence, going at his own pace. He must be feeling very good."
x14761739,TasMelas,2018-11-15T02:07:50Z,x1062889884590002176,48,4,Wilson Chandler can be for the Sixers what Marcus Morris is for the Celtics.
x14761739,TasMelas,2018-11-15T02:27:05Z,x1062894727148789761,278,45,"Forget the debut of Jimmy Butler, Sixers-Magic was all about the return of Jonathan Isaac."
x14761739,TasMelas,2018-11-15T03:05:34Z,x1062904414380396544,329,35,"Guess if you’re a Raptors fan, losing to a play instigated by Dwane Casey and Jose Calderon isn’t terrible."
x14761739,TasMelas,2018-11-15T14:54:04Z,x1063082712003764224,50,0,"A lot of positives going on in basketball, but I have to ask, what’s your pick for Worst of the Week in the NBA?

#TheStarters"
x14761739,TasMelas,2018-11-15T15:25:50Z,x1063090705386688513,64,5,Let’s go to these Nike ‘City’ Edition jerseys (inspired by Oklahoma’s Native American heritage) full-time Thunder! https://t.co/1mfgv0himP
x14761739,TasMelas,2018-11-15T16:23:15Z,x1063105157616025606,103,5,I played basketball last night for the first time in a while. It was ugly out there. Should I have stayed retired? Maybe I’m putting this in to the ether so I’m held accountable and I actually play on the regular.
