user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x22159122,TonyReali,2018-11-10T15:54:03Z,x1061285867967397888,245,42,Bless a timeline. https://t.co/3OLaaVfXyd
x22159122,TonyReali,2018-11-11T15:02:15Z,x1061635220015906818,75,6,How bout AROUND the Horn? https://t.co/HEeNFfxTGw
x22159122,TonyReali,2018-11-12T03:08:41Z,x1061818033151373312,768,320,"There are 20 million Veterans.  For this to be a sentence that one ever has to speak is gutting. 

""I’m about to lose everything that I own and become homeless.  I don’t want to be that veteran on the street begging for change because I haven’t received what I was promised."" https://t.co/VlZ6dt8cp3"
x22159122,TonyReali,2018-11-12T18:39:25Z,x1062052259951984641,400,9,Bring your Enzo and Francesca to work. https://t.co/t9ELrPG8lL
x22159122,TonyReali,2018-11-13T22:33:41Z,x1062473605290905600,53,4,"Be the change you want to see in the world, @BillPlaschke @woodypaige @SarahSpain @IzGutierrez @AroundtheHorn ! https://t.co/xSsIgH8Sbt"
x22159122,TonyReali,2018-11-14T21:14:56Z,x1062816172968681482,69,3,But how about most romantic? https://t.co/bDor4UwuUz
x22159122,TonyReali,2018-11-14T22:32:41Z,x1062835741259120640,17,0,Which one has the best sushi? https://t.co/kizCUvXg6i
x22159122,TonyReali,2018-11-15T14:38:52Z,x1063078886047662083,174,24,"Love this, have no idea what it's for-ha, but I'm all for gift giving and music in kids. Grew up in a house with a piano and drums. Those young years with a musical instrument can really complement and enhance your trajectory in life, no matter what it is you wind up doing. https://t.co/oO3KrL8BOb"
x22159122,TonyReali,2018-11-15T16:53:01Z,x1063112647950909441,127,8,"Gooooood Moooooorning Seatttttttttlllllleeeee!

And good luck Brock and Salk. The way this usually works is someone asks me one question and then I steam roll my way into a rabbit hole and we never get out.  #MuteMe https://t.co/eBiNGIyCJa"
x22159122,TonyReali,2018-11-16T22:42:04Z,x1063562875099381760,109,2,!!!!!! https://t.co/rZNxIFXEOl
