user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x24897626,WorldWideWob,2018-11-15T16:52:04Z,x1063112408883970049,15145,2649,"In a perfect world, the Warriors are down 1 tonight with seconds left.
Durant is standing wide open under the rim for the game-winning dunk, demonstratively asking for the ball.
Draymond Green receives the swing pass.
Looks up.
Stares.
Punts the ball into the upper deck."
x24897626,WorldWideWob,2018-11-15T17:25:16Z,x1063120764952555520,1519,281,"now theyre walking into practice together ""positively"",
all this did was make KD/Draymond's relationship stronger 
run for your lives https://t.co/nEYdE7GZ6B"
x24897626,WorldWideWob,2018-11-15T20:28:12Z,x1063166798512701440,0,0,@Jim_ICE @CassidyHubbarth i used to do this to all of my friends while i lived in LA. this is righteous punishment.
x24897626,WorldWideWob,2018-11-15T21:32:56Z,x1063183090913329153,1,0,@BritniB714 should have known you were going to appear in the mentions today
x24897626,WorldWideWob,2018-11-16T01:11:03Z,x1063237980914094081,1799,320,If you ever need to know how an episode of Bones/Charmed/Castle ends just ask someone who watches too much NBA
x24897626,WorldWideWob,2018-11-16T01:18:35Z,x1063239878689865729,6857,1341,"Right out of the gates. 
Draymond to Durant. 
Everybody is doomed. https://t.co/m41G1OoKjy"
x24897626,WorldWideWob,2018-11-16T03:11:27Z,x1063268282055176192,11478,2420,Chris Paul so sneaky https://t.co/AQWQtpnxQX
x24897626,WorldWideWob,2018-11-16T04:16:10Z,x1063284565861720065,44,1,"@HPbasketball ok i thought about it more from our Periscope.
Montrezl is the new Manimal."
x24897626,WorldWideWob,2018-11-16T06:05:00Z,x1063311955082076160,5561,1609,"“You’re a bitch and you know you’re a bitch.....We dont need you. We won without you. Leave.”

God DAMN

⬇️⬇️⬇️⬇️ https://t.co/uSHS0MPGeM"
x24897626,WorldWideWob,2018-11-16T06:38:49Z,x1063320465605746688,162,27,Late Night with Wob- Reaction to Haynes’ KD/Dray update https://t.co/Q2jtYNsXfF
x24897626,WorldWideWob,2018-11-16T07:16:05Z,x1063329846338744320,617,103,#FergieCurse
x24897626,WorldWideWob,2018-11-16T07:28:48Z,x1063333047527976960,195,22,"this session of LNWW Congress has ended
by the power vested in me by the Periscope Comment Senate, the bill passes
PREAMBLE: Whereas until ""LETS PLAY SOME BASKETBALL"" is uttered by Dray in a public forum, the #FergieCurse lives
SECTION 1: The #FergieCurse shall live in perpetuity"
x24897626,WorldWideWob,2018-11-16T17:16:04Z,x1063480837671346176,353,125,Police Chase Live https://t.co/zkdtFTQgub
x24897626,WorldWideWob,2018-11-16T17:33:00Z,x1063485096769011712,14400,3210,"Wow.
Game OVER https://t.co/tdrAcqIIwx"
x24897626,WorldWideWob,2018-11-16T21:51:36Z,x1063550175845715968,5093,705,"how does one go to the grocery store for dinner and not buy the rotisserie chicken?
the price, convenience -- unmatched by any other item."
x24897626,WorldWideWob,2018-11-16T23:03:57Z,x1063568381951897600,388,169,Police Chase Live- Stu Mundel in air https://t.co/ivTN5oa9lo
x24897626,WorldWideWob,2018-11-17T00:03:17Z,x1063583315209404416,1,0,@NBALPSupport the system wont let me load league pass on any of my devices. plz help?
x24897626,WorldWideWob,2018-11-17T00:11:38Z,x1063585416740257797,3584,451,"NBA Sync
Episode 26
Sabonis &amp; Oladipo
🏊🏽‍♂️🏊🏽‍♂️ https://t.co/k85ZKZCMzI"
x24897626,WorldWideWob,2018-11-17T01:03:36Z,x1063598495452532736,10068,1558,"Timing your rebound so perfectly you can tap it off the glass for no reason (see below) is a top 5 🏀 feeling

What else is on this list?

• Pulling chair out on someone backing you down in post
• Successful bank shot after calling glass
• Clapping a rebound w/off hand
• ??? https://t.co/I00onVSTcO"
x24897626,WorldWideWob,2018-11-17T01:21:17Z,x1063602945462284288,3156,576,"NBA Sync
Episode 27
Butler &amp; Embiid
🏊🏽‍♂️🏊🏽‍♂️ https://t.co/OveRF5GAPx"
x24897626,WorldWideWob,2018-11-17T02:22:02Z,x1063618232228225024,3581,776,Kyrie Irving could finish at the rim in the middle of a tornado i swear
x24897626,WorldWideWob,2018-11-17T02:36:22Z,x1063621840072032257,1747,244,Turn the clock off in this Celtics/Raptors game and just keep playing until someone quits nobody here gonna complain
x24897626,WorldWideWob,2018-11-17T02:43:12Z,x1063623558797148160,4872,901,Kyrie makes dribbling by and finishing on one of the league’s best shot blockers look too easy. 41 and counting. https://t.co/mriXL4qY54
x24897626,WorldWideWob,2018-11-17T02:55:17Z,x1063626600699310081,2330,269,not gonna lie really wanted Kyrie to get 49 points with seconds left and see the Raptors throw the ball into the crowd
x24897626,WorldWideWob,2018-11-17T04:49:46Z,x1063655412388585472,13313,1938,Matthew Dellavedova was the second best player on a Finals team 3 years ago that shit is crazy
x24897626,WorldWideWob,2018-11-17T05:54:03Z,x1063671588040495104,240,22,Late Night with Wob https://t.co/sQkYPlc1Vi
x24897626,WorldWideWob,2018-11-18T01:40:28Z,x1063970159977742336,9295,2279,Kyrie Swerving https://t.co/AZIp0PnbK1
x24897626,WorldWideWob,2018-11-18T02:11:49Z,x1063978050013093888,2186,315,Gary Harris on a rope https://t.co/QJ4rWIhta2
x24897626,WorldWideWob,2018-11-18T02:28:01Z,x1063982127732195329,2178,488,KEMBA AAAAA. 52 AND COUNTING. https://t.co/SpHfMUL9DN
x24897626,WorldWideWob,2018-11-18T02:29:58Z,x1063982616242737152,1957,371,Kemba carrying the franchise on his damn BACK https://t.co/ONbmvo3TXj
x24897626,WorldWideWob,2018-11-18T02:31:30Z,x1063983003247013888,5030,1271,KEMBA. 56. JORDAN SHRUG. https://t.co/yh1I9p8jOn
x24897626,WorldWideWob,2018-11-18T02:32:32Z,x1063983262429777920,23357,4712,"56 points on 69% shooting

SOMEBODY FOR THE LOVE OF GOD SAVE KEMBA"
x24897626,WorldWideWob,2018-11-18T02:40:19Z,x1063985222868455429,1056,158,Jimmy Butler hero ball no good. Overtime. 70 now in play for Kemba. https://t.co/9u7ji7MOSp
x24897626,WorldWideWob,2018-11-18T02:51:06Z,x1063987937115820032,124,28,@hornets your court and jerseys are too dope to lose this game DO NOT LOSE THIS GAME
x24897626,WorldWideWob,2018-11-18T02:53:53Z,x1063988637250007041,1517,208,Willy Hernangomez’s Larry Johnson shoes omg https://t.co/CV0k8WYXaB
x24897626,WorldWideWob,2018-11-18T02:55:45Z,x1063989107267911685,5840,1404,Jimmy Butler huge block and save with game on the line holy hell https://t.co/pvGUA14bPv
x24897626,WorldWideWob,2018-11-18T02:57:02Z,x1063989427788308480,23320,5226,He’s done it. JIMMY BUTLER FOR THE WIN. Game of the year. https://t.co/04gIuJIPuJ
x24897626,WorldWideWob,2018-11-18T03:04:24Z,x1063991283029553152,3257,921,how do you have the dopest court/jersey combo in the history of the nba and YOU SURROUND KEMBA WITH THIS @hornets https://t.co/m68iYahoWU
