user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x23378774,ZachLowe_NBA,2018-10-28T22:45:02Z,x1056678255829417984,356,31,Alfonzo McKinnie continuing to give GSW really solid minutes.
x23378774,ZachLowe_NBA,2018-10-29T03:30:54Z,x1056750192756699136,1906,77,"Whoever came up with the idea of showing every player's reaction to the last out of the World Series is a hero. Also, the Wizards are a mess and it's painful to watch right now. This has been a tweet on Sunday night."
x23378774,ZachLowe_NBA,2018-10-29T11:16:07Z,x1056867271635881986,348,24,"Should have gone with ""interim-interim head coach."" https://t.co/J4e8dXchYH"
x23378774,ZachLowe_NBA,2018-10-29T19:54:22Z,x1056997690033225731,344,47,"Lowe Post podcast: @wojespn on Ty Lue's firing, what's next for the Cavs, Kevin Love's trade value, the reeling Wizards, Jimmy Butler talks,  much more: https://t.co/Q1QDoW0m6t"
x23378774,ZachLowe_NBA,2018-10-29T19:56:05Z,x1056998122298245121,427,14,Woj even talks a little baseball! https://t.co/yD8rVP2D0N
x23378774,ZachLowe_NBA,2018-10-30T01:46:21Z,x1057086270390853639,1628,137,"This is a really solid win for the Kings, Fox threw some really great passes against pressure, Bjelica has been good all season and I'm sorry Klay did what now?"
x23378774,ZachLowe_NBA,2018-10-30T01:48:43Z,x1057086867810799617,126,7,"On the Lowe Post podcast w/ @NickFriedell last Friday, we discussed the coming Klay avalanche among many other things (GSW, Jimmy Butler/Thibs, LaVine's season so far, etc) https://t.co/34rXCZjz1o"
x23378774,ZachLowe_NBA,2018-10-30T02:58:22Z,x1057104395035439104,2356,178,I mean I for sure do https://t.co/EDmRiwfF4J
x23378774,ZachLowe_NBA,2018-10-30T11:17:01Z,x1057229884592979968,1132,130,"I honestly think my favorite stat from last night might be Klay attempting 24 3s in 27 minutes. Can you imagine telling a player from the 1990s that such a thing was possible? Also: one game vs CHI, GSW jumps to No. 1 in points per possession with a giant 5-point lead over No. 2."
x23378774,ZachLowe_NBA,2018-10-30T11:29:13Z,x1057232954718593024,48,4,Beck and Liv -- this will be good! https://t.co/EKe6jh75Mj
x23378774,ZachLowe_NBA,2018-10-30T13:00:55Z,x1057256032647499776,87,9,"Lowe Post podcast: @wojespn on Ty Lue's firing, what's next for the Cavs/Kevin Love, the latest on Jimmy Butler, the reeling Wizards, and much more: https://t.co/Q1QDoW0m6t"
x23378774,ZachLowe_NBA,2018-10-30T14:53:29Z,x1057284358581768193,369,67,McGruder's passing is a 10 Things candidate this week. Really great player development story in Miami. https://t.co/pALyAdEMBM
x23378774,ZachLowe_NBA,2018-10-30T17:04:55Z,x1057317436175933442,451,94,"The story behind those new, gray, letter-less Sixers jerseys -- starring T.J. McConnell in a meat locker: https://t.co/3fSsa1D4L7"
x23378774,ZachLowe_NBA,2018-10-30T17:09:14Z,x1057318523997958144,374,81,"You know I love jerseys and courts and NBA art stuff. The city edition jerseys will start trickling out this week. This is the inside story of a very unusual one that could have ended up looking, very, very different: https://t.co/3fSsa1D4L7"
x23378774,ZachLowe_NBA,2018-10-30T20:06:55Z,x1057363239930073091,106,9,"Lowe Post podcast: @wojespn on Rich Gedman, Ty Lue's firing, what's next for the Cavs and Kevin Love, latest on Jimmy Butler, what's wrong with the Wizards, more: https://t.co/Q1QDoW0m6t"
x23378774,ZachLowe_NBA,2018-10-31T02:46:34Z,x1057463812218146817,393,29,"Saric has just been kinda lost all season, including tonight. Was such a huge jack-of-all-trades for them last year. Filled almost every role, shot 39% from deep. Good news: it's still super early. https://t.co/4OvLxNAcVL"
x23378774,ZachLowe_NBA,2018-10-31T02:51:03Z,x1057464943585439750,391,26,"There are honestly too many teams that fit the ""it's fine"" dog meme. (I am partial to Lt. Frank Drebin repeating ""nothing to see here"" as a building explodes behind him, but I'm old). We need something beyond fire dog for some of these teams. https://t.co/OvQ3fzkCGD"
x23378774,ZachLowe_NBA,2018-10-31T16:31:21Z,x1057671375714947073,15,1,"@ChrisMannixYS ""I'm coming home"""
x23378774,ZachLowe_NBA,2018-11-01T03:25:31Z,x1057836003828862981,209,14,"Also has randomly been a rim protector this season. Three blocks tonight already, came into the game averaging about 1.5 per game. Really good timing. https://t.co/wwMotX7OCF"
x23378774,ZachLowe_NBA,2018-11-01T13:48:05Z,x1057992675474001920,297,47,"Battled hard on switches vs Indy front-court last night, which isn't easy. Plays bigger than his size on defense -- and not only b/c of his giant wingspan. https://t.co/mSY74XFNFe"
x23378774,ZachLowe_NBA,2018-11-01T14:05:49Z,x1057997139299713024,983,29,This was the other uni I thought about digging into. Really like this one. https://t.co/WHWF127lYs
x23378774,ZachLowe_NBA,2018-11-01T14:30:21Z,x1058003315429203968,275,46,"Houston's slippage on offense hasn't received the same level of attention, which makes some sense considering Harden and CP have barely played together. But it has been U-G-L-Y https://t.co/WrsXsHbC8G"
x23378774,ZachLowe_NBA,2018-11-01T14:55:09Z,x1058009554347266048,653,139,"Yes, those are Prince jerseys. How the Wolves and Nike crafted them, with help from Prince's estate, as told to https://t.co/zbzq88KImD: https://t.co/l6md31tpHk"
x23378774,ZachLowe_NBA,2018-11-01T14:58:05Z,x1058010292221829120,91,10,"Also Karl-Anthony Towns on a ""Purple Rain"" motorcycle: https://t.co/l6md31tpHk"
x23378774,ZachLowe_NBA,2018-11-02T13:27:19Z,x1058349838016962566,402,50,"Friday=10 Things I Like + Don't Like, starring De'Aaron Fox, mean Dame, Kuz, Doncic, high-level hoggery, bad court design ideas, much more: https://t.co/8pBPHvGVjk"
x23378774,ZachLowe_NBA,2018-11-02T13:42:34Z,x1058353675486281729,144,14,Alternative 10 Things link in case the first one has issues with clips: https://t.co/Mbb9Iy2Tdv
x23378774,ZachLowe_NBA,2018-11-02T16:28:11Z,x1058395357439295488,902,112,More predictable than a bad TV plot twist. https://t.co/CCmoF7Mfe5
x23378774,ZachLowe_NBA,2018-11-02T16:35:00Z,x1058397070221029376,100,18,"Lowe Post podcast: Mike D'Antoni in NYC ahead of tonight's Nets game on Houston's struggles, whether they will stop switching on defense, how teams are adapting to their offense, what comes now, much more: https://t.co/fDO0uEv7eY"
x23378774,ZachLowe_NBA,2018-11-02T16:41:47Z,x1058398778212970497,3368,652,"Lakers are 7th in offensive efficiency, 23rd in defensive efficiency with a total point differential of minus-1. What exactly did Magic expect? Does he think he built a good defensive roster?"
x23378774,ZachLowe_NBA,2018-11-02T16:45:29Z,x1058399707893039104,181,16,"Addressed the Lakers a bit, including some lineup questions, in 10 Things today -- item No. 2 on Kuzma: https://t.co/Mbb9Iy2Tdv"
x23378774,ZachLowe_NBA,2018-11-02T18:30:05Z,x1058426032821338112,258,40,"Lowe Post podcast: Mike D'Antoni live in NYC on whether he's worried about the Rockets, the possibility of scrapping their switching defense, opponents adapting to HOU's offense, Boris Diaw's vertical leap, and much more: https://t.co/fDO0uEv7eY"
x23378774,ZachLowe_NBA,2018-11-03T01:24:25Z,x1058530305001377793,1158,85,/checks scoreboard. Oh my god Wizards.
x23378774,ZachLowe_NBA,2018-11-03T13:58:36Z,x1058720099518046209,68,4,"ICYMI: Lowe Post podcast: Mike D'Antoni on the struggling Rockets,  tinkering w/ their defense, Boris Diaw's vertical leap, last year's GSW series, more: https://t.co/fDO0uEv7eY"
x23378774,ZachLowe_NBA,2018-11-03T16:16:02Z,x1058754684616404994,759,35,"For the record, I had them as a playoff team that ""should talent their way to 43 or 44 wins even if they all hate each other."" From my preseason tiers/power rankings column, which is what I'm guessing you're referencing. Incredibly even that was optimistic. https://t.co/UiKGyihx4v"
x23378774,ZachLowe_NBA,2018-11-03T18:22:09Z,x1058786423862689793,427,41,"Joel Embiid about to foul out Vinnie ""the microwave"" Johnson and Hooper the Horse in the 2nd half."
x23378774,ZachLowe_NBA,2018-11-03T21:50:21Z,x1058838818336444418,398,27,"From yesterday's 10 Things, and the basketball gods shall provide. https://t.co/tKq1w1NkUp"
x23378774,ZachLowe_NBA,2018-11-03T21:51:13Z,x1058839037887369218,1153,186,"This is part of the reason -- as I and lots others reported over the summer -- that LA was never panicked about their center situation. Buyouts were inevitable. This is earlier than expected, but still."
x23378774,ZachLowe_NBA,2018-11-04T13:16:34Z,x1059071908384268289,1213,170,"Had heard rumblings about an arrangement like this w/ Korver. Very interesting twist if true. Not sure who wins the current dysfunction power rankings b/w Cavs, Wiz, and Wolves, but you really have to admire the commitment of all three teams. #thisisfine https://t.co/m9GBv6ozuY"
x23378774,ZachLowe_NBA,2018-11-04T13:23:33Z,x1059073668490379264,302,84,"Here's a thing: By @bball_ref database, Spurs are on pace for the lowest turnover rate in recorded NBA history: https://t.co/jj29cev3pj"
x23378774,ZachLowe_NBA,2018-11-04T13:25:37Z,x1059074187065782275,479,75,"Any team pairing DeRozan and LMA (two high-usage/extremely low-turnover players) will benefit from this, but even so, Spurs turnover avoidance so far is pretty impressive https://t.co/jFz31FUxBN"
