user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x33537967,amyklobuchar,2018-11-01T16:40:32Z,x1058036076495814656,1088,320,Third Congressional District candidate @DeanBPhillips and I took an amusing break from...well...everything...and drove his government repair truck around Plymouth where I grew up.  Check out Constituents in Trucks Getting Coffee! Go Dean! https://t.co/prpx1rTRAg
x33537967,amyklobuchar,2018-11-01T21:01:35Z,x1058101769790726144,300,55,"Sunny start to our day, kicking off the @MinnesotaDFL bus tour with @tinasmithmn @tim_walz @peggyflanagan @renamoran @melvincarter3 @Jacob_Frey and a big, fired up crowd! https://t.co/DCxYXsTR3O"
x33537967,amyklobuchar,2018-11-02T14:53:38Z,x1058371560678064129,393,90,"Thanks to the Winona Daily News for the thoughtful endorsement.  This election is really important to the future of Winona...workforce solutions, farm bill, infrastructure investment. Thanks. U.S. Senate: Amy Klobuchar https://t.co/FKNggPRmmb via @winonadailynews"
x33537967,amyklobuchar,2018-11-02T15:54:37Z,x1058386909884493824,465,128,"An energetic start to the AM in West St Paul with lots of volunteers &amp; this amazing organizer, Sarah Gooderham! She’s so proud of the volunteers, the candidates she is helping, and the work they are all doing — its her smile I will remember on election night when Democrats win! https://t.co/DrrsRWFr5o"
x33537967,amyklobuchar,2018-11-02T17:19:40Z,x1058408312193122305,854,241,.@Oprah’s call to action about the right to vote and honoring those who sacrificed to ensure that everyone has a voice in our democracy is a message all should hear. “Every single one of us has the same power at the polls.” https://t.co/Oo4bFHg6su
x33537967,amyklobuchar,2018-11-02T17:48:41Z,x1058415615919165440,606,147,".@TinaSmithMN did a great job in her debate last night.  She continues to work hard and stand up for what’s right and I’m proud to have her as a colleague. 
https://t.co/BC181UXL8d"
x33537967,amyklobuchar,2018-11-02T18:51:12Z,x1058431347557945344,1253,410,"Why do the costs of prescription drugs continue to skyrocket? There’s only one answer to that: the big pharmaceutical companies own Washington. Well, they don’t own us. Together, we will take them on. https://t.co/Z1vJJYDxHD"
x33537967,amyklobuchar,2018-11-02T21:13:08Z,x1058467064317464576,315,56,"It’s the girls on the bus-a great crew of women traveling the state today in support of all our candidates! Glad to be with @peggyflanagan @julieblaha &amp; @melissahortman (also pictured on our bus: @tinasmithmn!) loved our visits to West St Paul, U of M, Brooklyn Park &amp; St Cloud. https://t.co/tY9fXwg3F3"
x33537967,amyklobuchar,2018-11-02T22:05:52Z,x1058480336148029440,211,39,The bus tour stopped at the U of M this afternoon.  It reminded me of campaigning there with @algore during my first campaign - #fbf to 2006! https://t.co/UXe10IXqHN
x33537967,amyklobuchar,2018-11-03T00:37:49Z,x1058518576859099136,831,87,"And good to meet Grandma Hilda!  Hey, that’s me on that bus! https://t.co/QvEOtnR9tu"
x33537967,amyklobuchar,2018-11-03T18:20:46Z,x1058786076670783488,446,91,"Want to know a great way to start your morning? Firing up our amazing volunteers with this great crew of women. Thanks to everyone that joined @TinaSmithMN, @VoteBetty, @renamoran, @TristaMatas &amp; me in St. Paul. Let's get out the vote and get this done! https://t.co/1zh7F0j9XQ"
x33537967,amyklobuchar,2018-11-03T20:55:38Z,x1058825048969150465,553,144,"Thank you to the Fargo Forum newspapers and the @duluthnewstribune for the endorsements, and for highlighting some of the important work we’ve done for the region - from workforce development to expanding broadband to Great Lakes Restoration.
https://t.co/uZsMkDtAmd"
