user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x21129105,bomani_jones,2018-11-09T14:59:13Z,x1060909680057335809,77,9,"your words are your own, up until the moment you put em into the world. that's the game, and it will always be the game. https://t.co/BvZHJFU5Pu"
x21129105,bomani_jones,2018-11-09T20:45:04Z,x1060996717506637825,12,6,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries
x21129105,bomani_jones,2018-11-09T21:30:26Z,x1061008135211704322,607,187,because there is no better or realer quote in the nfl than marcus peters #highnoon https://t.co/6OS5pCjjHf
x21129105,bomani_jones,2018-11-09T21:34:46Z,x1061009226150092805,108,9,"apparently, they called him up from wu-tang triple-a in 2007. my bad. i wasn't checking the transactions column by then. https://t.co/DGtjvE8YoH"
x21129105,bomani_jones,2018-11-09T21:36:39Z,x1061009698038706176,28,6,the wheels came off this one fast. https://t.co/mkv5Qs3hFd
x21129105,bomani_jones,2018-11-09T21:47:17Z,x1061012376181526529,18,0,"while that's a, yanno, obvious point, there's a bit of disagreement on just what their problem was with marcus peters.

you wanna expound on this or nah? https://t.co/VBjZHl2cGv"
x21129105,bomani_jones,2018-11-09T22:10:24Z,x1061018192397721600,276,63,"so here's my question...who's to say he wouldn't have suffered such an injury in, yanno, training camp? https://t.co/NkGAgtgow3"
x21129105,bomani_jones,2018-11-09T22:14:05Z,x1061019117543661568,88,9,that people get hurt while playing football. https://t.co/5NukfBlYvu
x21129105,bomani_jones,2018-11-09T22:15:01Z,x1061019354353983488,130,16,huh https://t.co/jJFI0e8irn
x21129105,bomani_jones,2018-11-09T22:15:52Z,x1061019568561364993,673,163,"interesting seeing all the people who are mad at eric reid now who hadn't even noticed him for two seasons prior. don't tell on yourselves, guys.

or do. it's whatever."
x21129105,bomani_jones,2018-11-10T00:34:41Z,x1061054502676152320,31,1,it's gonna get really real really fast in seamless' mentions.
x21129105,bomani_jones,2018-11-10T21:26:59Z,x1061369653874827265,680,79,this dude really woke up every day for three years to check if the sixers got jimmy butler just for this. https://t.co/whWafi5nhA
x21129105,bomani_jones,2018-11-10T21:56:57Z,x1061377194503614465,99,5,"yeah, cuz the circumstances of today are totally the same as 2015. but if you need it that bad...
.
.
.
.
then you’re a dork. https://t.co/fnAW0gbZ9k"
x21129105,bomani_jones,2018-11-10T21:57:50Z,x1061377416654917632,312,44,you’re dressed like a loser https://t.co/U3S4ta5c3A
x21129105,bomani_jones,2018-11-12T00:30:04Z,x1061778115029024768,137,29,asking a favor of #TheRightTime listeners...mind filling out this survey?  https://t.co/MJzl9C84M6
