user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x21129105,bomani_jones,2018-11-15T01:18:45Z,x1062877529680297984,16,4,sorry i'm late. but ready to rock on #TheEveningJones? i take questions for an hour. people tend to enjoy it. join us. https://t.co/Cv0EQl7spT
x21129105,bomani_jones,2018-11-15T01:29:06Z,x1062880136909991941,15,3,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/I4tEEmHEwO
x21129105,bomani_jones,2018-11-15T01:48:03Z,x1062884905569398785,6,2,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/jihEfkxLHT
x21129105,bomani_jones,2018-11-15T01:56:54Z,x1062887131591438336,8,4,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/Wdm6gBMKJr
x21129105,bomani_jones,2018-11-15T02:01:21Z,x1062888250774339584,4,0,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/uAnJwReO0e
x21129105,bomani_jones,2018-11-15T02:04:36Z,x1062889072207806464,19,4,https://t.co/Cv0EQl7spT #TheEveningJones https://t.co/Z7VoSwtwjQ
x21129105,bomani_jones,2018-11-15T02:10:33Z,x1062890566990680064,13,0,thank you for watching #TheEveningJones. subscribe to the podcast: https://t.co/ZVTEkULSEF
x21129105,bomani_jones,2018-11-15T15:05:13Z,x1063085519784103937,68,9,I WANNA BE MAD! https://t.co/YxMsf7PqZD
x21129105,bomani_jones,2018-11-15T15:06:09Z,x1063085751561306117,56,8,"“see, i can take a joke. i’m not mad. nope. BUT I’M MAD AT HIM BECAUSE I’M JUST MAD OK?” https://t.co/MDHon4UYxE"
x21129105,bomani_jones,2018-11-15T15:40:49Z,x1063094478578298885,25,1,but i didn’t... https://t.co/cnE39wGKYV
x21129105,bomani_jones,2018-11-15T15:41:24Z,x1063094623973900288,184,26,LOL https://t.co/UgQLopv97q
x21129105,bomani_jones,2018-11-15T15:44:06Z,x1063095304403238915,148,18,THERE WE GO https://t.co/uTmWUkhZl0
x21129105,bomani_jones,2018-11-15T15:46:26Z,x1063095892255952896,96,7,it’s below freezing in the city today. i’m gonna get these laughs however i can. the dummies are lining up this morning.
x21129105,bomani_jones,2018-11-15T17:56:32Z,x1063128632753823750,14,3,new #TheRightTime! talking draymond and more with @bowen12. https://t.co/84BKDPzdlM https://t.co/YQyGwWYNuh
x21129105,bomani_jones,2018-11-15T20:32:04Z,x1063167773981974530,179,12,"many of you — haters, each of you — will appreciate @Ryan_Cortes trolling me from miami when this was me after three blocks. https://t.co/wonGGALiuj"
x21129105,bomani_jones,2018-11-15T20:45:05Z,x1063171047887982592,6,0,4pm ET @bomani_jones  and @PabloTorre  will be on @HIGHNOONonESPN  #HighNoon #recordseries
x21129105,bomani_jones,2018-11-15T20:57:42Z,x1063174223458394113,56,0,soon as you’re ready to replace us. so you tell me. https://t.co/vhbXlCUPGI
x21129105,bomani_jones,2018-11-15T21:30:43Z,x1063182532747972609,84,16,kd and draymond...lets get messy! #highnoon https://t.co/RiCyBzWWb1
