user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x18805645,djacoby,2018-10-20T01:58:12Z,x1053465376850395137,34,5,LeVert!
x18805645,djacoby,2018-10-21T01:46:53Z,x1053824913067438080,87,4,Knicks are gonna lose this game...but in style.
x18805645,djacoby,2018-10-21T16:53:58Z,x1054053188662448128,32,3,"Boss Move Drake, but I need to see more sauces and napkins next time. https://t.co/BgMIcUs1FF"
x18805645,djacoby,2018-10-21T23:08:01Z,x1054147322823745536,72,4,Justin Tucker must have bought tickets to the 7:30 ‘A Star Is Born’ showing.
x18805645,djacoby,2018-10-23T11:45:19Z,x1054700289486454784,8,0,I REALLY wanted the World Series to dangle in the balance of Chris Sale’s belly button ring. Alas: https://t.co/8LlSojVl4t
x18805645,djacoby,2018-10-23T12:12:15Z,x1054707068131794944,32,4,"This was super fun to do, shout to these two, subscribe to this podcast if you haven't already. 

Bell's Pizza for life. https://t.co/d0jyI8Rqek"
x18805645,djacoby,2018-10-25T23:50:41Z,x1055607612002258945,73,19,LeBron is a great second banana to Lance: https://t.co/NP6zxToGX3
x18805645,djacoby,2018-10-29T12:41:19Z,x1056888711995162624,154,12,Nice flex LJ. https://t.co/QiXF4iDvIT
x18805645,djacoby,2018-10-29T17:42:27Z,x1056964493937393667,21,12,Will the next Browns head coach be:
x18805645,djacoby,2018-10-30T00:20:20Z,x1057064624498139136,72,7,Boss Move. https://t.co/sIdKssnqJN
x18805645,djacoby,2018-10-30T01:05:52Z,x1057076081902149633,447,86,The Warriors have 92 points at the half.
x18805645,djacoby,2018-10-30T01:36:37Z,x1057083823635263488,412,58,"Klay has 52 points and is still getting wide open looks. 

The rest of the team is feeding him on every possession. You might want to get League Pass and then call back after the game and say your kid did it."
x18805645,djacoby,2018-10-30T02:21:05Z,x1057095011827888133,67,13,Click and point: https://t.co/UfvxesCLgl
x18805645,djacoby,2018-10-31T18:21:28Z,x1057699090102996992,137,13,"Hello, we are doing a ""cultural or regional"" segment tomorrow, if you hit me and @jalenrose with ""cultural or regional"" questions we will put them on the show tomorrow. Thanks teammates."
x18805645,djacoby,2018-10-31T19:53:12Z,x1057722172309954568,364,13,"This is one of those things that is so good I get angry at it for being so good because I am an insecure person on the inside. 

Forever shout to everyone at the @ringer https://t.co/DzluoOXHz9"
