user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x14466538,dscc,2018-11-03T19:12:20Z,x1058799051699830785,15,13,"It’s the #LastWeekend before Election Day, and we’re counting on Democrats like you to help reach every last voter to get to the polls and #FlipTheSenate. Sign-up to volunteer here 📝:  https://t.co/qjzQIzZhDx https://t.co/UsxsCU9ZwD"
x14466538,dscc,2018-11-03T20:16:39Z,x1058815239939125249,30,30,"Hey, Missouri -- we can’t afford to sit this one out. Make a plan to vote, then sign up to volunteer for @clairecmc ⬇️ #MOSen #WinTheMidterms https://t.co/AWFCgCF7Q1"
x14466538,dscc,2018-11-04T15:59:19Z,x1059112865687162881,20,16,"How to use that extra hour today? 🤔

📱Text voters
🚪Knock on doors
☎️Call voters

Sign-up for a volunteer shift here: https://t.co/qjzQIAgSv5

2️⃣days to go… Let's do this!! 
 
#FlipTheSenate #GOTV #ElectSenateDems #vote #midterms https://t.co/tOd36P0Wro"
x14466538,dscc,2018-11-04T21:36:55Z,x1059197828319379456,11,10,"That’s right, @MurrayCampaign! Let’s keep knocking doors 🚪, texting voters 📲, and making phone calls 📞 Sign-up here 📝: https://t.co/qjzQIzZhDx https://t.co/5fhCVoxgvU"
x14466538,dscc,2018-11-04T22:47:04Z,x1059215479036829697,23,21,"Hey, Pennsylvania! Don’t forget to make a plan to get out and re-elect @Bob_Casey! #PASen #WinTheMidterms https://t.co/rl8rC3HUix"
x14466538,dscc,2018-11-04T23:46:37Z,x1059230465058660353,14,10,Yes! And you can help #GOTV here: https://t.co/qjzQIzZhDx https://t.co/yonEcRTl8z
x14466538,dscc,2018-11-05T00:48:54Z,x1059246139462115329,17,12,"Hey, Arizona! Don’t forget to make a plan and vote 🗳️ #AZSen https://t.co/JxkmbMrVRO"
x14466538,dscc,2018-11-05T13:58:27Z,x1059444837089456130,102,103,"The easiest thing you can do to #FlipTheSenate? Vote 🗳️Text Senate to 64336 📲 to confirm your polling location. Then, invite your friends to join you! #WinTheMidterms #ElectSenateDems https://t.co/lHEZQX7Qe3"
x14466538,dscc,2018-11-05T18:10:29Z,x1059508262033330176,7,12,"Hey, Indiana, Minnesota, Montana, Nebraska, Ohio, and Wyoming! Today's your last day to vote early. Don't forget to make a plan and vote: https://t.co/cLKJH3wcZe #INSen #MNSen #MTSen #NESen #OHSen #WYSen https://t.co/5uzkVFs4ZD"
x14466538,dscc,2018-11-05T19:00:35Z,x1059520873730920448,16,14,#MidtermsMatter and there's still time to #GOTV on #ElectionEve and help Democrats #FlipTheSenate! Sign-up for a volunteer shift now: https://t.co/XAmLZJApfI https://t.co/dOfv7fP4xM
x14466538,dscc,2018-11-05T19:39:42Z,x1059530716600549376,14,8,"DSCC Chairman @VanHollenForMD: ""Let me just say that the fact that we still have a narrow path to a majority [in the Senate] is a sea change from where we were 18 months ago."" #ElectSenateDems https://t.co/Itg0hMIdoZ"
x14466538,dscc,2018-11-05T21:03:16Z,x1059551747297824768,13,17,Got questions about voting? Call the NATIONAL Voter Protection Hotline 👇#ElectionEve #FlipTheSenate #WinTheMidterms https://t.co/AlxZ5i69zj
x14466538,dscc,2018-11-06T00:19:42Z,x1059601181083947008,8,2,There's only 1⃣ day until Election Day! Have you made your plan to vote? https://t.co/cLKJH3wcZe #CountdownMonday #FlipTheSenate #ElectSenateDems #WinTheMidterms #ElectionEve https://t.co/0dapadcs5z
x14466538,dscc,2018-11-06T14:53:05Z,x1059820974894342144,19,13,"☀️Rise and shine, today’s a big day -- it’s #ElectionDay! 🇺🇸 Make a plan to get out and vote: https://t.co/cLKJH3eBAE 🗳️ #FlipTheSenate #ElectSenateDems #WinTheMidterms #ElectionDay #VoteToday https://t.co/JoHhXnjB61"
