user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x58919137,FieldYates,2018-11-13T16:05:00Z,x1062375787704201216,17,3,"It's a Father-Son pod today. Just @MatthewBerryTMR &amp; I recapping MNF, waiver adds and more. Join us LIVE. https://t.co/iGWVDm5s2w"
x58919137,FieldYates,2018-11-13T16:35:00Z,x1062383338122555392,15,3,"The Father-Son brigade rolls along! Join Matty B. and I as we power through our pod LIVE. 
https://t.co/iGWVDm5s2w"
x58919137,FieldYates,2018-11-13T18:25:43Z,x1062411201714573313,11,1,"Recapping MNF, waiver wires and much more. @MatthewBerryTMR &amp; I in a duo pod. It’s up. https://t.co/RCKbEAESVt"
x58919137,FieldYates,2018-11-13T19:15:33Z,x1062423742943584256,72,27,"With Dustin Hopkins a bit banged up, the Redskins are working out kickers today, per source. While it’s not certain if they will add anyone this week, worth keeping an eye on."
x58919137,FieldYates,2018-11-13T19:56:26Z,x1062434028173832192,21,4,Need some roster reinforcements? The Week 11 @ESPNFantasy waiver wire is here to help. https://t.co/G37TuxQ0P1
x58919137,FieldYates,2018-11-13T21:02:23Z,x1062450627702337536,562,136,Source: the Patriots have officially activated second-round CB Duke Dawson from IR to the 53-man roster. The team has also released RB Kenjon Barner and LB Nicholas Grigsby.
x58919137,FieldYates,2018-11-13T21:35:18Z,x1062458909192044544,396,98,"Looking ahead to Le'Veon Bell's future, I keep coming back to one team as an ideal suitor: the Jets. https://t.co/GryObiTmxG"
x58919137,FieldYates,2018-11-13T21:46:36Z,x1062461755018883072,153,56,Source: the Raiders have released DE Kony Early. Brief stay in Oakland.
x58919137,FieldYates,2018-11-13T21:48:40Z,x1062462274949005312,111,59,"Five kickers worked out for Washington: Sam Ficken, Kai Forbath, Blair Walsh, Roberto Aguayo and Jon Brown. https://t.co/Sjc621LtRW"
x58919137,FieldYates,2018-11-13T23:18:26Z,x1062484864816046080,42,6,Dak Prescott has 20+ points in three of his past four games and a favorable Week 11 matchup. Streaming option? https://t.co/NfrlHLcWlT
x58919137,FieldYates,2018-11-14T00:38:40Z,x1062505055826444289,62,9,Get those waiver claims in. The Week 11 @ESPNFantasy column is here with the names you need to know. https://t.co/mi2o2D1pPw
x58919137,FieldYates,2018-11-14T13:55:56Z,x1062705696859480065,50,12,The ultimate wild card play in fantasy football this weekend? Lamar Jackson (if he starts). https://t.co/H82rsaX2na
x58919137,FieldYates,2018-11-14T14:19:07Z,x1062711528233861120,405,53,"Chiefs-Rams. Fantasy position ranks for 2018.
QB: Patrick Mahomes (1st), Jared Goff (3rd)
RB: Todd Gurley (1st), Kareem Hunt (5th)
WR: Tyreek Hill (2nd), Robert Woods (9th), Brandin Cooks (10th), Cooper Kupp (18th)
TE: Travis Kelce (2nd)
K: Harrison Butker (3rd)
D/ST: Rams (5th)"
x58919137,FieldYates,2018-11-14T15:12:16Z,x1062724904712368128,1509,276,"Percentage of carries gaining 10+ yards this season (minimum 100 rushes):
1, Melvin Gordon (19.2%)
2. Matt Breida (17.7%)
3. Philip Lindsay (16.4%)
4. Christian McCaffrey (16.3%)
5. Joe Mixon (14.7%)
6. James Conner (14.6%)
7. Ezekiel Elliott (14.3%0
8. Todd Gurley (14.1%)"
x58919137,FieldYates,2018-11-14T16:10:00Z,x1062739433382862849,8,4,"A ton of rankings talk, some news and more. @MikeClayNFL
&amp; I chat now. JOIN US! https://t.co/iGWVDm5s2w"
x58919137,FieldYates,2018-11-14T16:35:00Z,x1062745725325492225,13,5,"Continuing on with our rankings chatter: how confident should you bet in Dalvin Cook after the bye? Join us LIVE. 
https://t.co/iGWVDm5s2w"
x58919137,FieldYates,2018-11-14T17:03:27Z,x1062752885501583361,13,2,My reaction now that I'm heading towards the playoffs in my @IBMSports Fantasy Football League. What's your #FantasyFootballFace this week? #WinWithWatson #IBMPartner https://t.co/cMovlhZbUH
x58919137,FieldYates,2018-11-14T18:17:02Z,x1062771403777290240,15,5,Closing the books on Le’Veon and plenty of rankings chatter. Today’s pod is up.  https://t.co/3AgyNDSIca
x58919137,FieldYates,2018-11-14T18:23:30Z,x1062773031230193665,819,137,"By weighing in at 330 pounds or less today, Panthers DT Dontari Poe earns a $125,000 bonus. He has $500,000 available in weight incentives this season. #💰"
