user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x24903274,greggrosenthal,2018-11-05T07:59:03Z,x1059354391528919040,46,8,Often imitated. Occasionally duplicated. The Week 9 Recap Pod has all your answers: https://t.co/lnYR0ZhjFi https://t.co/h6svWi6IPY
x24903274,greggrosenthal,2018-11-05T19:40:12Z,x1059530842530242560,286,37,Sean Payton must be so damn happy he stayed in NOLA long enough for Alvin Kamara (and Michael Thomas) to come into his life.
x24903274,greggrosenthal,2018-11-06T02:39:54Z,x1059636464164601856,112,10,Malcolm Butler is bumming me out.
x24903274,greggrosenthal,2018-11-06T03:21:46Z,x1059646998813392896,535,71,No one picks up 8 yards on a third-and-16 screen better than the Cowboys.
x24903274,greggrosenthal,2018-11-06T04:52:38Z,x1059669864615309312,355,40,I’m surprised how surprised the Cowboys fans/writers/executives are about this loss.
x24903274,greggrosenthal,2018-11-06T15:13:01Z,x1059825991730683905,188,9,No better QB at shaking off sharks on a surfboard. https://t.co/zZtFfpKDHg
x24903274,greggrosenthal,2018-11-06T20:04:04Z,x1059899236056059904,106,18,"On this Election Day, it’s time to right a wrong voters made 20 years ago. @realshaunking https://t.co/IFNKGbQOaZ"
x24903274,greggrosenthal,2018-11-07T17:14:54Z,x1060219051727679489,93,15,Saints had one of the thinnest WR groups after No. 1 in the NFL.  Dez is worth a shot.
x24903274,greggrosenthal,2018-11-07T21:11:04Z,x1060278483455070208,11,2,This is the 2018 season in a nutshell. https://t.co/xT9jKhJ2jn
x24903274,greggrosenthal,2018-11-07T21:50:23Z,x1060288380573872129,420,85,Redskins games have not included a single lead change all season. This blows my mind.
x24903274,greggrosenthal,2018-11-08T19:31:16Z,x1060615755945791488,54,5,It’s amazing the Colts hit this Jags matchup with the far better running game and I doubt Fournette alone will change that.
x24903274,greggrosenthal,2018-11-08T21:49:00Z,x1060650418559246336,22,0,We are indeed back. Rate and review as a personal favor to my family.    https://t.co/lDd9baX6vR https://t.co/3UyDzkOA5n
x24903274,greggrosenthal,2018-11-09T03:07:13Z,x1060730498912120832,78,11,It’s a weird Panthers team when the offense is consistently better than the defense. Carolina was 14th defensively in DVOA before tonight.
x24903274,greggrosenthal,2018-11-09T03:41:41Z,x1060739173089402880,686,95,This game is no fluke. The Steelers have physically dominated five straight opponents.
x24903274,greggrosenthal,2018-11-10T07:47:22Z,x1061163390029127680,169,3,See you Tuesday https://t.co/Lssf6QeGll
x24903274,greggrosenthal,2018-11-10T16:39:23Z,x1061297276348358656,420,51,"Yup. But what jobs will be open? Wrote about futures for Teddy, Jameis, Tyrod, Tannehill and the rest of the 2019 QB market this week https://t.co/JlILZIsSMq https://t.co/5Lo2TTywfP"
x24903274,greggrosenthal,2018-11-11T18:42:33Z,x1061690661403951106,181,14,Redskins up 3-0. Game over.
x24903274,greggrosenthal,2018-11-11T19:24:00Z,x1061701093082578944,129,20,We can put this dusty trope away for the season https://t.co/DU0ea2NwP9
x24903274,greggrosenthal,2018-11-11T20:17:11Z,x1061714476167159808,116,39,The Bucs defense has given up 28 TDs in 31 red zone trips this season. That’s hard to do.
x24903274,greggrosenthal,2018-11-11T20:52:08Z,x1061723270255235072,456,74,"Now that Fitzmagic is over, the Bucs are just another 3-6 team losing games with a journeyman QB and big changes coming soon."
x24903274,greggrosenthal,2018-11-11T21:15:56Z,x1061729260379893760,58,3,One week away from history. Time to be great. Or lose meekly. https://t.co/UuJ6Y0RnG4
x24903274,greggrosenthal,2018-11-11T22:24:03Z,x1061746403750273024,111,10,I’d love to see a stat at how many drives Aaron Donald has personally ended this season because it feels like a ton.
x24903274,greggrosenthal,2018-11-11T22:45:26Z,x1061751784354459649,190,27,Michael Dickson is everything Seahawks Twitter promised in the preseason and more.
