user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x39215566,haralabob,2018-10-07T05:32:37Z,x1048808291516604417,170,25,"Wasn't just the guy in the red, Conor gets attacked first by a guy wearing black before the guy in red sucker punched him. 

https://t.co/ZWQMuKbYET"
x39215566,haralabob,2018-10-07T05:34:30Z,x1048808765032607744,15,1,Correct. https://t.co/GjHCVh4Dku
x39215566,haralabob,2018-10-07T05:39:08Z,x1048809933540450305,695,276,"Well at least he gave everyone a fair warning. 

https://t.co/VZfVkFL0qV https://t.co/RDak2YBIYI"
x39215566,haralabob,2018-10-09T18:01:29Z,x1049721525367013376,80,6,This is a welcome change. https://t.co/eiby8Z679l
x39215566,haralabob,2018-10-13T20:01:05Z,x1051201176228810760,125,12,Amazing. https://t.co/iohHQbNMS1
x39215566,haralabob,2018-10-17T23:52:01Z,x1052708842994192385,2506,181,Proper NBA setup. Converts to a theater with a projection screen coming down over the TVs https://t.co/BLmjpE2E4X
x39215566,haralabob,2018-10-17T23:58:12Z,x1052710399353663489,764,17,Correct it was a fun ride while it lasted. https://t.co/tEmbM8Xez5
x39215566,haralabob,2018-10-22T23:40:53Z,x1054517980162342912,76,10,"Man the game has changed a lot - https://t.co/MpEB9ggPo1

Someone needs to dub in Mike Breens ""Bang!"" every time one of these teams lines up another midrange 2 pointer."
x39215566,haralabob,2018-10-24T02:31:40Z,x1054923349913165824,252,11,"Huge fan of Prince, these are really cool. https://t.co/Qi5NTlCvzM"
x39215566,haralabob,2018-10-31T19:17:50Z,x1057713275381510144,210,8,"The Real Unicorn Coltrane would like to wish everyone a Happy Halloween. If you have a pic of your dog in costume, feel free to share. https://t.co/HPlMNaPscR"
x39215566,haralabob,2018-11-02T16:55:15Z,x1058402165688074242,183,38,"The Dallas Mavericks are hiring a Full Stack Developer to work in our new Quant Research and Development department. Apply here - 

https://t.co/aHGvp4epfX"
x39215566,haralabob,2018-11-05T22:12:51Z,x1059569257007271939,123,8,"The point is that you don't really know how fast a team is ""pushing it"" when you are using a pace # that combines both teams pace for a given game. https://t.co/XwJJFNE9oU"
x39215566,haralabob,2018-11-05T22:24:23Z,x1059572159008423939,238,18,"By using @bballbreakdown caveman style of Possession ""count"" GSW ranks 10th at 103.85
By using the actual time they use on offense they are ranked 1st at 11.90 seconds."
x39215566,haralabob,2018-11-05T22:27:02Z,x1059572825470701568,73,6,"But we are trying to measure how fast a team is playing, not how fast their opponents are also playing. Why not use the one # that only measures their pace? cmon guys this isn't that hard. https://t.co/Qbvs6WcjZ9"
x39215566,haralabob,2018-11-05T22:28:15Z,x1059573133512982530,283,11,"My point was if we are going to make sweeping statements like ""fast teams don't win"" we should at least try and use actual stats that capture how fast a team is playing not how fast a game was played by both teams."
x39215566,haralabob,2018-11-06T15:51:44Z,x1059835734100770816,31,3,LeBron rocking the Jonas Wood fire outfit. https://t.co/UGJVQG0o52
x39215566,haralabob,2018-11-07T18:57:24Z,x1060244847766818823,28,1,Anyone know where I can find something similar? https://t.co/LlneE7Nk3O
x39215566,haralabob,2018-11-12T20:25:07Z,x1062078859242291200,254,26,"Really cool but using FG% is kind of silly, they should use Points Per Shot or some other EV based #  like EFG% to account for the extra point you get on a 3PT shot. https://t.co/H8TAVXOcgK"
x39215566,haralabob,2018-11-12T20:30:06Z,x1062080112659783680,41,1,The color bar is but thats hard to see - the Number above the players is just straight FG%. Why not just have one number that accounts for both and do away with the red and green colored bar that you can barely see anyways? https://t.co/8oSdZHPsOh
x39215566,haralabob,2018-11-14T00:21:14Z,x1062500670702526464,86,10,How to Teach Artificial Intelligence Some Common Sense https://t.co/pPxi6NFk8b via @WIRED
x39215566,haralabob,2018-11-14T00:43:48Z,x1062506347948847105,106,3,NBA International League Pass used to be so stable over the years - this year I've found its barely usable unless you set the picture quality to 360 - anyone else noticing similar?
x39215566,haralabob,2018-11-14T01:49:02Z,x1062522764719017984,36,6,"https://t.co/Nm5b6j1Q2N

GG its over. https://t.co/28ukaAgcWW"
x39215566,haralabob,2018-11-16T20:32:02Z,x1063530153802899457,171,12,My worlds are colliding. The Notorious Tony G was at the Mavs Practice Facility shooting nothing but mid-rangers. https://t.co/agLmDtusgH
x39215566,haralabob,2018-11-16T21:05:02Z,x1063538457568518151,139,7,Pretty cool. Congrats @S10Bird https://t.co/AXzI2L632x
x39215566,haralabob,2018-11-18T00:04:06Z,x1063945908709179393,361,16,Big Night tonight. Red Panda is in the building.
