user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x117839957,hickforco,2017-03-27T19:13:00Z,x846439933669724160,37,3,"Reminiscing this wkend with my old high school catcher John Baird, retiring from Westtown School in West Chester PA https://t.co/Nj210qiwPE"
x117839957,hickforco,2017-03-27T19:15:44Z,x846440621476864000,26,1,Never too late for a last pitch... https://t.co/OvjSQjgMMj
x117839957,hickforco,2017-03-27T19:16:18Z,x846440762657177600,31,3,"Maybe a little low, but unhittable. https://t.co/WajhMi5qLo"
x117839957,hickforco,2017-03-31T21:39:27Z,x847926340493889541,54,21,"Incredible Megan Smith (former CTO for USA), welcomes 17 entrepreneurs from 7 continents to solve probs #GlobalGoals https://t.co/BwjQrh90p5"
x117839957,hickforco,2017-04-05T17:40:19Z,x849678098505244673,13,0,"Great touring the works of a few of the West's finest artists-Mark Sink, Chuck Forsman, &amp; Willy Sutton @ the Capitol this morning #giddyup https://t.co/pc3OFhhWjV"
x117839957,hickforco,2017-04-06T02:31:48Z,x849811848828297217,31,2,Jeff Bezos showing off Blue Origin's reusable booster rocket.  #Giddyup #33SS https://t.co/GqjM3OWejA
x117839957,hickforco,2017-04-07T03:15:04Z,x850185124532506627,185,27,Peter Sagal and his merry band taping @waitwait in Denver's Buell Theater to wild crowd #GiddyUp https://t.co/xPKkG69FlO
x117839957,hickforco,2017-04-09T00:17:33Z,x850865229638451200,63,6,Hard to work all year to get to Frozen Four- go go go Jim Montgomery's Univ of Denver Pioneers- bring home that trophy! #GiddyUp
x117839957,hickforco,2017-04-09T03:24:29Z,x850912273644359680,178,39,DU Pioneer hockey team National Champs! MN-Duluth fought all the way but end never in doubt (despite too much anxiety) #whatagame #GiddyUp
x117839957,hickforco,2017-04-21T20:17:53Z,x855515958806446084,14,4,takenotecolo's photo https://t.co/g7xBpzaFY7. Honored to have @OneRepublic joining us for #takenotetheconcert on May 4!
x117839957,hickforco,2017-04-23T22:14:19Z,x856270032774373376,117,9,Robin receiving a secret stock tip Friday night from Warren Buffett-the funniest-and greatest-oracle Omaha ever had! https://t.co/TT9rq30uxJ
x117839957,hickforco,2017-04-29T03:04:24Z,x858154976580820993,51,4,Mavis Staples rocks Denver's Paramount - still killin' it at 77 years young!! #Etown #musiclegend https://t.co/iA4G8Iqcnr
x117839957,hickforco,2017-05-02T05:35:49Z,x859280244116570112,28,6,We have lost one of our best- Ray Kogovsek spent more than 20 years in public service. 75 years never seemed so young- we miss him already!
x117839957,hickforco,2017-05-05T03:54:56Z,x860342018702102528,61,16,Isaac (@thefray) rocks with Fairview HS to kick off @TakeNotecolo every CO kid  has access to instrument &amp; teacher! https://t.co/9C1aXEZiJz
x117839957,hickforco,2017-05-11T03:07:35Z,x862504430389706753,99,10,Couldn't imagine a better team to close out the legislative session with! This team puts the giddy in #GiddyUp #teamhick #SineDie #coleg https://t.co/Pv2vuSKyDI
x117839957,hickforco,2017-05-12T17:16:04Z,x863080345268215809,25,4,"After grad ceremony @csu, we loved ""Rainbow"" brunch- Steve &amp; Lin Jones met here 42 years, now own, still IN KITCHEN! https://t.co/r22P39jGRP"
x117839957,hickforco,2017-05-15T02:55:22Z,x863950906449993728,75,8,"Old Crows play ALL Dylan's BlondeOnBlonde- 50 year bday- in order, first to last. Dylan has never sounded better! https://t.co/nyOhgNCy62"
x117839957,hickforco,2017-05-17T12:37:51Z,x864822270136659969,0,0,"@crowmedicine from backstage, @mothersday, @ParamountDenver, I still can't carry a tune: https://t.co/medI5Egpge. https://t.co/2ECJpGvodY"
x117839957,hickforco,2017-05-22T00:05:31Z,x866444877457797120,37,8,"Rodney Wood, founder-director of Pueblo, CO's @artocade, imagining the fun and madness this Sept 8-10th. #ArtCars https://t.co/B1n90GOvdg"
x117839957,hickforco,2017-05-25T05:53:54Z,x867619717325795328,87,11,Some of the CO Warriors competing at @AmericanNinja in front of Denver's City Hall. They make us proud! #warriors https://t.co/z0ix3u6E7w
x117839957,hickforco,2017-06-24T18:15:13Z,x878677908142702592,39,2,"Mad Jack Hansell and the boys at Mad Jack's Brewery, celebrating Bailey Days in Bailey CO(1 fine IPA!) #Baileydays https://t.co/oVq2ZszGCP"
x117839957,hickforco,2017-06-27T04:10:31Z,x879552496112467969,661,107,"Arriving midnight at Marriott, with flag and monument outside to inspire us to reject these sorry health care bills! https://t.co/fnAbp4WgxT"
x117839957,hickforco,2017-07-04T16:30:49Z,x882275514794164224,88,8,"Robin n I atop Keith Bath's '68 John Deere diesel, starting the Brush, CO 4th of July parade. The spirit of America! https://t.co/Sda6qwZG6j"
x117839957,hickforco,2017-07-10T04:02:14Z,x884261455503044608,2,1,@avettbrothers finish 3 nites @RedRocksCO where they played 100 different songs- first time in Red Rocks history! https://t.co/k0olwwm9En
x117839957,hickforco,2017-07-15T18:37:47Z,x886293732852731904,41,12,"Gov Sandoval, new Chair of @NatlGovsAssoc, chats w/ @elonmusk about magic of invention #WeTheStates #GiddyUp https://t.co/XfiFShk2vW"
x117839957,hickforco,2017-07-19T18:21:57Z,x887739301001408517,56,6,Digesting after scrum lunch w/ Ethel Kennedy- sharper than ever- and Bob Nixon (@MissionBlue) in Hyannisport https://t.co/Pi8LgNQqyo
x117839957,hickforco,2017-07-25T17:04:20Z,x889894097321955329,187,43,Wow-can always count on CO to lead the way on enviro stewardship but this raises the bar to a new level! Great job @VailResorts #epicpromise https://t.co/4XEdVz5XA9
x117839957,hickforco,2017-08-09T16:19:07Z,x895318533642477569,3,0,"@GovernorMarkell finishes cross country bike ride in Rehoboth; 50 days, OR to DE, avg 80mi/day #grit #GiddyUp  https://t.co/tQy7SDeFCJ"
x117839957,hickforco,2017-08-11T18:03:48Z,x896069653054709762,94,25,"Celebrating 125 yrs @BrownPalace w/ sword and bubbly, older than @_RitzParis and NYC @ThePlazaHotel #BrownPalace125 https://t.co/tR1F8PDfnY"
x117839957,hickforco,2017-08-11T23:36:08Z,x896153291062628353,236,92,https://t.co/2VLK78mXhe  Outrageous- simply outrageous! CO medicaid teen pregnancy rates dropped from 76.7/1000 in 2009 to 26.5/1000 in 2015
x117839957,hickforco,2017-08-13T00:17:43Z,x896526140096917504,711,136,Heartbroken by the violence and division in Charlottesville. Hatred has no place in our society- now is a time to come together.
x117839957,hickforco,2017-08-25T20:52:05Z,x901185432708317184,190,48,1/3 Odd &amp; funny that people expect a political marriage when 2 people from different parties work together…
x117839957,hickforco,2017-08-27T01:49:38Z,x901622702158393344,55,5,#1son Teddy chills w/ TJ and Kent Miller (TJ is the funny one) at 15th Morgan Adams @ConcoursDates for kids cancer https://t.co/4RzgNFzU5q
x117839957,hickforco,2017-09-10T04:05:42Z,x906730375933595649,157,28,Home-coming for @RyanTedder + @OneRepublic @FiddlersGreenCO as he slays piano version of Halo he wrote for Beyonce https://t.co/7ISbCloU3O
x117839957,hickforco,2017-09-17T04:36:39Z,x909274880201285632,81,9,"Navy Seal Jack Bocock, me, and #stevenrinella (""the Meateater"") brings home Gov's One Shot Antelope Hunt trophy to CO https://t.co/2pLRBGYWaH"
x117839957,hickforco,2017-09-22T03:20:36Z,x911067680865607680,65,9,"At ""Bones"" with @rossbaird loving his new book The Innovation Blind Spot, about entrepreneurs and power of Topofilia https://t.co/uF104X4xkS"
x117839957,hickforco,2017-09-25T03:45:09Z,x912161022739341312,412,11,Father and son on the Blue River today- the Aspens blazing in the sun https://t.co/dS9rrv7eds
