user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x15321506,jeskeets,2018-11-14T21:12:59Z,x1062815681941512205,83,3,"Sick 🎧, @michaelgrange. https://t.co/T9uD8K0Ooe"
x15321506,jeskeets,2018-11-15T02:42:46Z,x1062898675733721088,9,0,"On Wed.'s ep. of #TheStarters:

🗯️ Is Durant's free agency negatively impacting Warriors?
🗯️ Is DeAndre Jordan a selfish player?
🗯️ Hayward, Crossfire + @JaredSGreenberg in Orlando
 
https://t.co/8avJyiaS7p"
x15321506,jeskeets,2018-11-15T03:01:42Z,x1062903438428667904,274,21,#WeTheNorth https://t.co/kavrbiF9Rt
x15321506,jeskeets,2018-11-15T04:38:01Z,x1062927676686635013,111,4,"Blazers gotta try Hack-a-Bron. 

I’m only half-joking."
x15321506,jeskeets,2018-11-15T14:04:28Z,x1063070228647723008,54,7,Passes Wilt on the @NBA's all-time scoring list AND this accolade! The @Lakers @KingJames wins #WhoaBoy of the Night! #LakeShow #TheStarters https://t.co/ITkRts7VVa
x15321506,jeskeets,2018-11-15T14:20:46Z,x1063074330790297600,8,0,"Ghostface @teamziller cuttin' deep this mornin': ""When the Raptors lose, they lose in style."""
x15321506,jeskeets,2018-11-15T14:35:21Z,x1063078000755924997,34,0,"Cash. 💣🏀☔️

📸 :: @treykerby https://t.co/ZIkhJ1VW8j"
x15321506,jeskeets,2018-11-15T14:39:57Z,x1063079159977648128,7,0,"New Drop tomorrow, so get your NBA-ish questions and comments in today. 👊

📧 :: TheStarters@NBA.com
#⃣ :: #TheStarters"
x15321506,jeskeets,2018-11-15T15:33:45Z,x1063092699920777217,17,3,"""That's a recurring theme from the last decade — hoping to get Nene back soon."" 
-- @WindhorstESPN"
x15321506,jeskeets,2018-11-15T15:36:27Z,x1063093379762974721,49,7,Ya think? https://t.co/vV6hhcvPX7
x15321506,jeskeets,2018-11-15T15:41:36Z,x1063094674452295680,673,70,"I'm sittin' on the dock in L.A.
Thinkin' of Dray, and what he say https://t.co/mBD8k4QGoR"
x15321506,jeskeets,2018-11-15T20:15:19Z,x1063163558178025473,16,3,"""… for the first time this season it felt like James was playing with the kind of swagger that has always made it impossible to imagine him not leading any team he's on to the NBA Finals.""
 
Truth from @ToLey88 on LeBron last night vs. the Blazers.

https://t.co/vmupZhZIwu"
x15321506,jeskeets,2018-11-15T20:22:51Z,x1063165453957324800,47,5,"""Psst. Hey, kid. You wanna see a @SacramentoKings Greg Kite?""

@LeighEllis will open an old pack of @NBA cards today at 5:15 p.m. ET. 

Join us live at: https://t.co/XsS3FyKkdF https://t.co/dyMTrDHmgY"
x15321506,jeskeets,2018-11-15T21:25:57Z,x1063181334791647232,2,0,"Get that ‘gram, girl! #TBT 🌲🌊🇨🇦 @ Jasper National Park https://t.co/T6gZNkmakO"
x15321506,jeskeets,2018-11-15T21:30:07Z,x1063182382667309056,7,1,Tonight. #TheStarters https://t.co/ZSvl1hGGoD
x15321506,jeskeets,2018-11-15T21:40:05Z,x1063184889221136389,17,0,Wow. 🇦🇺 https://t.co/230wU454ge
x15321506,jeskeets,2018-11-16T00:04:51Z,x1063221322967330816,14,0,🚫🥬 #TheDrop https://t.co/lx116AJtJX
x15321506,jeskeets,2018-11-16T00:13:19Z,x1063223453476691968,13,0,"On Thu.'s ep. of #TheStarters:

🗯️ LeBron passes Wilt
🗯️ Jimmy Butler's 76ers debut
🗯️ Draymond addresses KD verbal exchange, Dwane Casey's revenge, Meme Team + more!

https://t.co/CA4XmRZ6I6"
x15321506,jeskeets,2018-11-16T01:26:15Z,x1063241806257823744,210,30,"""The Warriors have some tough financial decisions to make soon.""

Oh, totally.

Do I keep THIS future Hall of Famer, and pair him with my OTHER two future Hall of Famers, or do I just keep THIS future Hall of Famer instead?

Gotta feel for them. https://t.co/CBVu8hRFSf"
x15321506,jeskeets,2018-11-16T02:58:19Z,x1063264977669287936,29,7,Gary. https://t.co/gWnpBlBlw2
x15321506,jeskeets,2018-11-16T03:15:27Z,x1063269286775570437,446,21,How do you feel about someone wearing a jersey to a game that isn't for either team playing? https://t.co/cCcARVyCcO
x15321506,jeskeets,2018-11-16T03:18:26Z,x1063270039338606593,27,1,Hmmm. Possible loophole. https://t.co/ruzP0uaggW
x15321506,jeskeets,2018-11-16T03:31:24Z,x1063273301672435713,7,0,Mike Modano? https://t.co/bqO456a6Yj
x15321506,jeskeets,2018-11-16T04:14:20Z,x1063284105188687877,49,2,"I smile every time I see @mikescott's emoji tattoos. 

If you had to get an emoji tat, which one you going with? 

Me? 💥 https://t.co/z0BonkWqct"
x15321506,jeskeets,2018-11-16T04:26:29Z,x1063287163821932549,58,5,"Look, I'll be honest, I'm clicking on this. That pic/headline combo got me mad intrigued. https://t.co/qWtfUWP7N5"
x15321506,jeskeets,2018-11-16T05:04:04Z,x1063296623978135553,57,9,"Remember when Derozan nearly pulled off the 360 poster dunk?

https://t.co/AWMxsxXMlV"
x15321506,jeskeets,2018-11-16T05:08:10Z,x1063297654464147456,24,0,The Hammer! https://t.co/ngKGf1RCuT
x15321506,jeskeets,2018-11-16T05:29:07Z,x1063302927513804800,34,2,"Yo! This is so damn dope! I used to run with a few of the Adobros up in Toronto — Sam, Aries, Hawaii. Great stuff, @tempojournal! 🇵🇭 🇨🇦

https://t.co/tdfdNuIcyJ https://t.co/yun02Qz7SJ"
x15321506,jeskeets,2018-11-16T13:48:03Z,x1063428489053904896,35,2,🌪️🌪️🌪️ The @spurs @DeMar_DeRozan wins Thursday's #WhoaBoy of the Night! #GoSpursGo #TheStarters https://t.co/ZN9txc1IG2
x15321506,jeskeets,2018-11-16T13:51:59Z,x1063429474887364608,46,1,Happy Drop Day! #TheStarters https://t.co/KqDztn8uk1
x15321506,jeskeets,2018-11-16T14:26:42Z,x1063438215003205632,89,21,That tweet above this tho. https://t.co/Bj6nbmM4GB
x15321506,jeskeets,2018-11-16T18:18:06Z,x1063496449260994566,15,3,"🚨 NEW DROP! 🚨

We discuss the Draymond-Durant dynamic, Melo's next move, Fultz trade ideas, Jimmy, LeBron, @LeighEllis juicing, The Mega Powers + more.

🔊: https://t.co/qYoKcWjOpF                              
🍎: https://t.co/2F878BLY1t        
✳️: https://t.co/JRqWAVYiB5 https://t.co/Bz3G7oD3pD"
x15321506,jeskeets,2018-11-16T19:49:18Z,x1063519397074087937,4,0,Hit the thread and vote! https://t.co/7B0fteMZ4Y
x15321506,jeskeets,2018-11-16T20:35:27Z,x1063531012544741377,57,3,"""When he goes out there and does the things that he does, how effortless he does it, he only weighs 90 pounds soaking wet. It's amazing to see."" 
-- DeRozan on Lou Williams"
x15321506,jeskeets,2018-11-16T21:02:09Z,x1063537732264304642,11,1,Tonight. #TheStarters https://t.co/DIjmJYhcDt
x15321506,jeskeets,2018-11-16T22:07:46Z,x1063554243750174721,19,0,🤔🤔🤔🤔🤔 https://t.co/cXO9cM3JJH
x15321506,jeskeets,2018-11-17T00:11:26Z,x1063585367071297536,12,0,"On Fri.'s ep. of #TheStarters:

🗯️ Rockets still Warriors biggest threat?
🗯️ More likely to make the playoffs: Clippers or Spurs?
🗯️ Jersey etiquette, Worst of the Week, Top 10 Plays + more!

https://t.co/JtaFIIWpmW"
x15321506,jeskeets,2018-11-17T02:49:55Z,x1063625251580465152,452,64,"Would've liked the W, but I ain't mad with the Raptors fight tonight. Officiating was a mess, Kyrie was cookin', and the Celtics desperately needed a quality win. Can't wait for the inevitable playoff series. #WeTheNorth"
x15321506,jeskeets,2018-11-17T03:05:29Z,x1063629165583319040,210,19,We haven't had a #wedgie in two weeks. The NBA is broken.
x15321506,jeskeets,2018-11-17T13:39:55Z,x1063788827108671489,47,1,😬 https://t.co/ydu5aQtqUM
x15321506,jeskeets,2018-11-17T13:54:59Z,x1063792621162774528,25,2,Kyrie or AD? AD or Kyrie? **flips coin** @PelicansNBA @AntDavis23 wins Friday's #WhoaBoy of the Night! #doitBIG #TheStarters https://t.co/lkZh6czpy1
x15321506,jeskeets,2018-11-17T14:53:44Z,x1063807406113767424,295,16,"""Why is Hannibal Lecter scary?""

@netw3rk: ""He resuses to acknowledge the reality of his surrounding. He's in prison, and yet, he's in complete command …"" 

Bingo. 

Great first ep. @SheaSerrano! https://t.co/sFVvD777IV"
