user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x18061669,lisamurkowski,2018-10-25T21:23:35Z,x1055570593507098625,30,4,I’m always thankful for the chance to sit down with city leaders to talk through some of the work I’m doing in D.C. and to get updates on the most pressing needs they’re seeing at a local level. https://t.co/M63mND6Zvz
x18061669,lisamurkowski,2018-10-26T00:50:15Z,x1055622601865867265,36,7,"Lowell Creek tunnel is a 2,070-foot-long passage that helps protect the City of Seward from damaging floodwaters by diverting the water through Bear Mountain to a waterfall south of the city. Unfortunately, the tunnel is in need of major repair. https://t.co/jlNnsBdWlL"
x18061669,lisamurkowski,2018-10-26T21:18:20Z,x1055931658384367618,100,14,"Yesterday I visited the students and staff of Kuinerrarmiut Elitnaurvik School in Quinhagak. After hearing from their Principal, Peggie Price, I spoke to the student body on my work as a Senator and asked the students for feedback on what knowledge I should take back w/ me to DC https://t.co/kwcVprLEA0"
x18061669,lisamurkowski,2018-10-27T01:04:27Z,x1055988565044273153,77,19,One of the things I heard over and over during my visit to Quinagak was the need for a new clinic. I had a chance to stop in and see the existing facility which sees about 25 patients a day through the care of 5 community health aids. https://t.co/uqwc5Mu9Ss
x18061669,lisamurkowski,2018-10-27T22:27:15Z,x1056311391093612544,276,48,"Alaska has alarmingly high rates of sexual assault &amp; violence against women, particularly against Alaska Native women. Thankfully the Tundra Women’s Coalition (TWC) is working to empower women &amp; provide a safe environment for women &amp; children through their new shelter in Bethel. https://t.co/S0n7xavMb4"
x18061669,lisamurkowski,2018-10-28T03:35:56Z,x1056389074401976320,50,12,"In 2009, archeologists from the University of Aberdeen and other international institutions alongside village residents, including children, began excavating artifacts from an ancient site called Nunalleq near the village of Quinhagak. https://t.co/7jRNhI3lMH"
x18061669,lisamurkowski,2018-10-28T19:21:32Z,x1056627040395288576,95,12,Proud to attend a Congressional Gold Medal ceremony in Anchorage this weekend for five Filipino veterans who served in WWII — a long overdue recognition for their service in fighting for our country. https://t.co/cuOmNYop4C
x18061669,lisamurkowski,2018-10-29T00:45:05Z,x1056708466012614657,24,8,Yuut Elitnaurviat in Bethel offers a range of training programs aimed at preparing the people of the Yukon-Kuskokwim Delta to take on local well-paying jobs. https://t.co/jvXaruQ4Nc
x18061669,lisamurkowski,2018-10-29T22:18:39Z,x1057034000286408704,1173,156,What happened in Pittsburgh was horrific and senseless. My prayers go out to all the victims and their families. We must work to eradicate hate in our society.
x18061669,lisamurkowski,2018-10-30T00:55:25Z,x1057073455726649345,66,8,"Today I visited w/ students at Hermon Hutchens Elementary in Valdez. I loved touring the classrooms where students showed me some of their work— from designing bridges, to working on biographies about famous Alaskans, and their Crooked Creek Chum Salmon Incubation Project. https://t.co/4kiwzZEGqd"
x18061669,lisamurkowski,2018-10-30T04:13:27Z,x1057123291159130112,53,10,"I had a tour of the Valdez Fisheries Development Association Solomon Gulch Hatchery, which has a capacity for more than 250 million pink salmon eggs, along with a 95% high survival rate at the hatchery. https://t.co/iXUjVITp4I"
x18061669,lisamurkowski,2018-10-30T18:12:34Z,x1057334461203918852,22,7,"In Valdez I had an up-close look at the new Ship Escort/Response Vessel System (SERVS) fleet. I went onboard a 146 ft long, 52 ft wide @EdisonChouestAK escort tug --one of the new tugs to assist tankers in the safe navigation through Prince William Sound. https://t.co/3K8gjqDi0y"
x18061669,lisamurkowski,2018-10-30T20:46:55Z,x1057373304539889664,27,5,"I visited the @AlyeskaPipeline Terminal in Valdez, the end of the line for the 800-mile-long Trans Alaska Pipeline System. I learned about new methods and tools Alyeska is utilizing to conduct pipe inspections, both externally &amp; internally, thanks to technology advances. https://t.co/wfuks7pGB5"
x18061669,lisamurkowski,2018-10-30T23:44:15Z,x1057417933863841792,53,8,Congratulations to Alaska Native Cultural Charter School teacher Danielle Riha on being named the 2019 Alaska Teacher of the Year and to Jacob Bera on being named the 2019 Alternate Teacher of the Year. https://t.co/g5s9giZNgM
x18061669,lisamurkowski,2018-10-31T00:10:12Z,x1057424462700638208,85,11,Fresh snow and sunshine make for a gorgeous day in the Mat-Su Valley. https://t.co/bWMUcB11td
x18061669,lisamurkowski,2018-10-31T19:01:10Z,x1057709078200401925,15,8,It was wonderful to visit the CCS Early Learning Head Start and Early Head Start facilities in Wasilla yesterday and see how the dedicated caregivers and educators are making such a positive impact in the lives of these young Alaskans and their parents. https://t.co/xGKzPwlhlV
x18061669,lisamurkowski,2018-10-31T20:12:17Z,x1057726976432078848,95,7,"#HappyHalloween from Alaska! My son Nic might be in his 20s, but as a proud mom that doesn't stop me from wearing a pumpkin necklace he made me in Elementary School. https://t.co/o2ZVWTb3Sr"
x18061669,lisamurkowski,2018-11-01T00:51:31Z,x1057797248774365185,72,17,"Throughout the month of October, designated as Domestic Violence Awareness month, I’ve visited facilities across Alaska that are providing safe environments for victims of domestic violence and sexual assault including TWC in Bethel, a shelter in Valdez, and AWAIC in Anchorage. https://t.co/eH29WslsSI"
x18061669,lisamurkowski,2018-11-01T19:48:31Z,x1058083382746206208,11,3,"I had a great meeting with the Mat-Su Borough recently to get an update on how they are addressing cyber security, after receiving a cyber-attack within Borough computers three months ago. https://t.co/OEQj7qI8io"
x18061669,lisamurkowski,2018-11-01T21:21:08Z,x1058106689411403776,26,4,"Yesterday I spoke at the Emerging Technology and Cybersecurity Summit in Anchorage.  This summit included a large group of Alaskan leaders and an impressive line-up of speakers, including folks from National Labs across the nation. https://t.co/k3mJ5qdjfY"
x18061669,lisamurkowski,2018-11-02T03:22:29Z,x1058197626871410688,112,16,"Thankful for the opportunity to meet and thank Sandy and Ernie Masterfield, who have maintained for over 20 years the office building where my Wasilla district office is currently located. Sandy and Ernie have unbelievable energy- two inspiring examples of living well! https://t.co/I68HiKCvce"
x18061669,lisamurkowski,2018-11-02T21:23:41Z,x1058469720008130565,23,4,Spoke to the Palmer/Wasilla/Houston joint Chamber about the prospect of our economy. We're on pace for the strongest growth in 13 years- from progress in helping our resource economy come back in a robust way to passing tax reform to help lower personal taxes &amp; business taxes. https://t.co/0jS0f8atdi
x18061669,lisamurkowski,2018-11-02T23:23:49Z,x1058499952429752320,80,17,"Yesterday I spoke at the Stanford Global Energy Forum on the future of energy, and the importance of innovation and energy policy that moves us toward cleaner, reliable, affordable energy. https://t.co/XOMoPwRmq5"
