user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x110445334,megynkelly,2018-10-02T00:49:45Z,x1046925165693624320,20163,5943,"Due process is not misogynistic. It happens to be the bedrock of our legal system. Ms. Swetnick was just on NBC changing her story dramatically from her sworn declaration. When an accuser has credibility issues, the A. is not to shame those who recognize it. https://t.co/FpiAigEXWn"
x110445334,megynkelly,2018-10-02T00:57:59Z,x1046927238518595584,1416,182,"I knew I might not be. But my company’s attnys examined the evidence, which in my case included contemporaneous journal entries (which I gave), consultation w/an attny, a report to a supervisor, stmts to friends, and a slew of other women w/highly credible allegations. https://t.co/EAyU2klMtp"
x110445334,megynkelly,2018-10-02T01:09:49Z,x1046930219435618304,26958,6765,"Not every victim will have that kind of record, which is fine, but the notion that *every* woman must be believed is absurd. Just ask the 3 Duke lax players who were falsely accused of rape by a woman who virtually all of the media believed but who made the whole thing up."
x110445334,megynkelly,2018-10-02T15:33:33Z,x1047147585004171264,2336,258,"I will defend due process to my dying day. But as I said on the air yesterday, if they can prove Kavanaugh lied under oath - a felony - it’s disqualifying. Period. https://t.co/X95DWDYihs"
x110445334,megynkelly,2018-10-02T20:50:42Z,x1047227397311885312,682,77,This is so touching and real and raw. Our veterans go through too much silent suffering. Jason came on our show a few months ago and wowed us all. JK - we’ll be rooting for you. You are not alone.  ⁦@JasonKander https://t.co/TVLCZNR7yY
x110445334,megynkelly,2018-10-03T12:31:28Z,x1047464149398294528,478,106,Sen. Flake not troubled by FBI’s decision not to interview Ford or Kavanaugh. https://t.co/rsebJ0rCMK
x110445334,megynkelly,2018-10-04T01:00:46Z,x1047652716636528641,179,17,"This is funny @dougbrunt Made me lol. Megyn Kelly, Douglas Brunt Play 'The Not-So-Newly Married Game’: Watch https://t.co/c0QGWl3gar"
x110445334,megynkelly,2018-10-04T11:54:41Z,x1047817279755436037,227,23,This is hysterical. We are LOL here in the hair/makeup@room. https://t.co/oUdjD3dnAN
x110445334,megynkelly,2018-10-04T20:35:13Z,x1047948274517381120,3304,330,And classy too. https://t.co/W3vGZq658Y
x110445334,megynkelly,2018-10-04T23:25:31Z,x1047991132863512576,708,34,My beloved nana (1915-2016) said it was the garage door opener. https://t.co/b1zuMQUT1i
