user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x101566422,michaelsmith,2018-03-04T19:14:02Z,x970376842480939052,0,0,@CapnShep @Shizzlacher now see aquemeni at 4 stands out to me. but it's cool. thats how rankings work everything cant be 1 lol
x101566422,michaelsmith,2018-03-04T22:46:38Z,x970430344846553088,0,0,@CapnShep @Shizzlacher exactly
x101566422,michaelsmith,2018-03-07T19:25:39Z,x971466929171988480,528,108,just what Philly needed dline help lol Eagles are the not effin around crew I see
x101566422,michaelsmith,2018-07-09T20:30:26Z,x1016419326910484480,641,48,"Getting back on the horse, and they tell me it'll be just like riding a bike. 🙏🏽 (📸: @jeffesquire) @ Washington, District of Columbia https://t.co/pVboq8V5VA"
x101566422,michaelsmith,2018-07-11T21:10:20Z,x1017154145189580801,218,27,😂 https://t.co/gW56ZIPZG8
x101566422,michaelsmith,2018-07-24T22:12:21Z,x1021880792346185730,127,8,"I'm definitely ""The Other"" and proudly so, my friend! https://t.co/XXzU9YCt6m"
x101566422,michaelsmith,2018-08-14T13:17:25Z,x1029356317243269120,84,4,"Asante Sana, Kenya! 🇰🇪 🙏🏽 @metowe https://t.co/SBVRDLtvaX"
x101566422,michaelsmith,2018-08-24T02:04:10Z,x1032810769702776832,53,4,A few leftover favorites from Kenya 🇰🇪 for #tbt already ready to go back! @metowe https://t.co/qtpQe8fA6l
x101566422,michaelsmith,2018-08-24T03:07:05Z,x1032826603699687425,464,14,My pops introduced me to baseball as a boy watching the @cubs on WGN. Took my guy out to his first ballgame tonight. @colehamels with the CG. Uncle @jadande with the assist. #flythew… https://t.co/J0JwkcqxlL
x101566422,michaelsmith,2018-09-13T17:34:43Z,x1040292706206003202,231,12,"really enjoyed this. preciate it, Bo https://t.co/a3iqIEawn3"
x101566422,michaelsmith,2018-09-17T20:04:48Z,x1041780027883438080,34,1,Si. @ Clevelander https://t.co/OAtYp5BuJt
x101566422,michaelsmith,2018-09-17T20:22:55Z,x1041784586966102017,211,46,of course https://t.co/TmTdlNXplC
x101566422,michaelsmith,2018-09-17T20:32:44Z,x1041787056668766208,59,6,nope. i love it. but if i'm the browns i take less from somebody else or cut him first lol https://t.co/rgrZ18LaM3
x101566422,michaelsmith,2018-09-17T20:41:44Z,x1041789320598827008,144,4,🤞🏽 https://t.co/ZeoVpdJJTf
x101566422,michaelsmith,2018-09-17T20:43:52Z,x1041789860237987841,276,5,"one job, right? https://t.co/WEPBcJ0Gar"
x101566422,michaelsmith,2018-09-17T21:04:48Z,x1041795125008105472,172,11,i went to bed last night telling myself not to respond to anything Papi does ... and then let them lull me to sleep https://t.co/M98nQ8Ho2q
x101566422,michaelsmith,2018-09-17T21:06:53Z,x1041795651909103618,466,42,🤣 done! https://t.co/Bl9Jjs6eoO
x101566422,michaelsmith,2018-09-18T15:15:59Z,x1042069732667613185,71,0,totally https://t.co/0MWoLqCFXA
x101566422,michaelsmith,2018-09-18T21:06:08Z,x1042157849797902343,177,16,show was over that didnt count! #itwassupposedtobeanexhibition https://t.co/0u3F4KI5rs
x101566422,michaelsmith,2018-09-19T21:37:25Z,x1042528110615437313,183,10,🤣 https://t.co/sWCfE7wUA7
x101566422,michaelsmith,2018-09-21T21:03:52Z,x1043244443099430913,587,35,you guys are the best 💯 https://t.co/BcotXtKv6B
x101566422,michaelsmith,2018-09-21T21:05:04Z,x1043244745294839808,65,5,of course except no socks today too hot for that on South Beach 😉 https://t.co/JHT9fw886y
x101566422,michaelsmith,2018-09-22T02:28:17Z,x1043326085549707264,495,23,🙏🏾 thanks for letting me kick it haven't had that much fun in a minute https://t.co/DuZdSkulAI
x101566422,michaelsmith,2018-10-23T12:09:59Z,x1054706497643560960,204,15,Incredibly proud of @AroundtheHorn @TonyReali. Love how ATH never stops growing. Honored to have played a small part in the show. Congrats on the new look and can't wait to see it! https://t.co/5ssbudg52H
x101566422,michaelsmith,2018-10-25T19:25:20Z,x1055540833494147072,79,26,"Join me this Monday, October 29 on the @MBK_Alliance Online Town Hall for a conversation about their work to help build safe and supportive communities for boys and young men of color. Register today!"
x101566422,michaelsmith,2018-10-29T16:01:40Z,x1056939130347761666,43,6,Honored to take part in today's @MBK_Alliance online town hall. Join us at 3 ET for a discussion about creating safe and supportive spaces for boys and young men of color. https://t.co/SeI11JE4ug
x101566422,michaelsmith,2018-10-30T15:00:53Z,x1057286220336775173,36,3,🙏🏾 https://t.co/Y8HeQavGiR
x101566422,michaelsmith,2018-11-02T03:20:57Z,x1058197240660013057,115,9,"So this happened 🤣🎯 @ Thousand Oaks, California https://t.co/Q7UgRjCbKU"
x101566422,michaelsmith,2018-11-05T03:35:06Z,x1059287967339110401,154,5,Great to see you JD and THANK YOU 🙏🏾 https://t.co/B1Stmev3cq
x101566422,michaelsmith,2018-11-05T04:26:44Z,x1059300962450399232,24,0,"Game Day, Part Deaux. Home teams improve to 1-1, while we remain undefeated 💯 Many thanks to the saints @georgeatallah @benjaminswatson @marshallfaulk #MikeandMase #whataweekend… https://t.co/jP784f5a7U"
x101566422,michaelsmith,2018-11-06T16:30:05Z,x1059845385525645312,492,32,✊🏾 https://t.co/4k5KMYxEso
x101566422,michaelsmith,2018-11-15T14:50:18Z,x1063081766561427456,34,5,Congratulations Boston for being selected as part of the #MBKCompetition to accelerate impact for boys and young men of color. Thrilled to see @MBK_Alliance will be working deeply with communities to build lasting change for our youth in greatest need. #WeAreMBK https://t.co/Ymy1OOJTLl
