user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x81411085,outsidethenba,2018-11-09T18:41:46Z,x1060965689631084549,4,2,"-sauce!
-the blazers are fun
-lou and harrell had a little disagreement here https://t.co/NcWH7RSegk"
x81411085,outsidethenba,2018-11-09T19:47:11Z,x1060982150533660673,8,2,this is a dork stat but the clippers' bench (55.6 ppg) is scoring almost as many points as their starters (59.5 ppg) ... never seen anything even close to that before
x81411085,outsidethenba,2018-11-10T19:11:02Z,x1061335441557913600,37,1,aw man https://t.co/3O8VvHAu4c
x81411085,outsidethenba,2018-11-10T21:33:29Z,x1061371290550984704,8,1,DANNY https://t.co/CSicXCSpjd
x81411085,outsidethenba,2018-11-10T21:38:08Z,x1061372459973337088,4,2,follow @duckthecat everyone https://t.co/ymzTdvch0m
x81411085,outsidethenba,2018-11-10T21:49:20Z,x1061375277807427594,105,14,"I wrote about the trade and the end of an era, and of course I said the name https://t.co/EwryMlRwxD"
x81411085,outsidethenba,2018-11-11T00:58:46Z,x1061422949540999168,122,9,"congrats to the sixers for getting jimmy butler, congrats to me for getting the phrase “the markellephant in the room” into this story https://t.co/leJyVUdhy3"
x81411085,outsidethenba,2018-11-11T02:12:30Z,x1061441505477431299,9,1,whoaaaaa dinwiddie https://t.co/zqQ14zvEYa
x81411085,outsidethenba,2018-11-11T18:36:17Z,x1061689085276893185,7,0,need an oral history of the pierre jackson vs jimmer cba duel
x81411085,outsidethenba,2018-11-11T22:50:47Z,x1061753129774006272,25,1,david fizdale succinctly and accurately describes mo bamba’s appeal: “he’s a giant and he’s athletic and he’s coordinated.”
x81411085,outsidethenba,2018-11-11T23:48:39Z,x1061767695153201152,18,1,sharp dressed fan https://t.co/hgSAB3kBfy
x81411085,outsidethenba,2018-11-12T00:51:27Z,x1061783499726864390,7,0,"the magic, without aaron gordon, are up 10-0 on the knicks with 7:22 left in the first quarter. it’d be pretty weird in here if new york did the “stand until the home team scores” thing"
x81411085,outsidethenba,2018-11-12T01:05:52Z,x1061787123727167488,13,0,"knicks after one quarter against orlando: 5-23 FG, 0-7 3PT, 0-0 FT, zero assists, eight turnovers

so they’re down 30-10 but it feels much worse than that"
x81411085,outsidethenba,2018-11-12T03:06:26Z,x1061817468887486464,3,0,best profile i’ve read in some time https://t.co/6O410rBAQe
x81411085,outsidethenba,2018-11-12T04:13:23Z,x1061834316492296192,5,1,i always knew someone would compare brook lopez to steph curry one day https://t.co/B4q1R8Jivo
x81411085,outsidethenba,2018-11-12T20:00:12Z,x1062072590049644545,1,0,if we sound overly excited it's because we're still riding the high from last night's beautiful basketball game at the garden!! https://t.co/DreClG03iT
x81411085,outsidethenba,2018-11-13T01:12:53Z,x1062151280905338880,5,1,here i am blabbing about the nba again https://t.co/pnq4GAjwpb
x81411085,outsidethenba,2018-11-13T16:31:34Z,x1062382475324866560,10,3,"jimmy: “we’ll find ways to make things work. if i gotta spend countless amount of hours shooting trey balls, i’ll do that.”"
x81411085,outsidethenba,2018-11-13T17:25:42Z,x1062396094724956160,162,45,"I talked to Aaron Gordon about being hard on himself, dealing with anxiety and learning to 'fail upwards' https://t.co/g9IixIRhuE"
x81411085,outsidethenba,2018-11-13T20:32:14Z,x1062443037383634946,13,0,approved https://t.co/GScMiTlR3n
x81411085,outsidethenba,2018-11-13T22:13:58Z,x1062468642380673031,72,10,"shoutout to @Double0AG for talking about the mental aspect of the game and the days he was ""manic and anxiety-filled"" on the court -- this wasn't a prearranged thing, i just showed up at shootaround and he was cool https://t.co/nKluLcR1qu"
x81411085,outsidethenba,2018-11-14T13:45:48Z,x1062703145384624128,4,0,about to talk about jumpin’ jimmy butler on @CBSSportsHQ https://t.co/Mtl3YpMJun
x81411085,outsidethenba,2018-11-14T16:47:05Z,x1062748766401425409,7,0,"udonis haslem, stretch 5 https://t.co/iLgIHUwfpR"
x81411085,outsidethenba,2018-11-14T17:35:28Z,x1062760942302388224,13,3,I want to see Dario Saric play the way he did as a rookie https://t.co/uz95gLaly0
x81411085,outsidethenba,2018-11-14T21:44:21Z,x1062823575772692483,4,1,"in here: 
-can dario saric's creativity come out with the wolves?
-a pascal siakam spin move mixtape
-are the knicks still living in the past?
-gary clark!
-the resurgence of evan turner https://t.co/q3B6JIQqv6"
x81411085,outsidethenba,2018-11-16T18:28:59Z,x1063499185478164482,1,0,good stuff from jack on mike and marc!! https://t.co/XPccwI3rx1
x81411085,outsidethenba,2018-11-16T18:56:48Z,x1063506187814137856,41,14,"I spoke to Josh Richardson (@J_Rich1) about the the mindset behind his breakout season and the ""constant battle"" of being as aggressive as the Heat need him to be https://t.co/cbwDtWBZIU https://t.co/vBg5qYeXly"
x81411085,outsidethenba,2018-11-16T20:32:42Z,x1063530321491185665,4,1,"josh richardson is one of the league's most improved players, so I talked to him about his development and his mindset and how the two are intertwined https://t.co/3AE4vQMLWF"
x81411085,outsidethenba,2018-11-16T20:40:47Z,x1063532354457792512,10,1,whoa https://t.co/7sXwhpY225
x81411085,outsidethenba,2018-11-16T23:43:04Z,x1063578227359326211,13,7,"this is a cool stat

here he is talking about learning how to be a star https://t.co/cbwDtWBZIU https://t.co/wgCPsPmWhp"
x81411085,outsidethenba,2018-11-16T23:48:40Z,x1063579637886976001,10,2,my god. i cannot believe i just read what i read on a team website https://t.co/1OGAZ1c1BQ
x81411085,outsidethenba,2018-11-17T01:59:05Z,x1063612455891419137,11,0,might have to add to this after this game jeez https://t.co/Q0etvi9rV7
x81411085,outsidethenba,2018-11-17T04:51:50Z,x1063655929986646017,45,6,i like to imagine that giant bango is always lurking behind giannis https://t.co/DCI9udRy3a
x81411085,outsidethenba,2018-11-17T23:07:19Z,x1063931619105562625,6,4,dang it looked really cool too https://t.co/dzPD6SKU5z
