user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x17507250,ramonashelburne,2018-10-27T06:19:44Z,x1056067906612514817,1003,82,I cannot overstate how good a play that was by Maeda. Nerves of steel to go to 3rd on that.
x17507250,ramonashelburne,2018-10-27T07:11:04Z,x1056080827543564288,125,8,We are all ⁦@MaryHart⁩ https://t.co/OBzBQtWHJj
x17507250,ramonashelburne,2018-10-27T07:12:32Z,x1056081193857208320,92,11,"Eric, still sharp after 17 innings https://t.co/rVKuVC800R"
x17507250,ramonashelburne,2018-10-28T02:12:04Z,x1056367968139927552,440,41,"Fundamental ⚾️ The throw from catcher to first needs to be inside or outside the baseline, not right down the line. First baseman is supposed to set up to create an angle. You practice that all the time for moments like that .. in the freaking World Series!"
x17507250,ramonashelburne,2018-10-28T02:16:01Z,x1056368959811809280,226,25,"And then...after what should have been an inning-ending DP, Puig crushes a 3-run HR. The little imperfections in baseball, like golf, really will make you cry sometimes."
x17507250,ramonashelburne,2018-10-28T02:17:20Z,x1056369291648413696,1771,270,Anyone who complains about the bat flip gets blocked https://t.co/5gqdjEDvhw
x17507250,ramonashelburne,2018-10-28T02:47:23Z,x1056376856864161794,738,172,Madson making a run at Yu Darvish in that World Series infamy crowd.
x17507250,ramonashelburne,2018-10-29T03:00:42Z,x1056742594988785665,555,21,Is it me or does every dude out of the Boston bullpen throw 99?
x17507250,ramonashelburne,2018-10-29T03:19:58Z,x1056747441033113600,1269,178,"Two years in a row the Dodgers watched another team celebrate a World Series on their home field. This year, I’m pretty damn sure the better team won."
x17507250,ramonashelburne,2018-10-29T04:24:21Z,x1056763644803866624,1353,35,"I’ve watched more baseball in the last month than probably ever, being home with a newborn. Made me remember how much I love the game. I’m pretty sure I’ve transferred that love to my son. Although at the moment he looks like this 😊 https://t.co/Dj99oZXP1y"
x17507250,ramonashelburne,2018-10-31T20:44:58Z,x1057735202724663296,49,3,This may be my new favorite segment https://t.co/J61GYaTjFW
x17507250,ramonashelburne,2018-10-31T21:04:05Z,x1057740012505034752,423,64,Oh My Gosh @IzGutierrez did it again. Totally pulling off Cardi B on @AroundtheHorn ! https://t.co/2T3wMnEyo0
x17507250,ramonashelburne,2018-10-31T21:07:27Z,x1057740861100896256,169,6,I don’t even know what to say about @SarahSpain chest hair as Freddie Mercury 👀 https://t.co/deQTwcDAst
x17507250,ramonashelburne,2018-10-31T21:09:01Z,x1057741254019055616,442,13,Did @minakimes really go with “James needs to Harden his skin” ? 😂😂 https://t.co/eCiGM9EK6m
x17507250,ramonashelburne,2018-10-31T21:11:03Z,x1057741767347396608,65,7,"“Marcel Fultz, I mean.” Too good @TheFrankIsola https://t.co/FAWuB17qiX"
x17507250,ramonashelburne,2018-11-06T22:37:07Z,x1059937751066390530,659,80,Lakers still trying to fill the holes left by losing Julius Randle and Brook Lopez https://t.co/ZyDwWB8LrZ
x17507250,ramonashelburne,2018-11-06T23:57:42Z,x1059958032765980672,210,7,#JustVote https://t.co/rdaYPWpQqb
x17507250,ramonashelburne,2018-11-08T10:03:28Z,x1060472865256960000,48,6,James Jones definitely on LeBron’s Christmas card list https://t.co/b74xsEuHOX
x17507250,ramonashelburne,2018-11-10T21:12:37Z,x1061366040284688384,975,159,Lot to digest in the Jimmy Butler trade. But one thing that cannot be missed is the journey @Holla_At_Rob33 had in Philly. He and TJ are as much a legacy of the Process as Embiid &amp; Ben. Tanking created the opportunity for them to prove themselves as NBA players &amp; they seized it
x17507250,ramonashelburne,2018-11-11T03:04:50Z,x1061454675365392385,321,60,👀👀👀 https://t.co/8uiugkHhVh
x17507250,ramonashelburne,2018-11-12T00:13:52Z,x1061774040216436736,130,19,Damn https://t.co/tLbFPsyJFy
x17507250,ramonashelburne,2018-11-12T04:59:00Z,x1061845796344098818,1643,229,That’s a game-winning block by @tysonchandler to win it for the Lakers.  Brandon Ingram needs to send him a Christmas card after he closed off that Trae Young drive.
x17507250,ramonashelburne,2018-11-12T05:09:41Z,x1061848486075748352,419,55,"Derek Fisher on @SpectrumSN after the Lakers ugly win vs the Hawks, “We won’t remember this at the end of the season as much as we do now.”  James Worthy (covering his face) “That was an ugly win.”"
x17507250,ramonashelburne,2018-11-12T06:04:47Z,x1061862352251809792,366,64,Big question now is where else Melo can go ... https://t.co/jecZZqoCAq
x17507250,ramonashelburne,2018-11-12T06:18:53Z,x1061865898665902081,405,71,Powerful https://t.co/e1WK2kMp18
x17507250,ramonashelburne,2018-11-13T05:22:47Z,x1062214168684548096,1078,47,Generally these things are done by storks but Chuck stepped up. https://t.co/kzPCRmWkAC
x17507250,ramonashelburne,2018-11-14T04:17:24Z,x1062560102341701632,83,5,The 🐐 Jackie Mac and @Rafeboogs @BillPlaschke doing a book signing for #BasketballALoveStory at @skylightbooks https://t.co/WfZfSb02KP
x17507250,ramonashelburne,2018-11-16T00:36:18Z,x1063229238524882944,981,270,"For those wondering about the Lakers interest, best to stop. They have 15 players on the roster and didn’t bring him in over the summer when they had a chance as well. https://t.co/M9UPvt4o4z"
x17507250,ramonashelburne,2018-11-17T04:36:35Z,x1063652093578240000,380,25,"This is becoming a thing! Congrats, @S10Bird https://t.co/h1swXrSYSs"
