user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x262756641,senorrinhatch,2018-11-11T00:58:59Z,x1061423007531450368,313,49,Happy (late) Birthday to Senator Hatch’s Chief of Staff Matt Sandgren! https://t.co/E4GgtRvXZi
x262756641,senorrinhatch,2018-11-11T17:28:43Z,x1061672078519214081,1841,455,"Today we thank those who have sacrificed and served to keep us free. 

To all those who have served and put their lives on the line to make the world a better place, we offer our most heartfelt gratitude. 🇺🇸

#VeteransDay https://t.co/mtklE1Op5r"
x262756641,senorrinhatch,2018-11-12T00:37:33Z,x1061779997952749579,86,17,"Huge news for a great homegrown Utah company. 

Congratulations to ⁦@RyanQualtrics⁩ and team, ⁦@siliconslopes⁩, and ⁦@SAP, ⁦@BillRMcDermott⁩ on a great move.  https://t.co/wbUvDT8It9"
x262756641,senorrinhatch,2018-11-12T22:28:47Z,x1062109983511404544,2390,423,“There’s a market for grace in American politics.”  https://t.co/gYVC1PVoMJ
x262756641,senorrinhatch,2018-11-13T03:42:48Z,x1062189008556560386,930,152,"Haven’t seen a bandage like that since the end of the Appomattox campaign— a great day for the North and General Grant. 
https://t.co/Dh5JfDNssk"
x262756641,senorrinhatch,2018-11-13T16:12:49Z,x1062377756300902401,346,60,"Back to work, with lots of things to accomplish before the end of this Congress. #utpol https://t.co/Tt3JwDgz3Y"
x262756641,senorrinhatch,2018-11-13T18:55:02Z,x1062418578723532800,2576,1017,"HATCH: “I call on my colleagues in the Senate to stand firmly with Israel as it defends itself against these threats to its existence. We are following developments closely.”
https://t.co/YY54wWNadl"
x262756641,senorrinhatch,2018-11-13T20:27:07Z,x1062441753431674881,1940,459,"Former Hatch staffer --&gt; 
https://t.co/JshQkVbP10"
x262756641,senorrinhatch,2018-11-13T21:06:25Z,x1062451644019937283,189,56,"Hatch meeting with FCC Chairman @AjitPaiFCC about the next steps for establishing a 3-digit suicide hotline, following the passage of his legislation just months ago. #utpol  
https://t.co/MHVwu8EfPL https://t.co/OMXELXXw9H"
x262756641,senorrinhatch,2018-11-14T02:23:40Z,x1062531479954186242,403,100,🇺🇸 https://t.co/2Qky21iBjJ
x262756641,senorrinhatch,2018-11-14T02:39:48Z,x1062535539654451201,13384,5832,"NEWS: the President has just nominated 13 more #judges and sent their names to the Senate. 🇺🇸 

🏛 8 District Court Nominees 
🏛 5 Circuit Court Nominees 

https://t.co/szVkLh7AUV"
x262756641,senorrinhatch,2018-11-14T14:23:51Z,x1062712719764320256,240,43,"Senator Hatch is at @uspto today, meeting with Director Andrei Iancu and his team to discuss patents and intellectual property. #utpol https://t.co/HlPCquQhWl"
x262756641,senorrinhatch,2018-11-14T16:53:49Z,x1062750462376591360,154,34,"Senator Hatch has teamed up with @timkaine to protect veterans and low-income families from housing discrimination. 
https://t.co/7ERhCHb1Kj #utpol https://t.co/l2IttLRTO8"
