user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text
x172858784,timkaine,2018-09-11T17:39:40Z,x1039569177793708039,1377,247,"Today we laid a wreath in Arlington with brave law enforcement officers and first responders in memory of those we lost 17 yrs ago on 9/11. With each passing year, it becomes more important to commemorate these lives and that day so future generations #NeverForget what happened. https://t.co/sV3Hueu5Dp"
x172858784,timkaine,2018-09-11T19:21:31Z,x1039594806912139264,380,217,"🚨 VIRGINIANS:

Please take all precautions as Hurricane Florence approaches.

FOLLOW: @VDEM for emergency updates.

VISIT: https://t.co/v6IYVxaj9v for more information.

A federal emergency declaration has been made, and efforts are underway to prepare for this dangerous storm."
x172858784,timkaine,2018-09-13T17:30:36Z,x1040291669302755328,732,265,"In 2012, @TyroneGayle was one of my closest campaign aides. We drove all over Virginia together. A former Clemson track star, he hasn't run much since his cancer diagnosis. Now his friends run for him and have set up this cool fundraiser. Give if you can!

https://t.co/mKZ1PvaOuL"
x172858784,timkaine,2018-09-17T01:50:37Z,x1041504668659212288,18185,4088,We in the Senate owe it to Dr. Christine Blasey Ford to consider her serious charge as we dutifully examine Judge Kavanaugh. The Judiciary Committee should not vote on his nomination until this allegation is fully investigated.
x172858784,timkaine,2018-09-18T02:19:27Z,x1041874309004881920,1600,318,"99-1.

That was the final vote of the Opioid Crisis Response Act tonight in the Senate. Because we worked together, we’ve made progress toward preventing tens of thousands of deaths from this horrible epidemic each year.

https://t.co/EYf65k6FFS"
x172858784,timkaine,2018-09-18T21:55:08Z,x1042170182377111557,8653,2238,The FBI background investigation into Judge Kavanaugh should be reopened in light of the serious charges against him.
x172858784,timkaine,2018-09-19T01:42:16Z,x1042227342666620929,780,86,To all observing Yom Kippur in Virginia and around the world — I want to wish you a meaningful day of reflection and an easy fast.
x172858784,timkaine,2018-09-21T00:56:27Z,x1042940586788118528,914,220,"Tonight at @LibertyU's #VASEN forum, my message was clear—and it couldn't have been any more different than my opponent's. We need to listen to Virginians and hear their concerns, find solutions that give folks good jobs and fair wages, and fight for equality for ALL. https://t.co/boho1RJyKe"
x172858784,timkaine,2018-09-21T14:19:46Z,x1043142747115462657,468,101,"It’s my father-in-law’s 95th birthday. In a challenging political time, when Americans seek unselfish leaders who will do what’s right and endeavor to bring people together, Linwood Holton—a Republican—is a model example for us to look to. https://t.co/l8v78q7DvW"
x172858784,timkaine,2018-09-21T15:00:11Z,x1043152920492027904,2745,815,"There are endless reasons a survivor of sexual assault wouldn’t file a report right away, not least of which is the fear of retribution, doubt, and character attacks—a fear which Trump and many members of the GOP are instilling anew in millions of women and girls. Shame on them. https://t.co/5hjIIdrVLL"
x172858784,timkaine,2018-09-25T02:16:00Z,x1044410155838918656,14171,4103,"What Republicans shouldn't rush: a Supreme Court confirmation when serious charges of sexual assault are on the table.

What Republicans *should* rush: a vote on legislation to protect the Mueller investigation - given that, by week's end, the man overseeing it could be fired."
x172858784,timkaine,2018-09-25T15:13:36Z,x1044605847857491968,64899,11872,I agree. https://t.co/B8FYRjUsJr
x172858784,timkaine,2018-09-26T20:21:51Z,x1045045808964546560,1070,237,"I am so humbled by these words of support by my friend and a public service role model, former Sen. John Warner.

For 30 years as our Republican senator, John didn’t put party first. It was country first. It was Virginia first. I try every day to live up to that example. https://t.co/h6QRyMNUqa"
x172858784,timkaine,2018-09-26T22:10:13Z,x1045073078236196864,4307,542,"Tonight I will debate Corey Stewart.

I’m not sure what questions will be thrown our way or what kinds of things my opponent will say - but I do know that from my side of the stage, you’ll hear a vision of unity, positivity, and compassion.

Follow @TeamKaine for live highlights."
x172858784,timkaine,2018-09-28T03:31:18Z,x1045516272975384578,16578,3633,"The moment when Dr. Ford described the searing memory of Kavanaugh and Judge laughing together as they assaulted her has stuck with me all day.

Compare her earnest sincerity with the non-judicious anger shown by Kavanaugh, labeling the serious charges as a political conspiracy."
x172858784,timkaine,2018-09-28T16:05:43Z,x1045706126422155264,4992,1828,Lady Justice’s blindfold is being repurposed into a gag. https://t.co/GvGl074MZW
x172858784,timkaine,2018-09-30T17:31:28Z,x1046452483252531200,572,208,"My opponent has a message of nastiness and divisiveness. We have just 37 days left to counter that with positivity and unity. But my campaign needs your help to reach every voter—we have until midnight to raise the last $7,000 of our critical goal: https://t.co/tGShUXA1Wi"
x172858784,timkaine,2018-10-03T22:39:03Z,x1047617050619858945,1499,280,"My motto in the Senate: Advance everywhere we can, defend everything we must.

Today, we came together and found common ground to advance this critical bill to the President's desk. Proud that the package includes three of my proposals to help combat the opioid crisis. https://t.co/jA4g67Y3mi"
x172858784,timkaine,2018-10-04T16:33:46Z,x1047887512688087041,26589,6096,This so-called “investigation” is a complete sham.
x172858784,timkaine,2018-10-04T17:30:19Z,x1047901743214972928,1761,778,This gives new meaning to “Justice is Blind.” https://t.co/IYJp2eGC58
x172858784,timkaine,2018-10-06T16:42:33Z,x1048614498456756224,12213,6191,"This is the Fairfax Jewish Community Center this morning.

An insidious rise in hateful actions and anti-Semitism is happening in Virginia and across the country. We must meet it with fierce condemnation and an over-abundance of love and unity. We cannot allow hate to fester. https://t.co/85bW2Hl0th"
x172858784,timkaine,2018-10-06T18:44:58Z,x1048645307465125892,1808,454,We have to mourn the lack of seriousness the Senate showed toward credible allegations of sexual assault — but also be energized in demanding change and voting to elect a new Senate majority. https://t.co/0pNHb5I57H
x172858784,timkaine,2018-10-06T21:31:48Z,x1048687291286396935,9633,2140,"We will channel our disappointment, anger, and worry into action.

The Republicans shamelessly jammed through this nomination—disrespecting survivors, a fair process, and consideration of temperament and honesty along the way. But we won’t forget."
x172858784,timkaine,2018-10-07T15:28:41Z,x1048958296852520960,3545,1431,"This is a most serious charge. I’ve contacted the State Department. We must get to the bottom of what happened and then impose strong consequences. Targeting journalists must stop.

https://t.co/Fkyvem24dY"
x172858784,timkaine,2018-10-09T23:00:58Z,x1049796895974072325,19629,5748,"Jamal Khashoggi is a Virginia resident, so his disappearance is personal to me. President Trump needs to raise this case immediately with Saudi Arabia and Turkey and demand answers. We should be extending support from our federal agencies for a real investigation."
x172858784,timkaine,2018-10-10T16:22:31Z,x1050059008592289793,6680,2354,"This is so false. Today the Senate is having to vote to overturn President Trump’s expansion of insurance plans that don’t protect people with pre-existing conditions.

If he actually cared, he would stop sabotaging health care and support our efforts. https://t.co/9StbjoUL4Y"
x172858784,timkaine,2018-10-10T19:24:30Z,x1050104808261242886,623,202,"Mass shootings in this country happen far too often and are far too deadly—but Congress hasn't acted.

So today I'm joining @ChrisMurphyCT and countless other leaders and advocates to raise $1 million for candidates who will step up. Will you step up too? https://t.co/rqoVe0GYBe https://t.co/aDKCCdMVje"
x172858784,timkaine,2018-10-12T12:08:28Z,x1050719852468555781,857,219,My heart breaks for these lost lives. This was a dangerous storm and Virginians should continue to take all precautions as we recover. Please be safe. https://t.co/GVGL6q4rtV
x172858784,timkaine,2018-10-12T14:59:05Z,x1050762789722251266,1107,467,This action from the Trump administration is bad news for anyone who breathes air. https://t.co/S6qnXqpLGP
x172858784,timkaine,2018-10-13T22:33:53Z,x1051239627938508800,441,60,A very warm welcome home to Pastor Brunson — thankful he is finally back with his family on American soil. https://t.co/ady11HOv1E
x172858784,timkaine,2018-10-15T03:23:37Z,x1051674932621561860,83,20,"In honor of @MLB playoff season: Best play ever that did not appear in a box score.

https://t.co/dktcgFD1lG"
x172858784,timkaine,2018-10-15T14:42:30Z,x1051845776572370944,718,477,"Today is the final day to register to vote in Virginia. When more of us vote, our elected bodies represent our values. When we don’t, they don’t. So don't let today go by without double-checking your registration and reminding others to do the same. Go to https://t.co/B2pbOn9WdU."
x172858784,timkaine,2018-10-15T15:18:48Z,x1051854913624567808,3011,1025,President Trump’s response to Jamal Khashoggi’s disappearance reveals a man more willing to trust authoritarian leaders than reliable intelligence. It’s insulting to Jamal’s family and colleagues that this is what’s coming out of the world’s most powerful office. https://t.co/rVvrVGWiFD
x172858784,timkaine,2018-10-17T19:12:35Z,x1052638521524199429,1830,681,"When Mitch McConnell says ""completely start over"" here, what he means is take us back to when you could be discriminated against if you have a pre-existing condition. And that tens of millions would lose their insurance.

We have to prevent the country from going back to that. https://t.co/hCgtfLJ6QT"
x172858784,timkaine,2018-10-18T17:55:54Z,x1052981613792043009,1271,504,"Medicaid expansion is a reality! Virginians can apply beginning November 1.

And then vote on November 6 to safeguard this progress. Mitch McConnell said this week that a GOP majority could vote *again* to repeal health care for millions. We can’t let that happen. https://t.co/RpvMN5gThz"
x172858784,timkaine,2018-10-19T22:43:01Z,x1053416255540076544,866,245,"Today’s news reminds us that foreign adversaries are still working hard to sow division in our country by seizing on the controversies du jour.

It’s more important than ever that our leaders do not fan these flames—and instead rise above to unify and focus on our commonalities."
x172858784,timkaine,2018-10-20T00:58:01Z,x1053450230937632769,29697,8232,"The Saudi “explanation” for murdering journalist and Virginia resident Jamal Khashoggi in a consulate—a fistfight gone wrong—is insulting.

Since the Trump Administration won’t stand up against atrocity, Congress must."
x172858784,timkaine,2018-10-22T22:08:31Z,x1054494735866454023,792,199,"Words fail.

https://t.co/mo5tCZGsN3"
x172858784,timkaine,2018-10-23T21:00:13Z,x1054839935679766528,600,218,"Virginia is the frontline of Dems’ fight to take back a majority in Congress. Don’t take my word for it - just today GOP super PACs are rushing even more big $ into Virginia to save R candidates. But we have something they don’t: momentum.

Come volunteer: https://t.co/sZuqLsHBQ0"
x172858784,timkaine,2018-10-23T23:57:56Z,x1054884659547516929,8041,3043,"President Trump isn’t interested in solving immigration problems. Earlier this year, we offered every penny of border security $ he asked for - and he turned it down. He would rather use lies and fear to try to stir people up right before an election than protect the country."
x172858784,timkaine,2018-10-24T14:28:45Z,x1055103810044076033,5571,1297,"Attempting violence against public officials, private citizens, journalists, or anyone has no place in our free and lawful society."
